strain,locusId,gene_id,gene_name,description
ANA3,7022946,ANA3:7022946,Shewana3_0187,transcription antitermination protein nusG (RefSeq)
ANA3,7024217,ANA3:7024217,gltX,glutamyl-tRNA synthetase (RefSeq)
ANA3,7025403,ANA3:7025403,Shewana3_2558,3-oxoacyl-[acyl-carrier-protein] reductase (RefSeq)
ANA3,7025514,ANA3:7025514,Shewana3_2665,"peptidyl-prolyl cis-trans isomerase, cyclophilin type (RefSeq)"
ANA3,7025469,ANA3:7025469,Shewana3_2624,MotA/TolQ/ExbB proton channel (RefSeq)
ANA3,7025990,ANA3:7025990,Shewana3_3138,integral membrane protein MviN (RefSeq)
ANA3,7023879,ANA3:7023879,ribH,"6,7-dimethyl-8-ribityllumazine synthase (RefSeq)"
ANA3,7023182,ANA3:7023182,coaE,dephospho-CoA kinase (RefSeq)
ANA3,7024461,ANA3:7024461,Shewana3_1639,manganese and iron superoxide dismutase (RefSeq)
ANA3,7025467,ANA3:7025467,Shewana3_2622,TonB family protein (RefSeq)
ANA3,7026982,ANA3:7026982,Shewana3_4111,"cytochrome c, class I (RefSeq)"
ANA3,7026072,ANA3:7026072,Shewana3_3214,dihydrofolate reductase (RefSeq)
ANA3,7025375,ANA3:7025375,Shewana3_2530,OmpA/MotB domain-containing protein (RefSeq)
ANA3,7026294,ANA3:7026294,Shewana3_3436,elongation factor G (RefSeq)
ANA3,7025867,ANA3:7025867,rimM,16S rRNA-processing protein RimM (RefSeq)
ANA3,7022754,ANA3:7022754,dnaA,chromosomal replication initiation protein (RefSeq)
ANA3,7025883,ANA3:7025883,Shewana3_3032,RNA polymerase sigma factor RpoE (RefSeq)
ANA3,7025518,ANA3:7025518,Shewana3_2669,glutaminyl-tRNA synthetase (RefSeq)
ANA3,7023174,ANA3:7023174,rho,transcription termination factor Rho (RefSeq)
ANA3,7024531,ANA3:7024531,sdhB,succinate dehydrogenase iron-sulfur subunit (RefSeq)
ANA3,7023808,ANA3:7023808,Shewana3_1028,hypothetical protein (RefSeq)
ANA3,7027008,ANA3:7027008,Shewana3_4134,F0F1 ATP synthase subunit B (RefSeq)
ANA3,7022958,ANA3:7022958,rplC,50S ribosomal protein L3 (RefSeq)
ANA3,7025005,ANA3:7025005,Shewana3_2168,Na(+)-translocating NADH-quinone reductase subunit E (RefSeq)
ANA3,7024868,ANA3:7024868,Shewana3_2043,threonyl-tRNA synthetase (RefSeq)
ANA3,7025660,ANA3:7025660,Shewana3_2811,undecaprenyl pyrophosphate synthetase (RefSeq)
ANA3,7025445,ANA3:7025445,ribA,GTP cyclohydrolase II (RefSeq)
ANA3,7022954,ANA3:7022954,Shewana3_0195,30S ribosomal protein S7 (RefSeq)
ANA3,7024589,ANA3:7024589,Shewana3_1767,"DNA polymerase III, delta prime subunit (RefSeq)"
ANA3,7026981,ANA3:7026981,engB,ribosome biogenesis GTP-binding protein YsxC (RefSeq)
ANA3,7025431,ANA3:7025431,Shewana3_2586,hypothetical protein (RefSeq)
ANA3,7023729,ANA3:7023729,dnaK,molecular chaperone DnaK (RefSeq)
ANA3,7022802,ANA3:7022802,Shewana3_0053,preprotein translocase subunit SecB (RefSeq)
ANA3,7024685,ANA3:7024685,pheS,phenylalanyl-tRNA synthetase subunit alpha (RefSeq)
ANA3,7024791,ANA3:7024791,Shewana3_1969,ribonucleotide-diphosphate reductase subunit alpha (RefSeq)
ANA3,7022964,ANA3:7022964,rpsC,30S ribosomal protein S3 (RefSeq)
ANA3,7025937,ANA3:7025937,Shewana3_3086,DNA primase (RefSeq)
ANA3,7025890,ANA3:7025890,thyA,thymidylate synthase (RefSeq)
ANA3,7025664,ANA3:7025664,rpsB,30S ribosomal protein S2 (RefSeq)
ANA3,7025580,ANA3:7025580,Shewana3_2731,transcriptional regulator PhoU (RefSeq)
ANA3,7022975,ANA3:7022975,rpsE,30S ribosomal protein S5 (RefSeq)
ANA3,7025656,ANA3:7025656,Shewana3_2807,surface antigen (D15) (RefSeq)
ANA3,7024969,ANA3:7024969,Shewana3_2140,hypothetical protein (RefSeq)
ANA3,7026574,ANA3:7026574,Shewana3_3717,putative manganese-dependent inorganic pyrophosphatase (RefSeq)
ANA3,7025144,ANA3:7025144,ddl,D-alanyl-alanine synthetase A (RefSeq)
ANA3,7023713,ANA3:7023713,Shewana3_0943,Na(+)-translocating NADH-quinone reductase subunit F (RefSeq)
ANA3,7022949,ANA3:7022949,rplJ,50S ribosomal protein L10 (RefSeq)
ANA3,7023804,ANA3:7023804,Shewana3_1026,triosephosphate isomerase (RefSeq)
ANA3,7022939,ANA3:7022939,Shewana3_0184,pantothenate kinase (RefSeq)
ANA3,7024795,ANA3:7024795,Shewana3_1973,phosphoserine aminotransferase (RefSeq)
ANA3,7025909,ANA3:7025909,Shewana3_3058,tyrosyl-tRNA synthetase (RefSeq)
ANA3,7026605,ANA3:7026605,lpxC,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (RefSeq)
ANA3,7023546,ANA3:7023546,Shewana3_0775,2-dehydro-3-deoxyphosphooctonate aldolase (RefSeq)
ANA3,7026608,ANA3:7026608,Shewana3_3741,polypeptide-transport-associated domain-containing protein (RefSeq)
ANA3,7023815,ANA3:7023815,Shewana3_1035,polynucleotide phosphorylase/polyadenylase (RefSeq)
ANA3,7024802,ANA3:7024802,Shewana3_1980,tetratricopeptide repeat protein (RefSeq)
ANA3,7027004,ANA3:7027004,Shewana3_4130,F0F1 ATP synthase subunit beta (RefSeq)
ANA3,7025826,ANA3:7025826,Shewana3_2975,hypothetical protein (RefSeq)
ANA3,7025985,ANA3:7025985,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (RefSeq)
ANA3,7024285,ANA3:7024285,Shewana3_1477,aspartate semialdehyde dehydrogenase (RefSeq)
ANA3,7023909,ANA3:7023909,Shewana3_1129,aspartate kinase (RefSeq)
ANA3,7025204,ANA3:7025204,Shewana3_2365,"DNA polymerase III, epsilon subunit (RefSeq)"
ANA3,7024790,ANA3:7024790,nrdB,ribonucleotide-diphosphate reductase subunit beta (RefSeq)
ANA3,7023444,ANA3:7023444,Shewana3_0674,OstA family protein (RefSeq)
ANA3,7026296,ANA3:7026296,Shewana3_3438,"carbamoyl-phosphate synthase L chain, ATP-binding (RefSeq)"
ANA3,7022601,ANA3:7022601,Shewana3_4246,XRE family transcriptional regulator (RefSeq)
ANA3,7024798,ANA3:7024798,cmk,cytidylate kinase (RefSeq)
ANA3,7024968,ANA3:7024968,Shewana3_2139,flavodoxin FldA (RefSeq)
ANA3,7025515,ANA3:7025515,Shewana3_2666,"UDP-2,3-diacylglucosamine hydrolase (RefSeq)"
ANA3,7026642,ANA3:7026642,folE,GTP cyclohydrolase I (RefSeq)
ANA3,7022951,ANA3:7022951,rpoB,DNA-directed RNA polymerase subunit beta (RefSeq)
ANA3,7023895,ANA3:7023895,pyrG,CTP synthetase (RefSeq)
ANA3,7025382,ANA3:7025382,Shewana3_2537,FAD-dependent pyridine nucleotide-disulphide oxidoreductase (RefSeq)
ANA3,7022955,ANA3:7022955,Shewana3_0196,elongation factor G (RefSeq)
ANA3,7027006,ANA3:7027006,Shewana3_4132,F0F1 ATP synthase subunit alpha (RefSeq)
ANA3,7025406,ANA3:7025406,Shewana3_2561,putative glycerol-3-phosphate acyltransferase PlsX (RefSeq)
ANA3,7026584,ANA3:7026584,Shewana3_3727,2-octaprenylphenol hydroxylase (RefSeq)
ANA3,7023188,ANA3:7023188,Shewana3_0422,nicotinate-nucleotide pyrophosphorylase [carboxylating] (RefSeq)
ANA3,7025661,ANA3:7025661,frr,ribosome recycling factor (RefSeq)
ANA3,7024428,ANA3:7024428,Shewana3_1610,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (RefSeq)
ANA3,7025662,ANA3:7025662,pyrH,uridylate kinase (RefSeq)
ANA3,7025278,ANA3:7025278,nadE,NAD synthetase (RefSeq)
ANA3,7022983,ANA3:7022983,Shewana3_0224,DNA-directed RNA polymerase subunit alpha (RefSeq)
ANA3,7025938,ANA3:7025938,Shewana3_3087,"RNA polymerase, sigma 70 subunit, RpoD (RefSeq)"
ANA3,7025117,ANA3:7025117,Shewana3_2280,cysteine desulfurase (RefSeq)
ANA3,7025254,ANA3:7025254,Shewana3_2415,CreA family protein (RefSeq)
ANA3,7025752,ANA3:7025752,Shewana3_2902,GrpE protein (RefSeq)
ANA3,7022937,ANA3:7022937,murB,UDP-N-acetylenolpyruvoylglucosamine reductase (RefSeq)
ANA3,7023364,ANA3:7023364,Shewana3_0594,cell wall hydrolase/autolysin (RefSeq)
ANA3,7022757,ANA3:7022757,Shewana3_0012,DNA gyrase subunit B (RefSeq)
ANA3,7024793,ANA3:7024793,Shewana3_1971,3-demethylubiquinone-9 3-methyltransferase (RefSeq)
ANA3,7025376,ANA3:7025376,Shewana3_2531,TolB domain-containing protein (RefSeq)
ANA3,7026000,ANA3:7026000,pgi,glucose-6-phosphate isomerase (RefSeq)
ANA3,7026425,ANA3:7026425,groEL,chaperonin GroEL (RefSeq)
ANA3,7022930,ANA3:7022930,Shewana3_0180,glutamate racemase (RefSeq)
ANA3,7027005,ANA3:7027005,Shewana3_4131,F0F1 ATP synthase subunit gamma (RefSeq)
ANA3,7024879,ANA3:7024879,Shewana3_2054,seryl-tRNA synthetase (RefSeq)
ANA3,7025989,ANA3:7025989,Shewana3_3137,riboflavin kinase / FMN adenylyltransferase (RefSeq)
ANA3,7022761,ANA3:7022761,glyS,glycyl-tRNA synthetase subunit beta (RefSeq)
ANA3,7025513,ANA3:7025513,cysS,cysteinyl-tRNA synthetase (RefSeq)
ANA3,7026859,ANA3:7026859,Shewana3_3988,glycerol-3-phosphate acyltransferase (RefSeq)
ANA3,7024567,ANA3:7024567,Shewana3_1745,adenylosuccinate lyase (RefSeq)
ANA3,7024533,ANA3:7024533,Shewana3_1711,2-oxoglutarate dehydrogenase E2 component (RefSeq)
ANA3,7026613,ANA3:7026613,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase (RefSeq)
ANA3,7023194,ANA3:7023194,Shewana3_0428,dihydrolipoamide dehydrogenase (RefSeq)
ANA3,7025988,ANA3:7025988,ileS,isoleucyl-tRNA synthetase (RefSeq)
ANA3,7026503,ANA3:7026503,Shewana3_3646,rod shape-determining protein MreD (RefSeq)
ANA3,7026505,ANA3:7026505,Shewana3_3648,rod shape-determining protein MreB (RefSeq)
ANA3,7022959,ANA3:7022959,rplD,50S ribosomal protein L4 (RefSeq)
ANA3,7025878,ANA3:7025878,Shewana3_3027,signal peptidase I (RefSeq)
ANA3,7023371,ANA3:7023371,Shewana3_0601,"ubiquinol-cytochrome c reductase, iron-sulfur subunit (RefSeq)"
ANA3,7025855,ANA3:7025855,Shewana3_3004,permease YjgP/YjgQ family protein (RefSeq)
ANA3,7024686,ANA3:7024686,pheT,phenylalanyl-tRNA synthetase subunit beta (RefSeq)
ANA3,7022938,ANA3:7022938,Shewana3_0183,biotin--protein ligase (RefSeq)
ANA3,7026078,ANA3:7026078,Shewana3_3220,polyprenyl synthetase (RefSeq)
ANA3,7026582,ANA3:7026582,Shewana3_3725,demethylmenaquinone methyltransferase (RefSeq)
ANA3,7025654,ANA3:7025654,Shewana3_2805,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (RefSeq)
ANA3,7025668,ANA3:7025668,dapD,"2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase (RefSeq)"
ANA3,7026754,ANA3:7026754,Shewana3_3886,tryptophanyl-tRNA synthetase (RefSeq)
ANA3,7024810,ANA3:7024810,pssA,phosphatidylserine synthase (RefSeq)
ANA3,7025501,ANA3:7025501,Shewana3_2655,trans-2-enoyl-CoA reductase (RefSeq)
ANA3,7025512,ANA3:7025512,Shewana3_2663,methenyltetrahydrofolate cyclohydrolase (RefSeq)
ANA3,7025652,ANA3:7025652,Shewana3_2803,UDP-N-acetylglucosamine acyltransferase (RefSeq)
ANA3,7026064,ANA3:7026064,Shewana3_3206,organic solvent tolerance protein (RefSeq)
ANA3,7025659,ANA3:7025659,Shewana3_2810,phosphatidate cytidylyltransferase (RefSeq)
ANA3,7023772,ANA3:7023772,leuS,leucyl-tRNA synthetase (RefSeq)
ANA3,7024775,ANA3:7024775,aspS,aspartyl-tRNA synthetase (RefSeq)
ANA3,7023539,ANA3:7023539,hemA,glutamyl-tRNA reductase (RefSeq)
ANA3,7026602,ANA3:7026602,Shewana3_3735,preprotein translocase subunit SecA (RefSeq)
ANA3,7026154,ANA3:7026154,lysS,lysyl-tRNA synthetase (RefSeq)
ANA3,7023536,ANA3:7023536,Shewana3_0765,ribose-phosphate pyrophosphokinase (RefSeq)
ANA3,7024530,ANA3:7024530,sdhA,succinate dehydrogenase flavoprotein subunit (RefSeq)
ANA3,7023199,ANA3:7023199,Shewana3_0433,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase (RefSeq)
ANA3,7025404,ANA3:7025404,Shewana3_2559,[Acyl-carrier-protein] S-malonyltransferase (RefSeq)
ANA3,7024376,ANA3:7024376,Shewana3_1568,cell division protein ZipA (RefSeq)
ANA3,7024551,ANA3:7024551,Shewana3_1729,DNA topoisomerase I (RefSeq)
ANA3,7023908,ANA3:7023908,alaS,alanyl-tRNA synthetase (RefSeq)
ANA3,7022952,ANA3:7022952,Shewana3_0193,DNA-directed RNA polymerase subunit beta' (RefSeq)
ANA3,7024022,ANA3:7024022,hisS,histidyl-tRNA synthetase (RefSeq)
ANA3,7025114,ANA3:7025114,hscB,co-chaperone HscB (RefSeq)
ANA3,7025856,ANA3:7025856,Shewana3_3005,permease YjgP/YjgQ family protein (RefSeq)
ANA3,7026618,ANA3:7026618,mraW,S-adenosyl-methyltransferase MraW (RefSeq)
ANA3,7025880,ANA3:7025880,Shewana3_3029,"positive regulator of sigma(E), RseC/MucC (RefSeq)"
ANA3,7025891,ANA3:7025891,Shewana3_3040,prolipoprotein diacylglyceryl transferase (RefSeq)
ANA3,7022762,ANA3:7022762,glyQ,glycyl-tRNA synthetase subunit alpha (RefSeq)
ANA3,7022973,ANA3:7022973,rplF,50S ribosomal protein L6 (RefSeq)
ANA3,7024582,ANA3:7024582,metG,methionyl-tRNA synthetase (RefSeq)
ANA3,7026065,ANA3:7026065,Shewana3_3207,PpiC-type peptidyl-prolyl cis-trans isomerase (RefSeq)
ANA3,7023801,ANA3:7023801,Shewana3_1023,membrane protease FtsH catalytic subunit (RefSeq)
ANA3,7023201,ANA3:7023201,hemE,uroporphyrinogen decarboxylase (RefSeq)
ANA3,7023748,ANA3:7023748,Shewana3_0978,ribose-5-phosphate isomerase A (RefSeq)
ANA3,7023765,ANA3:7023765,Shewana3_0994,rod shape-determining protein RodA (RefSeq)
ANA3,7026962,ANA3:7026962,coaD,phosphopantetheine adenylyltransferase (RefSeq)
ANA3,7026530,ANA3:7026530,argS,arginyl-tRNA synthetase (RefSeq)
ANA3,7026999,ANA3:7026999,Shewana3_4125,glucosamine--fructose-6-phosphate aminotransferase (RefSeq)
ANA3,7024957,ANA3:7024957,Shewana3_2128,quinolinate synthetase (RefSeq)
ANA3,7024021,ANA3:7024021,ispG,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (RefSeq)
ANA3,7025657,ANA3:7025657,Shewana3_2808,peptidase RseP (RefSeq)
ANA3,7023800,ANA3:7023800,rrmJ,23S rRNA methyltransferase J (RefSeq)
ANA3,7025234,ANA3:7025234,rbgA,ribosomal biogenesis GTPase (RefSeq)
ANA3,7023236,ANA3:7023236,ubiA,4-hydroxybenzoate octaprenyltransferase (RefSeq)
ANA3,7024191,ANA3:7024191,Shewana3_1398,prolyl-tRNA synthetase (RefSeq)
ANA3,7026212,ANA3:7026212,Shewana3_3354,S-adenosylmethionine synthetase (RefSeq)
ANA3,7025009,ANA3:7025009,Shewana3_2172,electron transport complex protein RnfG (RefSeq)
ANA3,7025658,ANA3:7025658,Shewana3_2809,1-deoxy-D-xylulose 5-phosphate reductoisomerase (RefSeq)
ANA3,7023803,ANA3:7023803,Shewana3_1025,phosphoglucosamine mutase (RefSeq)
ANA3,7025429,ANA3:7025429,Shewana3_2584,"lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA (RefSeq)"
ANA3,7025377,ANA3:7025377,Shewana3_2532,TolA family protein (RefSeq)
ANA3,7025866,ANA3:7025866,trmD,tRNA (guanine-N(1)-)-methyltransferase (RefSeq)
ANA3,7022785,ANA3:7022785,Shewana3_0040,translation factor SUA5 (RefSeq)
ANA3,7023919,ANA3:7023919,valS,valyl-tRNA synthetase (RefSeq)
ANA3,7023770,ANA3:7023770,Shewana3_0999,"DNA polymerase III, delta subunit (RefSeq)"
ANA3,7023810,ANA3:7023810,infB,translation initiation factor IF-2 (RefSeq)
ANA3,7024569,ANA3:7024569,mnmA,tRNA-specific 2-thiouridylase MnmA (RefSeq)
ANA3,7024230,ANA3:7024230,Shewana3_1422,4a-hydroxytetrahydrobiopterin dehydratase (RefSeq)
ANA3,7026677,ANA3:7026677,gmk,guanylate kinase (RefSeq)
ANA3,7026961,ANA3:7026961,Shewana3_4090,hypothetical protein (RefSeq)
ANA3,7027002,ANA3:7027002,Shewana3_4128,glucosamine-1-phosphate N-acetyltransferase / UDP-N-acetylglucosamine pyrophosphorylase (RefSeq)
ANA3,7024794,ANA3:7024794,Shewana3_1972,DNA gyrase subunit A (RefSeq)
ANA3,7023443,ANA3:7023443,Shewana3_0673,ABC transporter related (RefSeq)
ANA3,7023736,ANA3:7023736,Shewana3_0966,dihydrodipicolinate reductase (RefSeq)
ANA3,7024991,ANA3:7024991,Shewana3_2162,hypothetical protein (RefSeq)
ANA3,7025141,ANA3:7025141,Shewana3_2304,NUDIX hydrolase (RefSeq)
ANA3,7023619,ANA3:7023619,Shewana3_0848,lipid A biosynthesis lauroyl (or palmitoleoyl) acyltransferase (RefSeq)
ANA3,7024532,ANA3:7024532,sucA,2-oxoglutarate dehydrogenase E1 component (RefSeq)
ANA3,7023769,ANA3:7023769,Shewana3_0998,nicotinate-nucleotide adenylyltransferase (RefSeq)
ANA3,7025281,ANA3:7025281,adk,adenylate kinase (RefSeq)
ANA3,7023354,ANA3:7023354,Shewana3_0588,phosphatidylserine decarboxylase (RefSeq)
ANA3,7025876,ANA3:7025876,era,GTP-binding protein Era (RefSeq)
ANA3,7025143,ANA3:7025143,asnC,asparaginyl-tRNA synthetase (RefSeq)
ANA3,7026211,ANA3:7026211,Shewana3_3353,transketolase (RefSeq)
ANA3,7025006,ANA3:7025006,Shewana3_2169,electron transport complex protein RnfB (RefSeq)
ANA3,7025651,ANA3:7025651,lpxB,lipid-A-disaccharide synthase (RefSeq)
ANA3,7024478,ANA3:7024478,Shewana3_1656,dihydrodipicolinate synthase (RefSeq)
ANA3,7022961,ANA3:7022961,rplB,50S ribosomal protein L2 (RefSeq)
ANA3,7026155,ANA3:7026155,Shewana3_3297,peptide chain release factor 2 (RefSeq)
ANA3,7023447,ANA3:7023447,Shewana3_0677,KpsF/GutQ family protein (RefSeq)
ANA3,7026066,ANA3:7026066,Shewana3_3208,4-hydroxythreonine-4-phosphate dehydrogenase (RefSeq)
ANA3,7023771,ANA3:7023771,Shewana3_1000,rare lipoprotein B (RefSeq)
ANA3,7024489,ANA3:7024489,Shewana3_1667,"3-oxoacid CoA-transferase, A subunit (RefSeq)"
ANA3,7023802,ANA3:7023802,Shewana3_1024,dihydropteroate synthase (RefSeq)
ANA3,7024448,ANA3:7024448,Shewana3_1626,pyridoxamine 5'-phosphate oxidase (RefSeq)
ANA3,7023502,ANA3:7023502,Shewana3_0732,DNA topoisomerase IV subunit A (RefSeq)
ANA3,7026614,ANA3:7026614,Shewana3_3747,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase (RefSeq)
ANA3,7023446,ANA3:7023446,Shewana3_0676,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (RefSeq)
ANA3,7023537,ANA3:7023537,ipk,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (RefSeq)
ANA3,7026972,ANA3:7026972,Shewana3_4101,3-deoxy-D-manno-octulosonic-acid kinase (RefSeq)
ANA3,7023766,ANA3:7023766,Shewana3_0995,peptidoglycan glycosyltransferase (RefSeq)
ANA3,7024024,ANA3:7024024,Shewana3_1232,outer membrane protein assembly complex subunit YfgL (RefSeq)
ANA3,7023760,ANA3:7023760,lipB,lipoyltransferase (RefSeq)
ANA3,7025753,ANA3:7025753,ppnK,inorganic polyphosphate/ATP-NAD kinase (RefSeq)
ANA3,7025122,ANA3:7025122,Shewana3_2285,"LolC/E family lipoprotein releasing system, transmembrane protein (RefSeq)"
ANA3,7024025,ANA3:7024025,engA,GTP-binding protein EngA (RefSeq)
ANA3,7026265,ANA3:7026265,Shewana3_3407,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase (RefSeq)
ANA3,7023563,ANA3:7023563,Shewana3_0792,aromatic acid decarboxylase (RefSeq)
ANA3,7024977,ANA3:7024977,Shewana3_2148,keto-hydroxyglutarate-aldolase/keto-deoxy- phosphogluconate aldolase (RefSeq)
ANA3,7023759,ANA3:7023759,Shewana3_0988,lipoyl synthase (RefSeq)
ANA3,7025869,ANA3:7025869,Shewana3_3018,signal recognition particle protein (RefSeq)
ANA3,7023538,ANA3:7023538,Shewana3_0767,outer membrane lipoprotein LolB (RefSeq)
ANA3,7025884,ANA3:7025884,Shewana3_3033,L-aspartate oxidase (RefSeq)
ANA3,7026607,ANA3:7026607,Shewana3_3740,cell division protein FtsA (RefSeq)
ANA3,7025874,ANA3:7025874,Shewana3_3023,pyridoxine 5'-phosphate synthase (RefSeq)
ANA3,7023151,ANA3:7023151,Shewana3_0385,uroporphyrinogen III synthase HEM4 (RefSeq)
ANA3,7024449,ANA3:7024449,Shewana3_1627,hypothetical protein (RefSeq)
ANA3,7026448,ANA3:7026448,Shewana3_3590,single-strand binding protein (RefSeq)
ANA3,7025008,ANA3:7025008,Shewana3_2171,"electron transport complex, RnfABCDGE type, D subunit (RefSeq)"
ANA3,7022803,ANA3:7022803,gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase (RefSeq)
ANA3,7024728,ANA3:7024728,Shewana3_1906,3-deoxy-manno-octulosonate cytidylyltransferase (RefSeq)
ANA3,7025230,ANA3:7025230,Shewana3_2391,"peptidase M22, glycoprotease (RefSeq)"
ANA3,7023484,ANA3:7023484,alr,alanine racemase (RefSeq)
ANA3,7026275,ANA3:7026275,Shewana3_3417,glycine cleavage T protein (aminomethyl transferase) (RefSeq)
ANA3,7023775,ANA3:7023775,Shewana3_1004,apolipoprotein N-acyltransferase (RefSeq)
ANA3,7026606,ANA3:7026606,Shewana3_3739,cell division protein FtsZ (RefSeq)
ANA3,7023540,ANA3:7023540,prfA,peptide chain release factor 1 (RefSeq)
ANA3,7023541,ANA3:7023541,Shewana3_0770,HemK family modification methylase (RefSeq)
ANA3,7023876,ANA3:7023876,Shewana3_1096,5-amino-6-(5-phosphoribosylamino)uracil reductase / diaminohydroxyphosphoribosylaminopyrimidine deaminase (RefSeq)
ANA3,7025010,ANA3:7025010,Shewana3_2173,electron transport complex RsxE subunit (RefSeq)
ANA3,7023272,ANA3:7023272,Shewana3_0506,3-octaprenyl-4hydroxybenzoate decarboxylase (RefSeq)
ANA3,7023483,ANA3:7023483,Shewana3_0713,primary replicative DNA helicase (RefSeq)
ANA3,7026616,ANA3:7026616,Shewana3_3749,peptidoglycan synthetase FtsI (RefSeq)
ANA3,7023899,ANA3:7023899,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (RefSeq)"
ANA3,7025751,ANA3:7025751,Shewana3_2901,1-deoxy-D-xylulose-5-phosphate synthase (RefSeq)
ANA3,7025286,ANA3:7025286,Shewana3_2446,"DNA polymerase III, subunits gamma and tau (RefSeq)"
ANA3,7026843,ANA3:7026843,Shewana3_3972,signal recognition particle-docking protein FtsY (RefSeq)
ANA3,7025123,ANA3:7025123,Shewana3_2286,"lipoprotein releasing system, ATP-binding protein (RefSeq)"
ANA3,7023157,ANA3:7023157,dapF,diaminopimelate epimerase (RefSeq)
ANA3,7024813,ANA3:7024813,Shewana3_1991,DTW domain-containing protein (RefSeq)
ANA3,7023454,ANA3:7023454,Shewana3_0684,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (RefSeq)
ANA3,7024377,ANA3:7024377,Shewana3_1569,"DNA ligase, NAD-dependent (RefSeq)"
ANA3,7026638,ANA3:7026638,Shewana3_3771,phosphopantothenoylcysteine decarboxylase / phosphopantothenate-cysteine ligase (RefSeq)
