gtdb_species_clade_id	genome_size_Mbp	mean_protein_count	has_phaC	phb_status	gtdb_phylum
s__2-02-FULL-38-14_sp001772865--GB_GCA_001772865.1	0.92789125	960.25	0	absent	Patescibacteria
s__2-02-FULL-43-11-A_sp001789515--GB_GCA_001789515.1	0.8175645	876.0	0	absent	Patescibacteria
s__2-02-FULL-44-16_sp001798185--GB_GCA_001798185.1	1.988829	1950.5	0	precursors_only	UBA10199
s__2-02-FULL-48-14_sp001787475--GB_GCA_001787475.1	0.7764285	838.5	0	absent	Patescibacteria
s__2-02-FULL-50-16_sp001798715--GB_GCA_001798715.1	1.6450395	1590.25	0	precursors_only	UBA10199
s__2-02-FULL-66-22_sp016208645--GB_GCA_016208645.1	3.3135725	3616.5	0	precursors_only	Methylomirabilota
s__2-12-FULL-35-15_sp903870175--GB_GCA_903870175.1	3.0863931666666664	3014.3333333333335	0	precursors_only	Bacteroidota
s__2-12-FULL-35-15_sp903889605--GB_GCA_903889605.1	5.889581	5301.0	1	complete	Bacteroidota
s__2-12-FULL-40-28_sp001798135--GB_GCA_001798135.1	2.1567445	2042.0	0	precursors_only	UBA10199
s__2-12-FULL-55-11_sp007376635--GB_GCA_007376635.1	1.1954775	1290.0	0	absent	Patescibacteria
s__2-12-FULL-60-25_sp003576745--GB_GCA_003576745.1	1.153012	1105.5	0	absent	Patescibacteria
s__2-12-FULL-67-15_sp016872535--GB_GCA_016872535.1	2.763591	2848.0	1	complete	Pseudomonadota
s__2-12-FULL-69-37_sp001790955--GB_GCA_001790955.1	3.4120105	3400.0	0	precursors_only	UBA8248
s__20-14-all-54-14_sp002772205--GB_GCA_002772205.1	0.5001575	555.5	0	absent	Patescibacteria
s__20CM-2-55-15_sp001920875--GB_GCA_001920875.1	3.313347	3217.0	0	precursors_only	Acidobacteriota
s__20CM-2-70-11_sp003220315--GB_GCA_003220315.1	2.800687714285714	3038.285714285714	1	complete	Methylomirabilota
s__20CM-4-69-16_sp003220795--GB_GCA_003220795.1	3.199442	3033.0	0	precursors_only	Gemmatimonadota
s__28-YEA-48_sp903825465--GB_GCA_903825465.1	4.1094505	4110.0	1	complete	Pseudomonadota
s__28-YEA-48_sp903889985--GB_GCA_903889985.1	4.3305245	4674.0	1	complete	Pseudomonadota
s__3-1-20CM-2-70-9_sp005882765--GB_GCA_005882765.1	2.5712863333333336	2919.3333333333335	0	precursors_only	Chloroflexota
s__3-1-20CM-2-70-9_sp005883775--GB_GCA_005883775.1	2.4317396666666666	2792.6666666666665	0	precursors_only	Chloroflexota
s__3-1-20CM-4-69-9_sp005883355--GB_GCA_005883355.1	3.0701575	3398.5	0	precursors_only	Actinomycetota
s__34-128_sp018903015--GB_GCA_018903015.1	1.448558	1550.0	0	absent	Atribacterota
s__38-11_sp019084435--GB_GCA_019084435.1	3.1180805	3166.5	1	complete	Bacillota_A
s__40CM-2-53-6_sp001915065--GB_GCA_001915065.1	1.62708525	1907.5	0	precursors_only	Thermoproteota
s__40CM-3-55-5_sp001918935--GB_GCA_001918935.1	3.29237225	3596.0	0	precursors_only	Acidobacteriota
s__40CM-3-62-11_sp001914955--GB_GCA_001914955.1	1.8479645714285713	1903.857142857143	1	complete	Nitrospirota
s__40CM-4-65-16_sp005880795--GB_GCA_005880795.1	3.06049125	3356.0	0	precursors_only	Dormibacterota
s__40CM-4-65-16_sp005881335--GB_GCA_005881335.1	2.3166266	2656.4	0	precursors_only	Dormibacterota
s__40CM-4-68-19_sp005879535--GB_GCA_005879535.1	4.694837	4707.666666666667	1	complete	Myxococcota
s__40CM-4-69-5_sp001917535--GB_GCA_001917535.1	3.9197895	4087.0	1	complete	Methylomirabilota
s__41-12-T18_sp002163085--GB_GCA_002163085.1	2.314006	2283.5	0	precursors_only	Pseudomonadota
s__41-12-T18_sp002163115--GB_GCA_002163115.1	2.4641925	2425.0	0	precursors_only	Pseudomonadota
s__42-54-T18_sp002162955--GB_GCA_002162955.1	6.573214	5668.5	1	complete	Pseudomonadota
s__42-54-T18_sp002163245--GB_GCA_002163245.1	6.6979025	5835.5	1	complete	Pseudomonadota
s__4484-107_sp002059205--GB_GCA_002059205.1	2.391306	2277.5	0	absent	Latescibacterota
s__4484-219_sp002085035--GB_GCA_002085035.1	2.4336328333333337	2320.1666666666665	0	precursors_only	JdFR-76
s__46-32_sp001898405--GB_GCA_001898405.1	5.34790225	4611.5	0	precursors_only	Bacteroidota
s__46-32_sp001898485--GB_GCA_001898485.1	5.237634333333333	4456.333333333333	0	precursors_only	Bacteroidota
s__46-80_sp003513005--GB_GCA_003513005.1	2.437421	2476.25	0	precursors_only	Bacillota_B
s__49-20_sp012517865--GB_GCA_012517865.1	1.9461445	1760.0	0	precursors_only	Chloroflexota
s__50-400-T64_sp002162825--GB_GCA_002162825.1	2.7476453333333333	2575.3333333333335	1	complete	Pseudomonadota
s__54-19_sp001898225--GB_GCA_001898225.1	9.102906	7410.5	0	precursors_only	Chloroflexota
s__66-474_sp001899805--GB_GCA_001899805.1	3.6645206666666663	3240.3333333333335	1	complete	Pseudomonadota
s__67-14_sp001897355--GB_GCA_001897355.1	3.224485	2971.5	0	precursors_only	Actinomycetota
s__69-11_sp001898425--GB_GCA_001898425.1	6.139878	5722.0	1	complete	Pseudomonadota
s__AAA044-D11_sp002367715--GB_GCA_002367715.1	1.1937145	1262.5	0	precursors_only	Actinomycetota
s__AAA044-D11_sp009726125--GB_GCA_009726125.1	1.2942578333333332	1307.1666666666667	0	precursors_only	Actinomycetota
s__AAA044-D11_sp903842675--GB_GCA_903842675.1	1.2327026315789473	1405.0	0	precursors_only	Actinomycetota
s__AAA044-D11_sp903919375--GB_GCA_903919375.1	1.16338425	1302.75	0	precursors_only	Actinomycetota
s__AAA536-G10_sp016777705--GB_GCA_016777705.1	1.3747526666666667	1550.3333333333333	0	precursors_only	Pseudomonadota
s__AAA536-G10_sp902528415--GB_GCA_902528415.1	1.561695	1660.0	0	precursors_only	Pseudomonadota
s__AAA536-G10_sp902543145--GB_GCA_902543145.1	1.7121535	1822.0	0	precursors_only	Pseudomonadota
s__AC2028_sp017544405--GB_GCA_017544405.1	2.476333	2158.0	0	precursors_only	Bacillota_A
s__AC2028_sp902790935--GB_GCA_902790935.1	2.1346953333333336	1911.3333333333333	0	precursors_only	Bacillota_A
s__AEGEAN-183_sp001628005--GB_GCA_001628005.1	1.586884	1749.6666666666667	0	precursors_only	Pseudomonadota
s__AER2-1_sp016000045--GB_GCA_016000045.1	1.2594325	1223.0	0	absent	Myxococcota
s__AG-337-I02_sp902580765--GB_GCA_902580765.1	1.09615	1167.5	0	absent	Pseudomonadota
s__AG-337-I02_sp902603095--GB_GCA_902603095.1	1.023312	1103.0	0	absent	Pseudomonadota
s__AG-337-I02_sp902616075--GB_GCA_902616075.1	1.0466183333333334	1106.6666666666667	0	absent	Pseudomonadota
s__AG-339-G14_sp902635045--GB_GCA_902635045.1	1.03786525	1075.0	0	precursors_only	Pseudomonadota
s__AG-430-B22_sp003212795--GB_GCA_003212795.1	1.1317134285714285	1157.857142857143	0	precursors_only	Pseudomonadota
s__AG-430-B22_sp902533755--GB_GCA_902533755.1	1.210487	1255.5	0	precursors_only	Pseudomonadota
s__AG41_sp003221045--GB_GCA_003221045.1	3.5358505	3602.5	0	precursors_only	Gemmatimonadota
s__AG41_sp003222035--GB_GCA_003222035.1	3.4319945	3469.5	0	precursors_only	Gemmatimonadota
s__AG41_sp003222085--GB_GCA_003222085.1	3.27127	3231.25	0	precursors_only	Gemmatimonadota
s__AL-N1_sp013122435--GB_GCA_013122435.1	8.188695	7289.75	0	precursors_only	Chloroflexota
s__ANME1a_sp003194425--GB_GCA_003194425.1	1.208542	1265.0	0	precursors_only	Halobacteriota
s__AR12_sp003220475--GB_GCA_003220475.1	4.6180875	5039.0	1	complete	Methylomirabilota
s__AR19_sp003220595--GB_GCA_003220595.1	4.011067	4346.5	1	complete	Methylomirabilota
s__AR37_sp003220345--GB_GCA_003220345.1	5.5201685	5767.5	1	complete	Methylomirabilota
s__ARK-14_sp022759165--GB_GCA_022759165.1	1.1557745	1284.0	0	precursors_only	Thermoproteota
s__ARS1301_sp017609205--GB_GCA_017609205.1	0.534661	641.5	0	absent	Nanoarchaeota
s__ASP10-02a_sp002470565--GB_GCA_002470565.1	2.077865	2030.3333333333333	0	precursors_only	Pseudomonadota
s__ASP10-02a_sp002686055--GB_GCA_002686055.1	1.5380455	1524.0	0	precursors_only	Pseudomonadota
s__ASP10-02a_sp018647765--GB_GCA_018647765.1	2.37318075	2351.5	0	precursors_only	Pseudomonadota
s__ATCC-39006_sp002847015--RS_GCF_002847015.1	4.9717565	4430.0	0	precursors_only	Pseudomonadota
s__ATZT02_sp016463095--GB_GCA_016463095.1	1.1914315	1312.5	0	absent	Actinomycetota
s__AU392_sp003443635--GB_GCA_003443635.1	3.336441	3044.0	0	precursors_only	Bacteroidota
s__AV133_sp003219265--GB_GCA_003219265.1	2.1717303333333335	2324.3333333333335	0	precursors_only	Verrucomicrobiota
s__AV40_sp003219215--GB_GCA_003219215.1	2.29747625	2482.5	0	precursors_only	Verrucomicrobiota
s__AV69_sp003219125--GB_GCA_003219125.1	2.8807245	3093.0	0	precursors_only	Verrucomicrobiota
s__AV69_sp003219175--GB_GCA_003219175.1	3.2161145	3385.0	0	precursors_only	Verrucomicrobiota
s__AV80_sp003134785--GB_GCA_003134785.1	4.2412003333333335	3888.6666666666665	0	precursors_only	Verrucomicrobiota
s__AWTP1-13_sp019747815--GB_GCA_019747815.1	4.329957	4372.0	1	complete	Pseudomonadota
s__AWTP1-35_sp003962875--GB_GCA_020637215.1	3.2708223333333333	3209.6666666666665	0	precursors_only	Actinomycetota
s__AWTP1-9_sp016200915--GB_GCA_016200915.1	4.2100635	4036.0	0	precursors_only	Bacteroidota
s__Abiotrophia_defectiva--RS_GCF_000160075.2	2.0765312	2098.0	0	precursors_only	Bacillota
s__Abzuiibacterium_crystallinum--GB_GCA_002787155.1	2.506311	2211.5	0	precursors_only	Omnitrophota
s__AcAMD-2_sp000754455--GB_GCA_000754455.1	1.249293	1358.5	0	precursors_only	Actinomycetota
s__AcAMD-2_sp903920865--GB_GCA_903920865.1	1.6041854	1709.8	0	precursors_only	Actinomycetota
s__Accumulibacter_cognatus--GB_GCA_013414765.1	4.558017	4270.454545454545	1	complete	Pseudomonadota
s__Accumulibacter_similis--GB_GCA_013347225.1	4.7479135	4275.5	1	complete	Pseudomonadota
s__Accumulibacter_sp023806565--GB_GCA_023806565.1	3.820052	3576.5	1	complete	Pseudomonadota
s__Accumulibacter_sp023806635--GB_GCA_023806635.1	4.441613333333333	3910.6666666666665	1	complete	Pseudomonadota
s__Acd1_sp000389735--GB_GCA_000389735.1	1.234548375	1455.6875	0	precursors_only	Thermoproteota
s__Acetanaerobacterium_sp023421245--GB_GCA_023421245.1	2.4708075	2320.5	0	absent	Bacillota_A
s__Acetanaerobacterium_sp023460535--GB_GCA_023460535.1	1.939622	1831.8	0	absent	Bacillota_A
s__Acetatifactor_muris_A--GB_GCA_023663635.1	2.887463	2618.6666666666665	0	precursors_only	Bacillota_A
s__Acetatifactor_sp011959105--GB_GCA_011959105.1	4.079539666666666	3665.3333333333335	0	precursors_only	Bacillota_A
s__Acetatifactor_sp023662875--GB_GCA_023662875.1	3.793966	3294.5	0	precursors_only	Bacillota_A
s__Acetatifactor_sp023663725--GB_GCA_023663725.1	3.683658	3305.0	0	precursors_only	Bacillota_A
s__Acetatifactor_sp900320485--GB_GCA_900320485.1	3.4322823333333337	3122.0	0	precursors_only	Bacillota_A
s__Acetatifactor_sp910585615--GB_GCA_910585615.1	4.550921666666667	4041.0	0	precursors_only	Bacillota_A
s__Acetatifactor_sp910585665--GB_GCA_910585665.1	4.319945	3847.0	0	precursors_only	Bacillota_A
s__Acetatifactor_sp910589035--GB_GCA_910589035.1	4.7371565	4132.0	0	precursors_only	Bacillota_A
s__Acetatifactor_sp910589655--GB_GCA_910589655.1	4.112824666666667	3502.3333333333335	0	precursors_only	Bacillota_A
s__Acetatifactor_sp934394815--GB_GCA_934394815.1	2.972786	2604.5	0	precursors_only	Bacillota_A
s__Acetilactobacillus_jinshanensis--RS_GCF_004359375.1	1.6213045	1565.5	0	accessory_only	Bacillota
s__Acetivibrio_clariflavus--RS_GCF_000237085.1	4.676248333333333	4029.0	0	absent	Bacillota_A
s__Acetobacter_ascendens--RS_GCF_001766235.1	3.167027	3079.3333333333335	0	precursors_only	Pseudomonadota
s__Acetobacter_fallax--RS_GCF_011516735.1	4.216441	3885.5	0	precursors_only	Pseudomonadota
s__Acetobacter_garciniae--RS_GCF_017377735.1	3.827984	3429.5	0	precursors_only	Pseudomonadota
s__Acetobacter_lovaniensis--RS_GCF_014207635.1	3.379284	3274.6666666666665	0	precursors_only	Pseudomonadota
s__Acetobacter_orleanensis--RS_GCF_001581005.1	3.0079225	2779.0	0	precursors_only	Pseudomonadota
s__Acetobacter_oryzifermentans--RS_GCF_001628715.1	3.072785	2993.3809523809523	0	accessory_only	Pseudomonadota
s__Acetobacter_oryzoeni--RS_GCF_004014775.2	2.8414968	2677.6	0	accessory_only	Pseudomonadota
s__Acetobacter_pasteurianus--RS_GCF_000285275.1	3.240182681818182	3129.181818181818	0	precursors_only	Pseudomonadota
s__Acetobacter_sp017413025--GB_GCA_017413025.1	1.46979825	1404.0	0	accessory_only	Pseudomonadota
s__Acetobacterium_dehalogenans--RS_GCF_000472665.1	4.0636495	3784.5	0	absent	Bacillota_A
s__Acetocimmeria_pyornia--GB_GCA_004367365.1	2.5833283333333337	2515.3333333333335	0	precursors_only	Bacillota_E
s__Acetomicrobium_flavidum--GB_GCA_900129645.1	2.0423766666666667	2029.0	0	absent	Synergistota
s__Acholeplasma_laidlawii--RS_GCF_000018785.1	1.4781898	1404.4666666666667	0	precursors_only	Bacillota
s__Achromobacter_insolitus--RS_GCF_002209555.1	6.460339380952381	6017.333333333333	1	complete	Pseudomonadota
s__Achromobacter_marplatensis--RS_GCF_002209535.1	6.88641	6331.75	1	complete	Pseudomonadota
s__Achromobacter_sp002902905--RS_GCF_002902905.1	6.6933685	6201.0	1	complete	Pseudomonadota
s__Achromobacter_sp002975275--RS_GCF_002975275.1	6.054557	5994.0	1	complete	Pseudomonadota
s__Achromobacter_spanius--RS_GCF_002812705.1	6.413526200000001	5781.8	1	complete	Pseudomonadota
s__Achromobacter_spanius_B--RS_GCF_003600685.1	5.751946166666667	5409.833333333333	1	complete	Pseudomonadota
s__Achromobacter_spanius_C--RS_GCF_003994415.1	6.638385333333333	6087.333333333333	1	complete	Pseudomonadota
s__Achromobacter_xylosoxidans_B--RS_GCF_000165835.1	7.168401	6597.0	1	complete	Pseudomonadota
s__Acidaminococcus_fermentans--RS_GCF_000025305.1	2.1089344375	1954.3125	0	precursors_only	Bacillota_C
s__Acidaminococcus_intestini--RS_GCF_000425045.1	2.24023875	2108.5714285714284	0	precursors_only	Bacillota_C
s__Acidaminococcus_massiliensis--RS_GCF_900095825.1	2.5873695	2377.0	0	precursors_only	Bacillota_C
s__Acidaminococcus_sp000437815--RS_GCF_009696675.1	2.18259175	2011.75	0	precursors_only	Bacillota_C
s__Acidaminococcus_sp022482815--GB_GCA_022482815.1	2.49692675	2155.25	0	precursors_only	Bacillota_C
s__Acidianus_ambivalens--RS_GCF_009729015.1	2.2894835	2708.0	0	precursors_only	Thermoproteota
s__Acididesulfobacter_diazotrophicus--GB_GCA_004195025.1	2.6124873333333336	2547.3333333333335	0	absent	SZUA-79
s__Acidiphilium_multivorum--RS_GCF_000202835.1	3.908848777777778	3780.6666666666665	1	complete	Pseudomonadota
s__Acidithiobacillus_ferrianus--RS_GCF_010378095.1	2.732642	2842.5	0	precursors_only	Pseudomonadota
s__Acidithiobacillus_ferrooxidans--RS_GCF_000021485.1	3.091816	3254.5384615384614	0	absent	Pseudomonadota
s__Acidithiobacillus_sp018853465--RS_GCF_018853465.1	2.5376725	2635.5	0	absent	Pseudomonadota
s__Acidithiobacillus_sp021839095--GB_GCA_021839095.1	2.345739	2468.5	0	absent	Pseudomonadota
s__Acidithrix_sp021841935--GB_GCA_021841935.1	2.565979	2252.5	0	precursors_only	Actinomycetota
s__Acidobacterium_capsulatum--RS_GCF_000022565.1	4.0596185	3325.5	0	precursors_only	Acidobacteriota
s__Acidocella_sp002281005--GB_GCA_002281005.1	2.0688885	2278.0	1	complete	Pseudomonadota
s__Acidoferrum_sp018268785--GB_GCA_018268785.1	4.1779915	3847.0	0	precursors_only	Acidobacteriota
s__Acidothermus_cellulolyticus--RS_GCF_000015025.1	2.3489825	2200.0	0	precursors_only	Actinomycetota
s__Acidovorax_A_avenae--RS_GCF_000176855.2	5.582107	4294.111111111111	1	complete	Pseudomonadota
s__Acidovorax_A_citrulli--RS_GCF_900100305.1	5.099217	4625.071428571428	1	complete	Pseudomonadota
s__Acidovorax_A_wautersii--RS_GCF_900113035.1	4.4716035	3996.25	1	complete	Pseudomonadota
s__Acidovorax_C_caeni--RS_GCF_001298675.1	4.1716315	3903.0	1	complete	Pseudomonadota
s__Acidovorax_delafieldii--RS_GCF_007993815.1	5.200737111111111	4790.888888888889	1	complete	Pseudomonadota
s__Acidovorax_sp001424425--RS_GCF_001424425.1	5.870014333333333	5196.666666666667	1	complete	Pseudomonadota
s__Acidovorax_sp001633105--RS_GCF_001633105.1	5.538457	5469.0	1	complete	Pseudomonadota
s__Acidovorax_sp002754495--RS_GCF_003669015.1	5.044600666666667	4491.666666666667	1	complete	Pseudomonadota
s__Acidovorax_sp003058055--RS_GCF_003058055.1	5.05933	4654.5	1	complete	Pseudomonadota
s__Acinetobacter_baretiae--RS_GCF_015627105.1	2.6343285	2495.5	0	absent	Pseudomonadota
s__Acinetobacter_baumannii--RS_GCF_009759685.1	3.9769275042876484	3817.4665262524445	1	complete	Pseudomonadota
s__Acinetobacter_baylyi--RS_GCF_000368685.1	3.6345483846153845	3365.6923076923076	1	complete	Pseudomonadota
s__Acinetobacter_beijerinckii--RS_GCF_000369005.1	3.6113412	3396.8	1	complete	Pseudomonadota
s__Acinetobacter_courvalinii--RS_GCF_014635545.1	3.9449641	3680.4	1	complete	Pseudomonadota
s__Acinetobacter_defluvii--RS_GCF_001704615.3	3.654821	3487.0	1	complete	Pseudomonadota
s__Acinetobacter_geminorum--RS_GCF_013009345.1	3.7704253999999997	3540.4	1	complete	Pseudomonadota
s__Acinetobacter_guerrae--RS_GCF_009372255.1	3.6060916666666665	3543.6666666666665	1	complete	Pseudomonadota
s__Acinetobacter_guillouiae--RS_GCF_000368145.1	4.751494736842105	4423.578947368421	1	complete	Pseudomonadota
s__Acinetobacter_junii--RS_GCF_000368765.1	3.3531524342105263	3258.3552631578946	1	complete	Pseudomonadota
s__Acinetobacter_kanungonis--RS_GCF_009939195.1	3.5875876666666664	3369.3333333333335	1	complete	Pseudomonadota
s__Acinetobacter_modestus--RS_GCF_014636095.1	3.542141	3383.8	1	complete	Pseudomonadota
s__Acinetobacter_pittii_H--RS_GCF_002928115.1	3.9511196	3731.3	1	complete	Pseudomonadota
s__Acinetobacter_populi--RS_GCF_002174125.1	3.5018915	3236.0	1	complete	Pseudomonadota
s__Acinetobacter_radioresistens--RS_GCF_006757745.1	3.095733947368421	2944.1447368421054	1	complete	Pseudomonadota
s__Acinetobacter_rudis--RS_GCF_000829675.1	4.014244	3649.5	1	complete	Pseudomonadota
s__Acinetobacter_shaoyimingii--RS_GCF_011578045.1	3.559403	3245.5	1	complete	Pseudomonadota
s__Acinetobacter_sp000369505--RS_GCF_000369505.1	3.509135	3269.3333333333335	1	complete	Pseudomonadota
s__Acinetobacter_sp000369525--RS_GCF_000369525.1	4.302027466666667	4031.3333333333335	1	complete	Pseudomonadota
s__Acinetobacter_sp000369645--RS_GCF_024582815.1	4.147490666666666	4064.4444444444443	1	complete	Pseudomonadota
s__Acinetobacter_sp000369805--RS_GCF_000369805.1	3.897127	3575.5	1	complete	Pseudomonadota
s__Acinetobacter_sp001647545--RS_GCF_001647545.1	3.346677	3157.5	1	complete	Pseudomonadota
s__Acinetobacter_sp002455755--GB_GCA_002455755.1	2.843438	2969.5	1	complete	Pseudomonadota
s__Acinetobacter_sp016624945--RS_GCF_016624945.1	3.5396876666666666	3314.0	1	complete	Pseudomonadota
s__Acinetobacter_sp019038395--RS_GCF_019038395.1	3.148034	3004.5	1	complete	Pseudomonadota
s__Acinetobacter_tandoii--RS_GCF_000400735.1	3.9271926666666666	3762.8333333333335	1	complete	Pseudomonadota
s__Acinetobacter_terrestris--RS_GCF_004331155.1	3.33811	3154.8	1	complete	Pseudomonadota
s__Acinetobacter_towneri--RS_GCF_000368785.1	2.8800720606060604	2746.651515151515	1	complete	Pseudomonadota
s__Acinetobacter_wuhouensis--RS_GCF_001696605.3	4.134360666666667	3964.6666666666665	1	complete	Pseudomonadota
s__Actinoalloteichus_cyanogriseus--RS_GCF_000429185.2	6.30202325	5435.25	0	precursors_only	Actinomycetota
s__Actinoalloteichus_fjordicus--RS_GCF_001941625.1	7.1981195	6128.5	0	precursors_only	Actinomycetota
s__Actinobacillus_ureae--RS_GCF_000188255.1	2.4406556666666663	2557.0	0	absent	Pseudomonadota
s__Actinobaculum_suis--RS_GCF_900102025.1	2.295666	1854.2	0	precursors_only	Actinomycetota
s__Actinokineospora_terrae--RS_GCF_900111175.1	7.6020295	6645.0	0	precursors_only	Actinomycetota
s__Actinomarina_sp003282445--GB_GCA_003282445.1	0.974934125	1064.875	0	precursors_only	Actinomycetota
s__Actinomarina_sp902519215--GB_GCA_902519215.1	0.8021715	899.5	0	precursors_only	Actinomycetota
s__Actinomarina_sp902519845--GB_GCA_902519845.1	1.0284055	1117.5	0	precursors_only	Actinomycetota
s__Actinomarina_sp902580215--GB_GCA_902580215.1	0.9251286	1003.6	0	precursors_only	Actinomycetota
s__Actinomarina_sp902587025--GB_GCA_902587025.1	0.7578775999999999	839.4	0	precursors_only	Actinomycetota
s__Actinomarina_sp902596545--GB_GCA_902596545.1	0.9991395	1062.0	0	precursors_only	Actinomycetota
s__Actinomyces_howellii--RS_GCF_900637165.1	3.112841	2563.0	0	absent	Actinomycetota
s__Actinomyces_israelii--RS_GCF_000711965.1	3.8903685	3340.0	0	precursors_only	Actinomycetota
s__Actinomyces_oris--RS_GCF_006546825.1	3.0976164166666664	2547.25	0	precursors_only	Actinomycetota
s__Actinomyces_sp023369555--RS_GCF_023369555.1	2.694572714285714	2369.1428571428573	0	precursors_only	Actinomycetota
s__Actinophytocola_algeriensis--RS_GCF_014203735.1	9.741852	8999.0	1	complete	Actinomycetota
s__Actinoplanes_ferrugineus_A--RS_GCF_003002065.1	8.643892	7822.5	0	precursors_only	Actinomycetota
s__Actinoplanes_ianthinogenes--RS_GCF_018324205.1	10.005106	9140.0	0	precursors_only	Actinomycetota
s__Actinoplanes_regularis--RS_GCF_900188005.1	9.999875	8976.0	0	precursors_only	Actinomycetota
s__Actinoplanes_teichomyceticus--RS_GCF_003711105.1	8.24079825	7270.0	0	precursors_only	Actinomycetota
s__Actinosynnema_texasense--RS_GCF_003752005.1	9.1117095	8017.0	1	complete	Actinomycetota
s__Actinotalea_fermentans--GB_GCA_000767215.1	3.677629	3703.0	0	precursors_only	Actinomycetota
s__Actinotignum_schaalii--RS_GCF_000724605.1	2.1451465	1774.5	0	precursors_only	Actinomycetota
s__Actinotignum_timonense--RS_GCF_900155575.1	2.221127	1887.75	0	precursors_only	Actinomycetota
s__Acutalibacter_sp009917525--RS_GCF_009917525.1	2.913763	2908.0	0	absent	Bacillota_A
s__Acutalibacter_sp904419785--GB_GCA_904419785.1	2.3016865	2220.5	0	absent	Bacillota_A
s__Acutalibacter_sp910574935--GB_GCA_910574935.1	4.1800871428571424	4193.857142857143	0	precursors_only	Bacillota_A
s__Advenella_sp003533245--RS_GCF_014897675.1	4.7060285	4458.0	1	complete	Pseudomonadota
s__Aequorivita_sp002715485--GB_GCA_002715485.1	2.930914	2837.0	0	precursors_only	Bacteroidota
s__Aequorivita_viscosa--RS_GCF_900106795.1	3.531212	3132.0	0	precursors_only	Bacteroidota
s__Aerococcus_sp001809535--RS_GCF_001809535.1	2.111287	1906.5	1	complete	Bacillota
s__Aeromicrobium_piscarium--RS_GCF_007421815.1	3.8770025	3818.5	0	precursors_only	Actinomycetota
s__Aeromicrobium_sp024508295--RS_GCF_024508295.1	3.0122253333333333	2886.3333333333335	0	precursors_only	Actinomycetota
s__Aeromicrobium_yanjiei--RS_GCF_009649075.1	3.632527	3494.0	0	precursors_only	Actinomycetota
s__Aeromonas_bestiarum--RS_GCF_000819745.1	4.825780166666667	4344.333333333333	1	complete	Pseudomonadota
s__Aeromonas_diversa--RS_GCF_000819805.1	4.044464	3777.5	0	precursors_only	Pseudomonadota
s__Aeromonas_encheleia--RS_GCF_900637545.1	4.522928857142857	4111.142857142857	1	complete	Pseudomonadota
s__Aeromonas_enteropelogenes--RS_GCF_000819845.1	4.425407333333333	3985.0833333333335	1	complete	Pseudomonadota
s__Aeromonas_simiae--RS_GCF_000820125.1	3.9808955	3677.0	0	precursors_only	Pseudomonadota
