gtdb_species_clade_id	gtdb_phylum	pha_class	n_phac_clusters	primary_env	primary_variability
s__2-12-FULL-35-15_sp903919535--GB_GCA_903919535.1	Bacteroidota	other_pfam	1	freshwater	moderate
s__2-12-FULL-37-12_sp001769655--GB_GCA_001769655.1	Bacteroidota	other_pfam	1	other_unknown	unknown
s__2-12-FULL-53-21_sp020027805--GB_GCA_020027805.1	Desulfobacterota_D	other_pfam	2	freshwater	moderate
s__2-12-FULL-67-15_sp009693905--GB_GCA_009693905.1	Pseudomonadota	other_pfam	2	freshwater	moderate
s__2-12-FULL-67-15_sp016872535--GB_GCA_016872535.1	Pseudomonadota	other_pfam	5	freshwater	moderate
s__2-12-FULL-68-20_sp001770655--GB_GCA_001770655.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__20CM-2-70-11_sp001914535--GB_GCA_001914535.1	Methylomirabilota	other_pfam	1	soil	high
s__20CM-2-70-11_sp003220315--GB_GCA_003220315.1	Methylomirabilota	other_pfam	1	soil	high
s__20CM-2-70-11_sp003221695--GB_GCA_003221695.1	Methylomirabilota	other_pfam	1	soil	high
s__28-YEA-48_sp001898965--GB_GCA_001898965.1	Pseudomonadota	other_pfam	1	wastewater_engineered	high
s__28-YEA-48_sp903825465--GB_GCA_903825465.1	Pseudomonadota	other_pfam	1	freshwater	moderate
s__28-YEA-48_sp903851305--GB_GCA_903851305.1	Pseudomonadota	other_pfam	2	freshwater	moderate
s__28-YEA-48_sp903861645--GB_GCA_903861645.1	Pseudomonadota	other_pfam	1	freshwater	moderate
s__28-YEA-48_sp903889985--GB_GCA_903889985.1	Pseudomonadota	other_pfam	3	freshwater	moderate
s__28-YEA-48_sp903902915--GB_GCA_903902915.1	Pseudomonadota	other_pfam	2	freshwater	moderate
s__28-YEA-48_sp903916165--GB_GCA_903916165.1	Pseudomonadota	other_pfam	2	freshwater	moderate
s__28-YEA-48_sp903931945--GB_GCA_903931945.1	Pseudomonadota	other_pfam	2	freshwater	moderate
s__33-17_sp001897445--GB_GCA_001897445.1	Pseudomonadota	other_pfam	1	wastewater_engineered	high
s__38-11_sp019084435--GB_GCA_019084435.1	Bacillota_A	other_pfam	1	freshwater	moderate
s__40CM-3-62-11_sp001914955--GB_GCA_001914955.1	Nitrospirota	other_pfam	1	soil	high
s__40CM-4-68-19_sp005879535--GB_GCA_005879535.1	Myxococcota	other_pfam	2	other_unknown	unknown
s__40CM-4-68-19_sp005879805--GB_GCA_005879805.1	Myxococcota	other_pfam	2	other_unknown	unknown
s__40CM-4-69-5_sp001917535--GB_GCA_001917535.1	Methylomirabilota	other_pfam	1	soil	high
s__40CM-68-15_sp003220615--GB_GCA_003220615.1	Methylomirabilota	other_pfam	1	soil	high
s__41T-STBD-0c-01a_sp020445205--GB_GCA_020445205.1	Pseudomonadota	other_pfam	1	plant_associated	high
s__41T-STBD-0c-01a_sp020445255--GB_GCA_020445255.1	Pseudomonadota	other_pfam	1	plant_associated	high
s__41T-STBD-0c-01a_sp024235395--GB_GCA_024235395.1	Pseudomonadota	other_pfam	1	plant_associated	high
s__41T-STBD-0c-01a_sp024235415--GB_GCA_024235415.1	Pseudomonadota	other_pfam	1	plant_associated	high
s__42-54-T18_sp002162955--GB_GCA_002162955.1	Pseudomonadota	other_pfam	2	marine	low
s__42-54-T18_sp002163245--GB_GCA_002163245.1	Pseudomonadota	other_pfam	2	marine	low
s__43-37_sp001897475--GB_GCA_001897475.1	Pseudomonadota	other_pfam	2	wastewater_engineered	high
s__50-400-T64_sp002162755--GB_GCA_002162755.1	Pseudomonadota	other_pfam	2	marine	low
s__50-400-T64_sp002162815--GB_GCA_002162815.1	Pseudomonadota	other_pfam	2	marine	low
s__50-400-T64_sp002162825--GB_GCA_002162825.1	Pseudomonadota	other_pfam	1	marine	low
s__50-400-T64_sp018069465--GB_GCA_018069465.1	Pseudomonadota	other_pfam	2	sediment	moderate
s__62-47_sp001899255--GB_GCA_001899255.1	Pseudomonadota	other_pfam	3	wastewater_engineered	high
s__65-79_sp001896885--GB_GCA_001896885.1	Pseudomonadota	other_pfam	1	wastewater_engineered	high
s__65-9_sp001899525--GB_GCA_001899525.1	Pseudomonadota	other_pfam	1	wastewater_engineered	high
s__66-26_sp001897745--GB_GCA_001897745.1	Pseudomonadota	other_pfam	3	wastewater_engineered	high
s__66-474_sp001899805--GB_GCA_001899805.1	Pseudomonadota	other_pfam	1	wastewater_engineered	high
s__69-11_sp001898425--GB_GCA_001898425.1	Pseudomonadota	other_pfam	5	wastewater_engineered	high
s__70-18_sp001899585--GB_GCA_001899585.1	Pseudomonadota	other_pfam	3	wastewater_engineered	high
s__AAA536-G10_sp003278095--GB_GCA_003278095.1	Pseudomonadota	other_pfam	1	marine	low
s__AAA536-G10_sp003282885--GB_GCA_003282885.1	Pseudomonadota	other_pfam	1	marine	low
s__AAA536-G10_sp003283875--GB_GCA_003283875.1	Pseudomonadota	other_pfam	1	marine	low
s__AAA536-G10_sp902623995--GB_GCA_902623995.1	Pseudomonadota	other_pfam	1	marine	low
s__AK92_sp003399765--RS_GCF_003399765.1	Pseudomonadota	other_pfam	3	freshwater	moderate
s__ALPHA2B_sp005503065--GB_GCA_005503065.1	Pseudomonadota	other_pfam	3	human_clinical	low
s__AP-15_sp005888425--GB_GCA_005888425.1	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__AP-15_sp019244535--GB_GCA_019244535.1	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__AP-16_sp005884745--GB_GCA_005884745.1	Pseudomonadota	other_pfam	4	other_unknown	unknown
s__AP-16_sp019243195--GB_GCA_019243195.1	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__AR12_sp003220225--GB_GCA_003220225.1	Methylomirabilota	other_pfam	1	soil	high
s__AR12_sp003220335--GB_GCA_003220335.1	Methylomirabilota	other_pfam	1	soil	high
s__AR12_sp003220475--GB_GCA_003220475.1	Methylomirabilota	other_pfam	2	soil	high
s__AR19_sp003220595--GB_GCA_003220595.1	Methylomirabilota	other_pfam	1	soil	high
s__AR31_sp003221515--GB_GCA_003221515.1	Methylomirabilota	other_pfam	1	soil	high
s__AR37_sp003220345--GB_GCA_003220345.1	Methylomirabilota	other_pfam	1	soil	high
s__AWRV01_sp000504185--RS_GCF_016806125.1	Pseudomonadota	other_pfam	2	marine	low
s__AWTP1-13_sp019747815--GB_GCA_019747815.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Abyssibacter_profundi--RS_GCF_003151135.1	Pseudomonadota	other_pfam	2	marine	low
s__Abyssibacter_sp023146115--GB_GCA_023146115.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Accumulibacter_affinis--GB_GCA_016713625.1	Pseudomonadota	other_pfam	5	wastewater_engineered	high
s__Accumulibacter_cognatus--GB_GCA_013414765.1	Pseudomonadota	other_pfam	4	wastewater_engineered	high
s__Accumulibacter_conexus--GB_GCA_017592775.1	Pseudomonadota	other_pfam	3	wastewater_engineered	high
s__Accumulibacter_contiguus--RS_GCF_012940005.1	Pseudomonadota	other_pfam	4	plant_associated	high
s__Accumulibacter_iunctus--GB_GCA_002345025.1	Pseudomonadota	other_pfam	2	wastewater_engineered	high
s__Accumulibacter_meliphilus--GB_GCA_003332265.1	Pseudomonadota	other_pfam	4	wastewater_engineered	high
s__Accumulibacter_phosphatis_G--RS_GCF_012939955.1	Pseudomonadota	other_pfam	4	other_unknown	unknown
s__Accumulibacter_propinquus--GB_GCA_016714935.1	Pseudomonadota	other_pfam	4	wastewater_engineered	high
s__Accumulibacter_proximus--GB_GCA_016709675.1	Pseudomonadota	other_pfam	3	wastewater_engineered	high
s__Accumulibacter_similis--GB_GCA_013347225.1	Pseudomonadota	other_pfam	3	wastewater_engineered	high
s__Accumulibacter_sp000585015--GB_GCA_000585015.1	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__Accumulibacter_sp000585055--GB_GCA_000585055.1	Pseudomonadota	other_pfam	4	plant_associated	high
s__Accumulibacter_sp000585075--GB_GCA_000585075.1	Pseudomonadota	other_pfam	4	wastewater_engineered	high
s__Accumulibacter_sp014879755--GB_GCA_024235695.1	Pseudomonadota	other_pfam	5	plant_associated	high
s__Accumulibacter_sp017302455--GB_GCA_017302455.1	Pseudomonadota	other_pfam	5	wastewater_engineered	high
s__Accumulibacter_sp023806565--GB_GCA_023806565.1	Pseudomonadota	other_pfam	5	other_unknown	unknown
s__Accumulibacter_sp023806625--GB_GCA_023806625.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Accumulibacter_sp023806635--GB_GCA_023806635.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Accumulibacter_sp024235715--GB_GCA_024235715.1	Pseudomonadota	other_pfam	2	plant_associated	high
s__Accumulibacter_vicinus--GB_GCA_002425405.1	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__Acetatifactor_sp900760705--GB_GCA_900760705.1	Bacillota_A	other_pfam	1	human_clinical	low
s__Achromobacter_aegrifaciens--RS_GCF_902859735.1	Pseudomonadota	other_pfam	2	soil	high
s__Achromobacter_animicus--RS_GCF_902859585.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Achromobacter_anxifer--RS_GCF_903652925.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Achromobacter_bronchisepticus_A--RS_GCF_014490035.1	Pseudomonadota	other_pfam	3	soil	high
s__Achromobacter_deleyi--RS_GCF_902859705.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Achromobacter_deleyi_A--RS_GCF_013116765.2	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Achromobacter_denitrificans--RS_GCF_001571365.1	Pseudomonadota	other_pfam	3	other_unknown	high
s__Achromobacter_dolens--RS_GCF_902859745.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Achromobacter_insolitus--RS_GCF_002209555.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Achromobacter_insuavis--RS_GCF_902859645.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Achromobacter_insuavis_A--RS_GCF_016127315.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Achromobacter_kerstersii--RS_GCF_902859595.1	Pseudomonadota	other_pfam	1	soil	high
s__Achromobacter_marplatensis--RS_GCF_002209535.1	Pseudomonadota	other_pfam	2	soil	high
s__Achromobacter_mucicolens--RS_GCF_902859725.1	Pseudomonadota	other_pfam	4	animal_associated	low
s__Achromobacter_piechaudii--RS_GCF_001571245.1	Pseudomonadota	other_pfam	2	other_unknown	low
s__Achromobacter_pulmonis--RS_GCF_902859765.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Achromobacter_pulmonis_A--RS_GCF_002885955.2	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__Achromobacter_ruhlandii--RS_GCF_902859695.1	Pseudomonadota	other_pfam	4	human_clinical	low
s__Achromobacter_sp001270295--RS_GCF_943737005.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Achromobacter_sp002902905--RS_GCF_002902905.1	Pseudomonadota	other_pfam	3	human_associated	low
s__Achromobacter_sp002975275--RS_GCF_002975275.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Achromobacter_sp023432075--GB_GCA_023432075.1	Pseudomonadota	other_pfam	2	animal_associated	low
s__Achromobacter_sp900156745--RS_GCF_900156745.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Achromobacter_spanius--RS_GCF_002812705.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Achromobacter_spanius_B--RS_GCF_003600685.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Achromobacter_spanius_C--RS_GCF_003994415.1	Pseudomonadota	other_pfam	2	soil	high
s__Achromobacter_spanius_D--RS_GCF_002966795.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Achromobacter_xylosoxidans--RS_GCF_001457475.1	Pseudomonadota	other_pfam	5	human_clinical	low
s__Achromobacter_xylosoxidans_B--RS_GCF_000165835.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Achromobacter_xylosoxidans_C--RS_GCF_002192695.1	Pseudomonadota	other_pfam	2	freshwater	moderate
s__Acidibrevibacterium_fodinaquatile--RS_GCF_003352165.1	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__Acidibrevibacterium_sp021801255--GB_GCA_021801255.1	Pseudomonadota	other_pfam	3	sediment	moderate
s__Acidimangrovimonas_indica--RS_GCF_900106675.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acidiphilium_multivorum--RS_GCF_000202835.1	Pseudomonadota	other_pfam	4	other_unknown	unknown
s__Acidiphilium_rubrum--RS_GCF_900156265.1	Pseudomonadota	other_pfam	2	other_unknown	high
s__Acidiphilium_sp002255515--RS_GCF_902712915.1	Pseudomonadota	other_pfam	3	wastewater_engineered	high
s__Acidiphilium_sp002279355--GB_GCA_002279355.1	Pseudomonadota	other_pfam	3	wastewater_engineered	high
s__Acidisoma_sp009765865--RS_GCF_009765865.1	Pseudomonadota	other_pfam	3	soil	high
s__Acidocella_aminolytica--RS_GCF_900129125.1	Pseudomonadota	other_pfam	5	other_unknown	unknown
s__Acidocella_facilis--RS_GCF_000687875.1	Pseudomonadota	other_pfam	3	freshwater	moderate
s__Acidocella_sp002255575--GB_GCA_002255575.1	Pseudomonadota	other_pfam	3	wastewater_engineered	high
s__Acidocella_sp002281005--GB_GCA_002281005.1	Pseudomonadota	other_pfam	1	wastewater_engineered	high
s__Acidocella_sp003137135--GB_GCA_003137135.1	Pseudomonadota	other_pfam	5	soil	high
s__Acidocella_sp003164135--GB_GCA_003164135.1	Pseudomonadota	other_pfam	6	soil	high
s__Acidocella_sp018971905--GB_GCA_018971905.1	Pseudomonadota	other_pfam	1	freshwater	moderate
s__Acidocella_sp021808985--GB_GCA_021808985.1	Pseudomonadota	other_pfam	4	sediment	moderate
s__Acidocella_sp021818425--GB_GCA_021818425.1	Pseudomonadota	other_pfam	5	sediment	moderate
s__Acidovorax_A_avenae--RS_GCF_000176855.2	Pseudomonadota	other_pfam	1	plant_associated	high
s__Acidovorax_A_cattleyae--RS_GCF_900104515.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acidovorax_A_citrulli--RS_GCF_900100305.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acidovorax_A_oryzae--RS_GCF_000687165.1	Pseudomonadota	other_pfam	2	plant_associated	high
s__Acidovorax_A_sp913774625--GB_GCA_913774625.1	Pseudomonadota	other_pfam	1	plant_associated	high
s__Acidovorax_A_sp913774955--GB_GCA_913774955.1	Pseudomonadota	other_pfam	1	plant_associated	high
s__Acidovorax_A_wautersii--RS_GCF_900113035.1	Pseudomonadota	other_pfam	1	plant_associated	high
s__Acidovorax_C_caeni--RS_GCF_001298675.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Acidovorax_C_sp001725235--RS_GCF_021496925.1	Pseudomonadota	other_pfam	2	wastewater_engineered	high
s__Acidovorax_F_monticola--RS_GCF_014489595.1	Pseudomonadota	other_pfam	2	soil	high
s__Acidovorax_carolinensis--RS_GCF_002157145.1	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__Acidovorax_defluvii--GB_GCA_003268905.1	Pseudomonadota	other_pfam	6	wastewater_engineered	high
s__Acidovorax_delafieldii--RS_GCF_007993815.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acidovorax_facilis--RS_GCF_023913775.1	Pseudomonadota	other_pfam	5	other_unknown	unknown
s__Acidovorax_kalamii--RS_GCF_002245625.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acidovorax_radicis--RS_GCF_000204195.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acidovorax_soli--RS_GCF_900107605.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Acidovorax_sp000302535--RS_GCF_000302535.1	Pseudomonadota	other_pfam	1	wastewater_engineered	high
s__Acidovorax_sp001424425--RS_GCF_001424425.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acidovorax_sp001428665--RS_GCF_001428665.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acidovorax_sp001464865--GB_GCA_001464865.1	Pseudomonadota	other_pfam	1	plant_associated	high
s__Acidovorax_sp001633105--RS_GCF_001633105.1	Pseudomonadota	other_pfam	2	freshwater	moderate
s__Acidovorax_sp002176815--RS_GCF_002176815.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Acidovorax_sp002754495--RS_GCF_003669015.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Acidovorax_sp003058055--RS_GCF_003058055.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acidovorax_sp018828125--GB_GCA_018828125.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acidovorax_sp019218755--RS_GCF_019218755.1	Pseudomonadota	other_pfam	1	soil	high
s__Acidovorax_sp024711405--GB_GCA_024711405.1	Pseudomonadota	other_pfam	2	plant_associated	high
s__Acidovorax_temperans--RS_GCF_006716905.1	Pseudomonadota	other_pfam	4	human_clinical	low
s__Acinetobacter_albensis--RS_GCF_900095025.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_baumannii--RS_GCF_009759685.1	Pseudomonadota	other_pfam	12	human_associated	low
s__Acinetobacter_baumannii_B--RS_GCF_016508585.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_baylyi--RS_GCF_000368685.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_beijerinckii--RS_GCF_000369005.1	Pseudomonadota	other_pfam	2	other_unknown	low
s__Acinetobacter_bereziniae--RS_GCF_000368925.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_bohemicus--RS_GCF_000367925.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_bouvetii--RS_GCF_000368865.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_brisouii--RS_GCF_000488275.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_calcoaceticus--RS_GCF_000368965.1	Pseudomonadota	other_pfam	3	other_unknown	unknown
s__Acinetobacter_calcoaceticus_C--RS_GCF_900520355.1	Pseudomonadota	other_pfam	2	soil	high
s__Acinetobacter_chengduensis--RS_GCF_003664645.1	Pseudomonadota	other_pfam	1	wastewater_engineered	high
s__Acinetobacter_chinensis--RS_GCF_002165375.2	Pseudomonadota	other_pfam	1	wastewater_engineered	high
s__Acinetobacter_colistiniresistens--RS_GCF_000413935.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_courvalinii--RS_GCF_014635545.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_cumulans--RS_GCF_003024525.3	Pseudomonadota	other_pfam	2	wastewater_engineered	high
s__Acinetobacter_defluvii--RS_GCF_001704615.3	Pseudomonadota	other_pfam	1	wastewater_engineered	high
s__Acinetobacter_dispersus--RS_GCF_009884975.1	Pseudomonadota	other_pfam	2	human_associated	low
s__Acinetobacter_fasciculus--RS_GCF_011058205.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_gandensis--RS_GCF_001678755.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Acinetobacter_geminorum--RS_GCF_013009345.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_gerneri--RS_GCF_000368565.1	Pseudomonadota	other_pfam	1	wastewater_engineered	high
s__Acinetobacter_guerrae--RS_GCF_009372255.1	Pseudomonadota	other_pfam	1	wastewater_engineered	low
s__Acinetobacter_guillouiae--RS_GCF_000368145.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_gyllenbergii--RS_GCF_000413855.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_haemolyticus--RS_GCF_000369065.1	Pseudomonadota	other_pfam	4	human_associated	low
s__Acinetobacter_halotolerans--RS_GCF_004208515.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Acinetobacter_harbinensis--RS_GCF_000816495.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_idrijaensis--GB_GCA_000761495.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_indicus--RS_GCF_000488255.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Acinetobacter_johnsonii--RS_GCF_000368045.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Acinetobacter_junii--RS_GCF_000368765.1	Pseudomonadota	other_pfam	7	human_clinical	low
s__Acinetobacter_kanungonis--RS_GCF_009939195.1	Pseudomonadota	other_pfam	1	soil	high
s__Acinetobacter_kookii--RS_GCF_900096895.1	Pseudomonadota	other_pfam	2	freshwater	moderate
s__Acinetobacter_kyonggiensis--RS_GCF_900107285.1	Pseudomonadota	other_pfam	1	sediment	moderate
s__Acinetobacter_lactucae--RS_GCF_001605885.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_lactucae_A--RS_GCF_013344765.1	Pseudomonadota	other_pfam	3	animal_associated	low
s__Acinetobacter_lanii--RS_GCF_011578285.1	Pseudomonadota	other_pfam	1	animal_associated	low
s__Acinetobacter_lwoffii--RS_GCF_000487975.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_lwoffii_C--RS_GCF_013343215.1	Pseudomonadota	other_pfam	1	animal_associated	low
s__Acinetobacter_lwoffii_D--RS_GCF_014769185.1	Pseudomonadota	other_pfam	1	human_associated	low
s__Acinetobacter_lwoffii_F--RS_GCF_024129435.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_lwoffii_G--GB_GCA_013530545.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_lwoffii_H--RS_GCF_024129735.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_lwoffii_I--RS_GCF_024129355.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_modestus--RS_GCF_014636095.1	Pseudomonadota	other_pfam	3	other_unknown	low
s__Acinetobacter_nosocomialis--RS_GCF_000368085.1	Pseudomonadota	other_pfam	5	human_clinical	low
s__Acinetobacter_oleivorans--RS_GCF_000196795.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_parvus--RS_GCF_000368025.1	Pseudomonadota	other_pfam	1	human_clinical	low
s__Acinetobacter_pecorum--RS_GCF_014837015.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_piscicola_A--RS_GCF_015218165.1	Pseudomonadota	other_pfam	1	animal_associated	low
s__Acinetobacter_pittii--RS_GCF_000369045.1	Pseudomonadota	other_pfam	5	other_unknown	low
s__Acinetobacter_pittii_E--RS_GCF_000399685.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_pittii_H--RS_GCF_002928115.1	Pseudomonadota	other_pfam	2	other_unknown	low
s__Acinetobacter_populi--RS_GCF_002174125.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_portensis--RS_GCF_009372215.1	Pseudomonadota	other_pfam	1	food	moderate
s__Acinetobacter_proteolyticus--RS_GCF_000367945.1	Pseudomonadota	other_pfam	2	other_unknown	low
s__Acinetobacter_pseudolwoffii--RS_GCF_002803605.1	Pseudomonadota	other_pfam	1	animal_associated	low
s__Acinetobacter_radioresistens--RS_GCF_006757745.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_rudis--RS_GCF_000829675.1	Pseudomonadota	other_pfam	1	food	moderate
s__Acinetobacter_schindleri--RS_GCF_000368625.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Acinetobacter_seifertii--RS_GCF_000368065.1	Pseudomonadota	other_pfam	4	human_clinical	low
s__Acinetobacter_shaoyimingii--RS_GCF_011578045.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_soli--RS_GCF_000760595.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_sp000313935--RS_GCF_000313935.1	Pseudomonadota	other_pfam	2	other_unknown	unknown
s__Acinetobacter_sp000368265--RS_GCF_000368265.1	Pseudomonadota	other_pfam	1	freshwater	moderate
s__Acinetobacter_sp000369405--RS_GCF_000369405.1	Pseudomonadota	other_pfam	2	human_associated	low
s__Acinetobacter_sp000369505--RS_GCF_000369505.1	Pseudomonadota	other_pfam	3	human_clinical	low
s__Acinetobacter_sp000369525--RS_GCF_000369525.1	Pseudomonadota	other_pfam	3	human_clinical	low
s__Acinetobacter_sp000369645--RS_GCF_024582815.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_sp000369805--RS_GCF_000369805.1	Pseudomonadota	other_pfam	2	human_clinical	low
s__Acinetobacter_sp000400715--RS_GCF_000400715.1	Pseudomonadota	other_pfam	2	human_associated	low
s__Acinetobacter_sp000632455--RS_GCF_000632455.1	Pseudomonadota	other_pfam	1	other_unknown	unknown
s__Acinetobacter_sp001626925--GB_GCA_001626925.1	Pseudomonadota	other_pfam	1	marine	low
s__Acinetobacter_sp001647545--RS_GCF_001647545.1	Pseudomonadota	other_pfam	1	sediment	moderate
s__Acinetobacter_sp002018365--RS_GCF_002018365.1	Pseudomonadota	other_pfam	1	animal_associated	low
s__Acinetobacter_sp002135205--RS_GCF_002135205.1	Pseudomonadota	other_pfam	2	human_clinical	low
