gtdb_species_clade_id	n_genomes_with_env	primary_env	n_env_categories	primary_variability	pct_high_var	pct_low_var	phb_status	has_phaC	has_complete_pathway	gtdb_phylum
s__12-FULL-67-14b_sp002737365--GB_GCA_002737365.1	7	freshwater	2	moderate	0.0	0.0	precursors_only	0	0	Acidobacteriota
s__13-1-40CM-70-15_sp003223415--GB_GCA_003223415.1	2	soil	1	high	100.0	0.0	precursors_only	0	0	Gemmatimonadota
s__13-2-20CM-66-19_sp001914695--GB_GCA_001914695.1	19	other_unknown	2	unknown	5.263157894736842	0.0	complete	1	1	Pseudomonadota
s__13-2-20CM-66-19_sp003136935--GB_GCA_003136935.1	2	soil	1	high	100.0	0.0	complete	1	1	Pseudomonadota
s__13-2-20CM-66-19_sp005877705--GB_GCA_005877705.1	2	other_unknown	1	unknown	0.0	0.0	complete	1	1	Pseudomonadota
s__13-2-20CM-66-19_sp005878095--GB_GCA_005878095.1	2	other_unknown	1	unknown	0.0	0.0	complete	1	1	Pseudomonadota
s__13-2-20CM-66-19_sp005878835--GB_GCA_005878835.1	6	other_unknown	1	unknown	0.0	0.0	complete	1	1	Pseudomonadota
s__13-2-20CM-66-19_sp019247195--GB_GCA_019247195.1	2	soil	2	high	50.0	0.0	complete	1	1	Pseudomonadota
s__13-2-20CM-66-19_sp021790795--GB_GCA_021790795.1	2	sediment	1	moderate	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__13-2-20CM-66-19_sp021805865--GB_GCA_021805865.1	3	sediment	1	moderate	0.0	0.0	complete	1	1	Pseudomonadota
s__13-2-20CM-66-19_sp021807675--GB_GCA_021807675.1	2	sediment	1	moderate	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__13-2-20CM-66-19_sp021808195--GB_GCA_021808195.1	2	sediment	1	moderate	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__13-2-20CM-66-19_sp021838065--GB_GCA_021838065.1	2	sediment	1	moderate	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__13-2-20CM-66-19_sp021843755--GB_GCA_021843755.1	2	sediment	1	moderate	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__13-2-20CM-66-19_sp021845825--GB_GCA_021845825.1	2	sediment	1	moderate	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__13-2-20CM-66-19_sp021851405--GB_GCA_021851405.1	2	sediment	1	moderate	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__13-2-20CM-68-14_sp005884005--GB_GCA_005884005.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Actinomycetota
s__13-2-20CM-68-14_sp005888315--GB_GCA_005888315.1	3	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Actinomycetota
s__14-2_sp000403255--GB_GCA_000403255.2	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Bacillota_A
s__14-2_sp000403315--GB_GCA_000403315.2	5	animal_associated	2	low	0.0	80.0	precursors_only	0	0	Bacillota_A
s__14-2_sp009774455--GB_GCA_910585295.1	3	animal_associated	2	low	0.0	66.66666666666666	precursors_only	0	0	Bacillota_A
s__14-2_sp011960065--GB_GCA_910575555.1	10	other_unknown	2	unknown	0.0	20.0	precursors_only	0	0	Bacillota_A
s__14-2_sp012519695--GB_GCA_012519695.1	4	human_clinical	3	low	0.0	75.0	precursors_only	0	0	Bacillota_A
s__14-2_sp910575005--GB_GCA_910575005.1	5	other_unknown	2	unknown	0.0	20.0	precursors_only	0	0	Bacillota_A
s__14-2_sp910575035--GB_GCA_910575035.1	3	other_unknown	2	unknown	0.0	33.33333333333333	precursors_only	0	0	Bacillota_A
s__14-2_sp910575075--GB_GCA_910575075.1	5	other_unknown	2	unknown	0.0	20.0	precursors_only	0	0	Bacillota_A
s__14-2_sp910575155--GB_GCA_910575155.1	2	other_unknown	2	unknown	0.0	50.0	precursors_only	0	0	Bacillota_A
s__14-2_sp910576385--GB_GCA_910576385.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Bacillota_A
s__14-2_sp910577785--GB_GCA_910577785.1	3	animal_associated	2	low	0.0	66.66666666666666	precursors_only	0	0	Bacillota_A
s__14-2_sp910580015--GB_GCA_910580015.1	2	animal_associated	1	low	0.0	100.0	precursors_only	0	0	Bacillota_A
s__14-2_sp910585625--GB_GCA_910585625.1	2	animal_associated	1	low	0.0	100.0	precursors_only	0	0	Bacillota_A
s__14-2_sp910588285--GB_GCA_910588285.1	3	animal_associated	1	low	0.0	100.0	precursors_only	0	0	Bacillota_A
s__14-2_sp910588845--GB_GCA_910588845.1	2	animal_associated	1	low	0.0	100.0	precursors_only	0	0	Bacillota_A
s__14-2_sp910588965--GB_GCA_910588965.1	2	animal_associated	2	low	0.0	50.0	precursors_only	0	0	Bacillota_A
s__16-39-46_sp002257235--GB_GCA_002257235.1	2	wastewater_engineered	1	high	100.0	0.0	absent	0	0	Pseudomonadota
s__1XD42-69_sp003612565--RS_GCF_003612565.1	3	other_unknown	2	unknown	0.0	33.33333333333333	precursors_only	0	0	Bacillota_A
s__1XD42-69_sp009911505--GB_GCA_009911505.1	4	animal_associated	2	low	0.0	50.0	precursors_only	0	0	Bacillota_A
s__1XD42-69_sp011959925--GB_GCA_011959925.1	4	animal_associated	2	low	0.0	75.0	precursors_only	0	0	Bacillota_A
s__1XD42-69_sp014287635--RS_GCF_014287635.1	2	human_clinical	2	low	0.0	100.0	precursors_only	0	0	Bacillota_A
s__1XD42-69_sp910586725--GB_GCA_910586725.1	2	animal_associated	1	low	0.0	100.0	precursors_only	0	0	Bacillota_A
s__1XD42-69_sp910588565--GB_GCA_910588565.1	2	other_unknown	2	unknown	0.0	50.0	precursors_only	0	0	Bacillota_A
s__1XD42-69_sp910589105--GB_GCA_910589105.1	2	other_unknown	2	unknown	0.0	50.0	precursors_only	0	0	Bacillota_A
s__1XD8-76_sp910573755--GB_GCA_910573755.1	7	other_unknown	2	unknown	0.0	42.857142857142854	precursors_only	0	0	Bacillota_A
s__1XD8-76_sp910578085--GB_GCA_910578085.1	3	animal_associated	2	low	0.0	66.66666666666666	precursors_only	0	0	Bacillota_A
s__2-01-FULL-37-20_sp001784115--GB_GCA_001784115.1	5	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-38-13_sp001782165--GB_GCA_001782165.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-38-21_sp001782085--GB_GCA_001782085.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-39-21_sp001792305--GB_GCA_001792305.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-39-21_sp001792535--GB_GCA_001792535.1	6	other_unknown	2	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-39-24_sp001789445--GB_GCA_001789445.1	4	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-39-28_sp001794635--GB_GCA_001794635.1	3	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-39-28_sp001795735--GB_GCA_001795735.1	5	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-39-33_sp001817505--GB_GCA_001817505.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-39-33_sp002773855--GB_GCA_002773855.1	2	freshwater	2	moderate	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-40-13_sp001788015--GB_GCA_001788015.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-40-13_sp001789635--GB_GCA_001789635.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-40-13_sp001789645--GB_GCA_001789645.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-40-13_sp001789695--GB_GCA_001789695.1	5	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-40-13_sp001789745--GB_GCA_001789745.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-40-24_sp001776975--GB_GCA_001776975.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-40-39_sp001820095--GB_GCA_001820095.1	3	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-40-42_sp001789965--GB_GCA_001789965.1	7	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-41-14_sp001767855--GB_GCA_001767855.1	5	other_unknown	2	unknown	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__2-01-FULL-41-18_sp001772615--GB_GCA_001772615.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-41-21_sp903830625--GB_GCA_903830625.1	2	freshwater	1	moderate	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-41-22_sp001789805--GB_GCA_001789805.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-41-26_sp001794125--GB_GCA_001794125.1	6	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-42-15_sp001784055--GB_GCA_001784055.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-42-20_sp001785965--GB_GCA_001785965.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-43-14_sp001816835--GB_GCA_001816835.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-43-22_sp001794435--GB_GCA_001794435.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-43-22_sp001795615--GB_GCA_001795615.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-43-38_sp000997105--GB_GCA_000997105.1	3	other_unknown	2	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-44-21_sp001777655--GB_GCA_001777655.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-44-22_sp001795975--GB_GCA_001795975.1	3	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-45-10_sp001804065--GB_GCA_001804065.1	4	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Omnitrophota
s__2-01-FULL-45-33_sp001778595--GB_GCA_001778595.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-45-33_sp001778875--GB_GCA_001778875.1	4	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-46-13_sp001778545--GB_GCA_001778545.1	4	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-46-13_sp001778905--GB_GCA_001778905.1	4	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-46-13_sp001780775--GB_GCA_001780775.1	6	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-46-14_sp001777515--GB_GCA_001777515.1	7	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-48-14_sp001822835--GB_GCA_001822835.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-48-16_sp001823155--GB_GCA_001823155.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-49-10_sp001771275--GB_GCA_001771275.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-49-22_sp001788565--GB_GCA_001788565.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-50-23_sp001774555--GB_GCA_001774555.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-50-28_sp001816585--GB_GCA_001816585.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-51-10_sp001823605--GB_GCA_001823605.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-51-21_sp001781435--GB_GCA_001781435.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-51-34_sp001820785--GB_GCA_001820785.1	4	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-01-FULL-52-15_sp001818365--GB_GCA_001818365.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-53-15_sp001772335--GB_GCA_001772335.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Margulisbacteria
s__2-01-FULL-58-14_sp001824745--GB_GCA_001824745.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-01-FULL-64-13_sp001800095--GB_GCA_001800095.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Elusimicrobiota
s__2-02-FULL-35-15_sp001784585--GB_GCA_001784585.1	2	other_unknown	1	unknown	0.0	0.0	complete	1	1	Cyanobacteriota
s__2-02-FULL-37-13_sp001782195--GB_GCA_001782195.1	3	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-02-FULL-38-14-A_sp001790855--GB_GCA_001790855.1	4	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Schekmanbacteria
s__2-02-FULL-38-14_sp001772865--GB_GCA_001772865.1	4	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-38-15-A_sp001797335--GB_GCA_001797335.1	5	other_unknown	2	unknown	0.0	0.0	precursors_only	0	0	Bdellovibrionota
s__2-02-FULL-38-15_sp001777055--GB_GCA_001777055.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-02-FULL-39-13_sp002782365--GB_GCA_002782365.1	5	freshwater	2	moderate	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-39-32_sp001800135--GB_GCA_001800135.1	4	other_unknown	1	unknown	0.0	0.0	absent	0	0	Elusimicrobiota
s__2-02-FULL-40-10_sp001779115--GB_GCA_001779115.1	5	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-02-FULL-40-12_sp001824375--GB_GCA_001824375.1	5	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-42-43_sp001801425--GB_GCA_001801425.1	5	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__2-02-FULL-42-43_sp001802455--GB_GCA_001802455.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__2-02-FULL-42-43_sp002793195--GB_GCA_002793195.1	3	freshwater	1	moderate	0.0	0.0	precursors_only	0	0	Pseudomonadota
s__2-02-FULL-43-11-A_sp001789515--GB_GCA_001789515.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-43-11_sp001820955--GB_GCA_001820955.1	4	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-43-16_sp001821935--GB_GCA_001821935.1	3	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-44-16_sp001798185--GB_GCA_001798185.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	UBA10199
s__2-02-FULL-44-35_sp001822695--GB_GCA_001822695.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-45-10_sp001783035--GB_GCA_001783035.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-45-11_sp001817685--GB_GCA_001817685.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-45-18_sp001774075--GB_GCA_001774075.1	5	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-02-FULL-45-21_sp001805845--GB_GCA_001805845.1	3	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Omnitrophota
s__2-02-FULL-45-22_sp001796285--GB_GCA_001796285.1	6	other_unknown	1	unknown	0.0	0.0	absent	0	0	Chlamydiota
s__2-02-FULL-46-19_sp001795795--GB_GCA_001795795.1	3	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-47-50_sp001801885--GB_GCA_001801885.1	4	other_unknown	1	unknown	0.0	0.0	complete	1	1	Pseudomonadota
s__2-02-FULL-48-11_sp001805615--GB_GCA_001805615.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Omnitrophota
s__2-02-FULL-48-14_sp001787475--GB_GCA_001787475.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-48-16_sp001821135--GB_GCA_001821135.1	5	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-49-12_sp001796315--GB_GCA_001796315.1	10	other_unknown	2	unknown	0.0	0.0	absent	0	0	Chlamydiota
s__2-02-FULL-49-16_sp001788955--GB_GCA_001788955.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-49-16_sp002772605--GB_GCA_002772605.1	2	freshwater	1	moderate	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-02-FULL-50-16-A_sp001828605--GB_GCA_001828605.1	5	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Planctomycetota
s__2-02-FULL-50-16_sp001798715--GB_GCA_001798715.1	4	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	UBA10199
s__2-02-FULL-50-9b_sp001782975--GB_GCA_001782975.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-50-9b_sp903893485--GB_GCA_903893485.1	3	freshwater	1	moderate	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-51-10_sp001788965--GB_GCA_001788965.1	3	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-02-FULL-52-16_sp001787535--GB_GCA_001787535.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-02-FULL-53-10_sp001791035--GB_GCA_001791035.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-02-FULL-55-14_sp001802945--GB_GCA_001802945.1	6	other_unknown	2	unknown	0.0	0.0	precursors_only	0	0	Bacteroidota
s__2-02-FULL-58-16_sp001830425--GB_GCA_001830425.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Pseudomonadota
s__2-02-FULL-62-14_sp001805245--GB_GCA_001805245.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Nitrospirota
s__2-02-FULL-62-14_sp009692155--GB_GCA_009692155.1	2	freshwater	1	moderate	0.0	0.0	absent	0	0	Nitrospirota
s__2-02-FULL-62-14_sp020028595--GB_GCA_020028595.1	3	freshwater	1	moderate	0.0	0.0	complete	1	1	Nitrospirota
s__2-02-FULL-63-19_sp001770415--GB_GCA_001770415.1	2	other_unknown	1	unknown	0.0	0.0	complete	1	1	Pseudomonadota
s__2-02-FULL-63-19_sp001770425--GB_GCA_001770425.1	3	other_unknown	2	unknown	0.0	0.0	complete	1	1	Pseudomonadota
s__2-02-FULL-66-14_sp001771975--GB_GCA_001771975.1	2	other_unknown	1	unknown	0.0	0.0	complete	1	1	Pseudomonadota
s__2-02-FULL-66-14_sp004298295--GB_GCA_004298295.1	2	freshwater	1	moderate	0.0	0.0	complete	1	1	Pseudomonadota
s__2-02-FULL-66-22_sp001771285--GB_GCA_001771285.1	2	other_unknown	1	unknown	0.0	0.0	complete	1	1	Methylomirabilota
s__2-02-FULL-66-22_sp016180655--GB_GCA_016180655.1	5	freshwater	1	moderate	0.0	0.0	complete	1	1	Methylomirabilota
s__2-02-FULL-66-22_sp016208645--GB_GCA_016208645.1	2	freshwater	1	moderate	0.0	0.0	precursors_only	0	0	Methylomirabilota
s__2-02-FULL-67-57_sp001766965--GB_GCA_001766965.1	3	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Acidobacteriota
s__2-12-FULL-35-15_sp005772895--GB_GCA_005772895.1	2	freshwater	1	moderate	0.0	0.0	precursors_only	0	0	Bacteroidota
s__2-12-FULL-35-15_sp903847205--GB_GCA_903847205.1	3	freshwater	1	moderate	0.0	0.0	complete	1	1	Bacteroidota
s__2-12-FULL-35-15_sp903870175--GB_GCA_903870175.1	6	freshwater	1	moderate	0.0	0.0	precursors_only	0	0	Bacteroidota
s__2-12-FULL-35-15_sp903889605--GB_GCA_903889605.1	2	freshwater	1	moderate	0.0	0.0	complete	1	1	Bacteroidota
s__2-12-FULL-35-15_sp903911435--GB_GCA_903911435.1	8	freshwater	1	moderate	0.0	0.0	precursors_only	0	0	Bacteroidota
s__2-12-FULL-35-15_sp903919535--GB_GCA_903919535.1	2	freshwater	1	moderate	0.0	0.0	complete	1	1	Bacteroidota
s__2-12-FULL-35-15_sp903926385--GB_GCA_903926385.1	5	freshwater	1	moderate	0.0	0.0	precursors_only	0	0	Bacteroidota
s__2-12-FULL-36-22_sp018660415--GB_GCA_018660415.1	2	marine	1	low	0.0	100.0	absent	0	0	Dependentiae
s__2-12-FULL-37-11_sp001776865--GB_GCA_001776865.1	3	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-12-FULL-37-12_sp001769655--GB_GCA_001769655.1	2	other_unknown	1	unknown	0.0	0.0	complete	1	1	Bacteroidota
s__2-12-FULL-37-7b_sp001788095--GB_GCA_001788095.1	6	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-12-FULL-39-13_sp001824485--GB_GCA_001824485.1	4	other_unknown	1	unknown	0.0	0.0	absent	0	0	Planctomycetota
s__2-12-FULL-40-10_sp001784725--GB_GCA_001784725.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-12-FULL-40-28_sp001798135--GB_GCA_001798135.1	4	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	UBA10199
s__2-12-FULL-41-16_sp001782805--GB_GCA_001782805.1	3	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-12-FULL-41-17_sp001774945--GB_GCA_001774945.1	3	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-12-FULL-43-12_sp001783065--GB_GCA_001783065.1	4	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-12-FULL-45-10_sp001777995--GB_GCA_001777995.1	3	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-12-FULL-50-11_sp001774395--GB_GCA_001774395.1	3	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-12-FULL-52-36_sp001828545--GB_GCA_001828545.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Planctomycetota
s__2-12-FULL-53-21_sp020027805--GB_GCA_020027805.1	2	freshwater	1	moderate	0.0	0.0	complete	1	1	Desulfobacterota_D
s__2-12-FULL-55-11_sp001787585--GB_GCA_001787585.1	3	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-12-FULL-55-11_sp001788925--GB_GCA_001788925.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Patescibacteria
s__2-12-FULL-55-11_sp007376635--GB_GCA_007376635.1	2	freshwater	1	moderate	0.0	0.0	absent	0	0	Patescibacteria
s__2-12-FULL-55-11_sp943354555--GB_GCA_943354555.1	2	freshwater	1	moderate	0.0	0.0	absent	0	0	Patescibacteria
s__2-12-FULL-57-11_sp001791115--GB_GCA_001791115.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-12-FULL-57-22_sp001798455--GB_GCA_001798455.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Desulfobacterota_B
s__2-12-FULL-60-25_sp001791275--GB_GCA_001791275.1	2	other_unknown	1	unknown	0.0	0.0	absent	0	0	Patescibacteria
s__2-12-FULL-60-25_sp003576745--GB_GCA_003576745.1	2	wastewater_engineered	2	high	50.0	0.0	absent	0	0	Patescibacteria
s__2-12-FULL-62-27_sp001784175--GB_GCA_001784175.1	2	other_unknown	1	unknown	0.0	0.0	precursors_only	0	0	Lindowbacteria
