#Annotated with Bakta (v1.12.0): https://github.com/oschwengers/bakta
#Database (v6.0): https://doi.org/10.5281/zenodo.4247252
ID	Length	Gene	Product	EC	GO	COG	RefSeq	UniParc	UniRef
BQGD01000027.1_87	166		hypothetical protein						UniRef50_A0A0H3CQ38
NZ_CP051296.1_2217	317		urease						UniRef50_A0A377RT43
SPUY01000020.1_49	474		Peptidase M20 dimerisation domain-containing protein						UniRef50_H1S8V7
NZ_CP031948.1_3301	546		Dipeptide ABC transporter, periplasmic dipeptide-binding protein						UniRef50_Q5LP03
NZ_AP021845.1_160	300		hypothetical protein						
NZ_KV880769.1_2332	271		3-deoxy-manno-octulosonate cytidylyltransferase						UniRef50_Q9K0D6
NZ_BIFZ01000107.1_42	35		hypothetical protein						
NZ_BLXQ01000413.1_1	79		hypothetical protein						
NZ_PDIF01000052.1_9	71		Small ribosomal subunit protein bS21						UniRef50_P0A165
NZ_CP034783.1_440	253		Histidine utilization repressor						UniRef50_A0A0H3F9Y3
NZ_WKAC01000212.1_1	49		hypothetical protein						
NZ_WKAY01000023.1_32	201		FMN-dependent NADH:quinone oxidoreductase 2						UniRef50_Q9I2E2
NZ_BMZY01000022.1_52	226		hypothetical protein						
NZ_JACAPG010000024.1_1	1586		Linear gramicidin synthase subunit D						UniRef50_A0AAQ1PC52
NZ_JAMYCZ010000006.1_1	81		hypothetical protein						
NZ_POFT01000104.1_8	208		Trans-aconitate 2-methyltransferase						UniRef50_A0A853SZJ2
NZ_JALJRO010000003.1_442	144		SnoaL-like domain-containing protein						UniRef50_F2KCY5
NZ_VCCF02000001.1_4710	270		Protein-L-isoaspartate O-methyltransferase						UniRef50_W6M3Y8
NZ_LIIH01000106.1_26	144		hypothetical protein						UniRef50_A0A3A6RLW4
NZ_PDII01000037.1_36	188		Morphogenetic protein						UniRef50_A0A2Y1F037
NZ_PVWV01000118.1_1	92		hypothetical protein						
NZ_RXQE01000020.1_35	144		hypothetical protein						
NZ_JYLO01000029.1_9	230		Helix-turn-helix domain-containing protein						UniRef50_A0A7X1WJB8
NZ_NRIQ01000024.1_30	71		hypothetical protein						
NZ_CP017451.1_359	91	merP	mercury resistance system periplasmic binding protein MerP						UniRef50_A0A246J8B4
NZ_CP080625.1_3581	114		Baseplate assembly protein						UniRef50_A0A263NVD2
MLEI01000199.1_1	170		hypothetical protein						
NZ_JAMDPJ010000037.1_1	99		hypothetical protein						
DILI01000020.1_1	370		ATP synthase alpha chain						UniRef50_A0A0B8QIE8
NZ_CAKKMS010000003.1_818	429		Adhesin domain-containing protein						UniRef50_A0A520C956
LJPN01000293.1_1	45		hypothetical protein						
NZ_VLLS01000246.1_1	91		hypothetical protein						
NZ_SEJP01000474.1_10	142		HNH endonuclease						UniRef50_A0AAD1TTV1
JALKFD010000001.1_3048	211	exbB	Biopolymer transport protein ExbB						UniRef50_A0A1A8TMX2
NZ_MPBM01000028.1_55	295		Nucleotidyltransferase						UniRef50_A0A2H2YHP7
NZ_JACRRH010000001.1_3427	99		Phosphatase						UniRef50_A0A2X4TWN2
NZ_LNIO01000014.1_29	247	traK	TraK protein						UniRef50_Q65AH8
NZ_JACAQC010000035.1_25	211		DSBA-like thioredoxin domain-containing protein						UniRef50_A0A1X7EXQ3
NZ_JADPXE010000002.1_321	617		ABC efflux pump, ATPase subunit						UniRef50_A0AAE8T635
WGTF01000044.1_26	70		DUF190 domain-containing protein						UniRef50_A0A415PY90
NZ_LHVJ01000015.1_220	72		DUF1127 domain-containing protein						UniRef50_A0A2C9ER45
NZ_LYSO01000020.1_29	316		Hydrolase or metal-binding protein						UniRef50_A0A1G7FZU7
NZ_RPMX01000029.1_55	203		hypothetical protein						
NZ_CP023963.1_2807	83		hypothetical protein						UniRef50_A0A8B6IWP7
NZ_JAJOZJ010000239.1_4	275	yghU	Disulfide-bond oxidoreductase YghU						UniRef50_A0A2Z4YST1
NZ_JACARZ010000007.1_14	271		NH(3)-dependent NAD(+) synthetase						UniRef50_A0A423DU28
NZ_JAHPJC010000002.1_275	176		hypothetical protein						
NZ_CP091497.1_162	219		hypothetical protein						
NZ_JALJRO010000002.1_329	632	mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG						UniRef50_P0A6U3
NZ_VKEM01000084.1_1	112		hypothetical protein						
NZ_JACWNV010000183.1_5	233		Putative resolvase						UniRef50_A0A1V0M4F5
OV986001.1_1185	474		Gamma-aminobutyraldehyde dehydrogenase 2						UniRef50_A0A1W6KWW8
NZ_CABVJC010000001.1_887	261	fliR	Flagellar biosynthetic protein FliR						UniRef50_Q9I3Q3
NZ_VLMO01001256.1_1	22		hypothetical protein						
NZ_VLMX01000683.1_1	79		hypothetical protein						
NZ_ACHU02000258.1_12	193	araC	AraC family transcriptional regulator						UniRef50_A0A0P9P2G1
NZ_CP009048.1_4327	483		Glutamyl-tRNA(Gln) amidotransferase subunit A						UniRef50_Q2YC91
NZ_JAJQXB010000001.1_917	288		Phenol degradation protein meta						UniRef50_E6WMT5
NZ_JAFHYQ010000002.1_210	238		YgjP-like metallopeptidase domain-containing protein						UniRef50_M5DWC1
NZ_CP032322.1_1082	1175		hypothetical protein						
AEJV01000140.1_24	373		GDP-mannose 4,6-dehydratase						UniRef50_A0A447PET5
MLEI01000023.1_82	39		hypothetical protein						
NZ_JAHETD010000092.1_6	1172		DNA helicase						UniRef50_A0A2S9IBQ7
NZ_JACWNJ010000010.1_148	102		hypothetical protein						
NZ_JVXL01000280.1_12	185		hypothetical protein						
VCHB01000003.1_332	315		hypothetical protein						UniRef50_U6R9J0
JQNA01000002.1_1627	123		hypothetical protein						
NZ_JAFHNQ010001195.1_1	188		hypothetical protein						
NZ_LXJP01000047.1_50	253		NAD-dependent protein deacylase						UniRef50_A0A3M3Y8Z6
NZ_CP049334.1_2831	382		Putative 8-amino-7-oxononanoate synthase						UniRef50_A0A221KEJ9
CP081271.1_2862	52		hypothetical protein						
NZ_VLMC01000242.1_1	87		hypothetical protein						
NZ_JANGDD010000208.1_1	74		hypothetical protein						
NZ_CP060289.1_262	180		TetR/AcrR family transcriptional regulator						UniRef50_A0AAJ2V768
NZ_JANKKH010000059.1_8	510	tnp	IS21 family ISAav1 transposase						UniRef50_D5WZF1
NZ_JAKMLF010000016.1_114	78		Lipoprotein						UniRef50_A0AAX3J6K2
NZ_JADRBM010000005.1_299	433		hypothetical protein						UniRef50_A0A8S7MW22
NZ_JADVHF010000003.1_141	40		hypothetical protein						
NZ_RPDQ01000015.1_16	140		hypothetical protein						
NZ_FMTR01000001.1_411	227		Transcriptional regulator						UniRef50_A0A3M6F9H6
NZ_CABVJC010000005.1_16	122		5-carboxymethyl-2-hydroxymuconate isomerase						UniRef50_A0A1Q9QZ16
JAFHEQ010000678.1_1	418		Helicase ATP-binding domain-containing protein						UniRef50_A0A4Z0KYQ0
NZ_JACNQW010000007.1_1	85		hypothetical protein						
NZ_JAGYGD010000009.1_139	427		N-carbamoyl-L-amino-acid hydrolase						UniRef50_A0A6J5B530
NZ_CABVHR010000027.1_6	330		VWFA domain-containing protein						UniRef50_A0A4Q1HPD7
NZ_JABXPN010000012.1_112	466	apeA	ApeA N-terminal domain-containing protein						UniRef50_A0A0J8GS59
NZ_JAAMOA010000012.1_46	226		DUF6884 domain-containing protein						UniRef50_A0A0K2CRZ6
NZ_NOWT01000007.1_163	85		Transcriptional regulator						UniRef50_A0A2S1XGI3
NZ_CP049868.1_876	279		Inosose dehydratase						UniRef50_A0AAC9CZ00
NZ_KB644329.1_89	119	pilZ	PilZ domain-containing protein						UniRef50_A0A2L1WAK3
NZ_JAFFSO010000138.1_3	328		UDP-N-acetylenolpyruvoylglucosamine reductase						UniRef50_Q6DAP0
NZ_CP027561.1_2682	367		N-acetyltransferase domain-containing protein						UniRef50_A0A5E7IDY8
NZ_WKBC01000194.1_6	113		hypothetical protein						UniRef50_S6BR42
NZ_JACNXS010000005.1_29	247		N-acetyltransferase domain-containing protein						UniRef50_A0A564MWZ0
NZ_WKEK01000175.1_9	189		hypothetical protein						
NZ_CAJMUL010000001.1_737	192		Repressor protein CI						UniRef50_A0A9W4Q6S8
NZ_RBUU01000293.1_37	32		hypothetical protein						
NZ_JADUCE010000014.1_58	116		hypothetical protein						
JQNA01000001.1_1275	190		hypothetical protein						
NZ_RBTZ01000148.1_17	249		hypothetical protein						
NZ_JAGTYD010000024.1_7	105		hypothetical protein						
NZ_JAENSS010000013.1_12	269		Short chain dehydrogenase						UniRef50_A0A3M3EM57
NZ_JAEIKY010000020.1_113	257	echA8	putative enoyl-CoA hydratase echA8						UniRef50_O07137
NZ_CABVII010000011.1_29	334		Luciferase family protein						UniRef50_A0A0P9RJA8
NZ_PPSE01000031.1_62	365		HTH cro/C1-type domain-containing protein						UniRef50_A0A5E7VLN3
NZ_LACH01000005.1_45	244		Enterobactin synthase component D						UniRef50_Q9I4H2
NZ_CP059450.1_967	251		hypothetical protein						
NZ_CP010730.1_22	181		Transposase, IS30 family						UniRef50_A0AAC9ZCW7
NZ_MULM01000172.1_104	46		hypothetical protein						
NZ_PXKM01000276.1_1	70		hypothetical protein						
CAKXWJ010000116.1_1	126		hypothetical protein						
NZ_VLNJ01000578.1_1	84		hypothetical protein						
NZ_QQWN01000005.1_43	294		HTH lysR-type domain-containing protein						UniRef50_A0AAJ5NCN4
NZ_JRTM01000127.1_1	102		hypothetical protein						
NZ_CP076652.1_2477	1261	vasX	Toxin VasX N-terminal region domain-containing protein						UniRef50_A0A0W8HGL7
NZ_CAKAKA010000003.1_1102	302		hypothetical protein						
NZ_AVEN02000263.1_1	82		hypothetical protein						
NZ_PYHB01000061.1_1	110		hypothetical protein						
NZ_LKEL01000001.1_92	187		Ferritin-like domain-containing protein						UniRef50_A0A857GNX0
NZ_JAKMMH010000003.1_211	33		hypothetical protein						
NZ_QIYB01000012.1_3	336	zitB	Zinc transporter ZitB						UniRef50_Q8ZGY6
NZ_JADTWD010000051.1_46	95		hypothetical protein						
NZ_WKCE01000002.1_8	119		Lipoprotein						UniRef50_A0A1L7NNR4
NZ_AKJJ01000028.1_32	165		MPN domain-containing protein						UniRef50_A0A0D6E944
NZ_CP039384.1_4636	339		hypothetical protein						
NZ_LUKZ01000009.1_150	432		TRAP transporter large permease protein						UniRef50_A0A4S5BFF7
CAKNDK010000003.1_135	326		Acetyltransferase						UniRef50_A0A0L0H248
NZ_JAGYGB010000002.1_117	353		Spermidine/putrescine ABC transporter substrate-binding protein						UniRef50_A0A5E6VM41
NZ_JAFHYL010000018.1_28	95		hypothetical protein						
NZ_NOWT01000010.1_37	203		DUF1311 domain-containing protein						UniRef50_Q4KCB0
NZ_SNVI01000008.1_219	191		DUF2199 domain-containing protein						UniRef50_A0A7T1GPF6
NZ_AZQQ01000080.1_197	51		hypothetical protein						
NZ_CP022763.1_1733	416		8-amino-7-oxononanoate synthase						UniRef50_A0A0S8BTJ1
NZ_LVDJ01000001.1_104	673		Methionine--tRNA ligase						UniRef50_A8FWN7
NZ_LPPJ01000040.1_72	341		Major capsid protein E						UniRef50_A0A0L7T7P4
NZ_CP042804.1_1575	513		Integrase						UniRef50_A0A0D9ANF9
NZ_RWIQ01000116.1_1	239	rapA2	RapA2 cadherin-like domain-containing protein						UniRef50_A0A2G5MY13
NZ_JAFHQM010000025.1_32	150		Transcriptional regulator						UniRef50_Q8ZS10
NZ_PDIL01000017.1_6	101		hypothetical protein						
NZ_JACARK010000608.1_4	70		hypothetical protein						
NZ_JACCAS010000002.1_1459	467		Gluconate transporter						UniRef50_A0A3M3WZW9
NZ_CABVIG010000001.1_164	100		hypothetical protein						
NZ_CP017951.1_2248	400		cysteine desulfurase						UniRef50_A0A7L5RPZ1
NZ_JAEILC010000043.1_18	138		hypothetical protein						
NZ_BQHR01000005.1_51	540		Methyl-accepting chemotaxis protein						UniRef50_A0A5E6SYN1
NZ_CP034190.1_2683	82	hicB	Type II toxin-antitoxin system HicB family antitoxin						UniRef50_A0A497Y9U8
NZ_JACNDO010000018.1_48	388		diguanylate cyclase						UniRef50_A0A2G0W1C7
NZ_JAJFTC010000013.1_25	91		hypothetical protein						UniRef50_A0A853HJ43
NZ_FLBV01000007.1_38	291		Integrase						UniRef50_A0A447XEG2
NZ_PQWP01000168.1_43	116		hypothetical protein						
NZ_JXSI01000004.1_130	455	glmU	Bifunctional protein GlmU						UniRef50_Q4FPY8
DPLI01000558.1_3	157		Serine hydroxymethyltransferase						UniRef50_A0A2P5MYS0
NZ_QFLV01000925.1_1	111		hypothetical protein						
NZ_CDLS01000001.1_4866	284		hypothetical protein						
NZ_WKEP01000058.1_11	361		hypothetical protein						
NZ_PTSL01000025.1_69	214		AAA family ATPase						UniRef50_Q0H055
PGYX01000840.1_2	81		hypothetical protein						
NZ_WHPV01000245.1_1	43		hypothetical protein						
NZ_PXUF01000113.1_1	50		hypothetical protein						
NZ_SNVI01000002.1_1344	352		Porin						UniRef50_A0A3P0NMG2
NZ_NPGJ01000019.1_12	159		DNA polymerase IV						UniRef50_W7P3E3
NZ_WMOU01000028.1_25	69		hypothetical protein						
NZ_WKDL01000115.1_1	306		hypothetical protein						
NZ_SWGY01000025.1_55	27		hypothetical protein						
NZ_CP063780.1_901	101		Zinc/iron-chelating domain-containing protein						UniRef50_A0A099KSF2
NZ_JAEILC010000142.1_31	547		Acetolactate synthase large subunit						UniRef50_A0A0H3KJN5
NZ_JAKCMN010000177.1_1	250		hypothetical protein						
NC_017310.1_1576	133		hypothetical protein						
NZ_CAHW02000339.1_1	67		hypothetical protein						
NZ_CP032353.1_1930	179		hypothetical protein						
NZ_JAIZFZ010000058.1_7	21		hypothetical protein						
NZ_JACYMP010000027.1_43	219		HTH tetR-type domain-containing protein						UniRef50_A0A0C5DYK4
NZ_JADRUH010000001.1_403	67		hypothetical protein						
NZ_QPAW01000139.1_18	273		Replication P family protein						UniRef50_A0A7Y8DRQ7
NZ_JAMYBL010000011.1_111	73	fmdB	Putative regulatory protein FmdB zinc ribbon domain-containing protein						UniRef50_A0A8D4VNH9
NZ_JACAQN010000024.1_18	211		Haloacid dehalogenase-like family hydrolase						UniRef50_A0A656JRW5
NZ_QIWU01000006.1_6	374		Glycosyltransferase						UniRef50_A0A1C3T0S0
NZ_FYDP01000001.1_256	254		hypothetical protein						
NZ_JAENSU010000016.1_136	468		DUF3987 domain-containing protein						UniRef50_A0A010SS24
RZVZ01000087.1_1	103		hypothetical protein						
NZ_JAFGZB010000006.1_176	421		hypothetical protein						
NZ_CP061171.1_4668	303		PBP domain-containing protein						UniRef50_C6XWI6
NZ_CP011525.1_1443	170		hypothetical protein						UniRef50_B1JD08
NZ_QAYQ01000120.1_23	75		hypothetical protein						
NZ_QAJQ01000004.1_139	120		Response regulatory domain-containing protein						UniRef50_A0A0Q6AQT9
NZ_SWFX01000025.1_27	371		Methyltransferase						UniRef50_A0A2X2BL92
NZ_MOBY01000031.1_318	210		Integral membrane protein						UniRef50_A0A3M5N4W8
NZ_RPJT01000107.1_6	890		PNPLA domain-containing protein						UniRef50_A0A2A6M7G2
NZ_JAGRZB010000003.1_506	314		HTH araC/xylS-type domain-containing protein						UniRef50_A7MK81
NZ_CP048111.1_50	340		Adhesin						UniRef50_A0A427KEG4
NZ_VKUD01001023.1_1	72		hypothetical protein						
NZ_RBOW01000995.1_6	509		Coronafacic acid synthetase, ligase component						UniRef50_Q87W76
NZ_FKHU01000008.1_13	125		hypothetical protein						
NZ_JANULZ010000006.1_359	292		DUF5119 domain-containing protein						UniRef50_R9HA20
NZ_UNXK01000007.1_222	58		hypothetical protein						UniRef50_B5XQB3
NZ_NKRF01000112.1_1	364		hypothetical protein						
NZ_LIIJ01000225.1_85	49		hypothetical protein						
NZ_CP055249.1_154	312		Tyr recombinase domain-containing protein						UniRef50_A0A0C5DXF0
NZ_CP080411.1_922	282		FAD:protein FMN transferase						UniRef50_Q8EHX0
NZ_VDFZ01000277.1_1	74		hypothetical protein						
NZ_JAFGYZ010000005.1_157	214		3-isopropylmalate dehydratase small subunit						UniRef50_A0A0D2JJG5
NZ_LCYA01000014.1_9	87		hypothetical protein						
CP081236.1_120	282	marR	MarR family transcriptional regulator						UniRef50_A0A1M5EU62
NZ_CP085885.1_2720	170		hypothetical protein						
RZVG01000222.1_1	258		hypothetical protein						
NZ_JPIR01000506.1_1	72		hypothetical protein						
NZ_WKDF01000019.1_1	41		hypothetical protein						
NZ_GL385318.1_41	221		hypothetical protein						
NZ_CP088117.1_17	213		hypothetical protein						
NZ_JAAQWH010000002.1_37	158		DUF2846 domain-containing protein						UniRef50_A0A1H6NRR9
NZ_AP021902.1_4233	156		Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase						UniRef50_A0A1I4LWB3
DEYH01000016.1_107	287	yihY	UPF0761 membrane protein YihY						UniRef50_P0A8K8
NZ_JABVYO010000171.1_2	89		hypothetical protein						
