orgId	locusId	assigned_organism	covering_step	composite_score	desc	darkness_tier	n_evidence_lines	evidence_summary	annotation_class	is_essential_dark	top_condition_class
MR1	370245	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	200296	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	200424	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942669	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	10942670	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	200573	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	200621	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942676	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	10942677	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	201154	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942685	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	11934329	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	201215	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942689	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	201361	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	201383	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942693	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	201493	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	370261	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	201623	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	201657	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	201739	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	201770	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	201789	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	201800	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential	hypothetical	True	
MR1	10942702	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	10942715	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	202172	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	370293	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942721	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	202266	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	202498	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942728	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	10942731	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	202589	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	202609	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942734	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	10942735	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	202739	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942743	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	10942746	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	10942747	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	202996	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942750	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	370265	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	370269	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	370224	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942756	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	203568	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	10942759	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	203714	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	203842	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	203867	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	2200881	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	2200887	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	2200891	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	2200892	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	2200893	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	2200897	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	2200908	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	2200909	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	203952	MR1	1	0.1275	hypothetical protein (NCBI ptt file)	T2_Twilight	1	essential; +neighbor_inf	hypothetical	True	
MR1	2200915	MR1	1	0.1275		T2_Twilight	1	essential; +neighbor_inf	no_annotation	True	
MR1	10942682	MR1	1	0.1783863625		T2_Twilight	1	fit:2.2(nan); +neighbor_inf	no_annotation	False	
MR1	199643	MR1	1	0.192667484375	hypothetical protein (NCBI ptt file)	T2_Twilight	1	fit:2.6(nan); +neighbor_inf	hypothetical	False	
MR1	200233	MR1	1	0.201784	hypothetical protein (NCBI ptt file)	T2_Twilight	1	fit:2.9(nan); +neighbor_inf	hypothetical	False	
MR1	202937	MR1	1	0.2156408375	hypothetical protein (NCBI ptt file)	T2_Twilight	1	fit:3.4(nan); +neighbor_inf	hypothetical	False	
MR1	2200886	MR1	1	0.2213552437499999		T2_Twilight	1	fit:3.6(nan); +neighbor_inf	no_annotation	False	
MR1	203841	MR1	1	0.245348721875	hypothetical protein (NCBI ptt file)	T2_Twilight	1	fit:2.6(nitrogen source); +neighbor_inf	hypothetical	False	nitrogen source
MR1	10942709	MR1	1	0.252118365625		T2_Twilight	1	fit:2.8(carbon source); +neighbor_inf	no_annotation	False	carbon source
MR1	203882	MR1	1	0.1875	hypothetical protein (NCBI)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	203975	MR1	1	0.1875	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	199337	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	199631	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	200441	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	370294	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	200758	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	370291	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome	hypothetical	True	
MR1	370225	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202089	MR1	1	0.2025	conserved hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	370296	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202129	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202672	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	203094	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	203572	MR1	1	0.2025	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	203932	MR1	1	0.23403035	hypothetical protein (NCBI ptt file)	T3_Dusk	2	pred:Ferrochelatase, protoheme ferro-lyase (E; fit:2.0(nan); +neighbor_inf	hypothetical	False	
MR1	201285	MR1	1	0.2459530375	hypothetical protein (NCBI ptt file)	T3_Dusk	2	pred:PF01584; fit:2.4(nan); +neighbor_inf	hypothetical	False	
MR1	202257	MR1	1	0.253743553125	hypothetical protein (NCBI ptt file)	T3_Dusk	2	cofit:conserved hypothetical protein; fit:2.0(stress); +neighbor_inf	hypothetical	False	stress
MR1	203880	MR1	1	0.259314525	hypothetical protein (NCBI ptt file)	T3_Dusk	2	cofit:lipid A biosynthesis acyltrans; fit:2.2(motility); +neighbor_inf	hypothetical	False	motility
MR1	10942724	MR1	1	0.261978353125		T3_Dusk	2	cofit:hypothetical protein (NCBI ptt; fit:2.3(motility); +neighbor_inf	no_annotation	False	motility
MR1	10942751	MR1	1	0.26225605625		T3_Dusk	2	pred:PF07963; fit:2.2(carbon source); +neighbor_inf	no_annotation	False	carbon source
MR1	202819	MR1	1	0.269985575	hypothetical protein (NCBI ptt file)	T3_Dusk	2	cofit:ribosomal protein S6 modificat; fit:2.6(nitrogen source); +neighbor_inf	hypothetical	False	nitrogen source
MR1	203734	MR1	1	0.27274096875	hypothetical protein (NCBI ptt file)	T3_Dusk	2	pred:PF00196; fit:3.3(nan); +neighbor_inf	hypothetical	False	
MR1	10942701	MR1	1	0.276586696875		T3_Dusk	2	pred:Transcriptional regulator, MarR family; fit:2.6(nitrogen source); +neighbor_inf	no_annotation	False	nitrogen source
MR1	10942720	MR1	1	0.277490125		T3_Dusk	2	pred:PF01584; fit:2.6(temperature); +neighbor_inf	no_annotation	False	temperature
MR1	199312	MR1	1	0.2775	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome	hypothetical	True	
MR1	199690	MR1	1	0.2775	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	199920	MR1	1	0.2775	conserved hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	200419	MR1	1	0.2775	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	200715	MR1	1	0.2775	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202161	MR1	1	0.2775	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202162	MR1	1	0.2775	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	370242	MR1	1	0.2775	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202552	MR1	1	0.2775	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202787	MR1	1	0.2775	hypothetical protein (NCBI ptt file)	T3_Dusk	2	essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	201357	MR1	1	0.277563825	hypothetical protein (NCBI ptt file)	T3_Dusk	2	pred:Transcriptional regulator, MarR family; fit:3.4(nan); +neighbor_inf	hypothetical	False	
MR1	11934331	MR1	1	0.281563759375		T3_Dusk	2	pred:Transcriptional regulator, MarR family; fit:2.8(stress); +neighbor_inf	no_annotation	False	stress
MR1	200332	MR1	1	0.283730165625	hypothetical protein (NCBI ptt file)	T3_Dusk	2	cofit:LPXTG-site transpeptidase fami; fit:3.0(stress); +neighbor_inf	hypothetical	False	stress
MR1	202204	MR1	1	0.2858424968749999	conserved hypothetical protein (NCBI ptt file)	T3_Dusk	2	OG:OG05888; fit:3.3(nan); +synteny,neighbor_inf	hypothetical	False	
MR1	10942712	MR1	1	0.286207759375		T3_Dusk	2	cofit:ATP-dependent RNA helicase, DE; fit:3.1(motility); +neighbor_inf	no_annotation	False	motility
MR1	10942679	MR1	1	0.289205221875		T3_Dusk	2	pred:PF00994; fit:3.0(stress); +cofit_operon,neighbor_inf	no_annotation	False	stress
MR1	10942675	MR1	1	0.29510296875		T3_Dusk	2	cofit:conserved hypothetical protein; fit:3.4(nitrogen source); +neighbor_inf	no_annotation	False	nitrogen source
MR1	199888	MR1	1	0.296179646875	hypothetical protein (NCBI ptt file)	T3_Dusk	2	pred:PF00994; fit:2.4(stress); +neighbor_inf	hypothetical	False	stress
MR1	203836	MR1	1	0.304403646875	hypothetical protein (NCBI)	T3_Dusk	2	fit:2.5(nitrogen source); pangenome; +neighbor_inf	hypothetical	False	nitrogen source
MR1	2200872	MR1	1	0.306150046875	hypothetical protein (NCBI)	T3_Dusk	2	fit:2.6(nitrogen source); pangenome; +neighbor_inf	hypothetical	False	nitrogen source
MR1	203973	MR1	1	0.307239725	hypothetical protein (NCBI ptt file)	T3_Dusk	2	fit:2.6(nitrogen source); pangenome; +neighbor_inf	hypothetical	False	nitrogen source
MR1	199411	MR1	1	0.31198029375	hypothetical protein (NCBI ptt file)	T3_Dusk	2	cofit:beta-lactamase, putative (NCBI; fit:3.9(nitrogen source); +neighbor_inf	hypothetical	False	nitrogen source
MR1	2200895	MR1	1	0.312415975		T3_Dusk	2	cofit:cytochrome c-type biogenesis p; fit:3.9(nitrogen source); +neighbor_inf	no_annotation	False	nitrogen source
MR1	10942656	MR1	1	0.315		T3_Dusk	2	cofit:quinolinate synthetase complex; fit:5.0(carbon source); +neighbor_inf	no_annotation	False	carbon source
MR1	10942667	MR1	1	0.315		T3_Dusk	2	cofit:methylisocitrate lyase (NCBI p; fit:5.4(carbon source); +neighbor_inf	no_annotation	False	carbon source
MR1	10942668	MR1	1	0.315		T3_Dusk	2	cofit:hypothetical peptide chain rel; fit:4.7(temperature); +neighbor_inf	no_annotation	False	temperature
MR1	10942698	MR1	1	0.315		T3_Dusk	2	cofit:PqiB family protein (NCBI ptt ; fit:6.3(carbon source); +cofit_operon,neighbor_inf	no_annotation	False	carbon source
MR1	370270	MR1	1	0.315	hypothetical protein (NCBI ptt file)	T3_Dusk	2	cofit:biotin synthesis protein BioC ; fit:7.1(nitrogen source); +neighbor_inf	hypothetical	False	nitrogen source
MR1	10942700	MR1	1	0.315		T3_Dusk	2	cofit:conserved hypothetical protein; fit:8.0(carbon source); +neighbor_inf	no_annotation	False	carbon source
MR1	10942717	MR1	1	0.315		T3_Dusk	2	cofit:conserved hypothetical protein; fit:4.2(stress); +neighbor_inf	no_annotation	False	stress
MR1	10942718	MR1	1	0.315		T3_Dusk	2	cofit:3-phosphoshikimate 1-carboxyvi; fit:5.4(nitrogen source); +neighbor_inf	no_annotation	False	nitrogen source
MR1	203881	MR1	1	0.315	hypothetical protein (NCBI ptt file)	T3_Dusk	2	cofit:integrase/recombinase XerD (NC; fit:6.4(stress); +neighbor_inf	hypothetical	False	stress
MR1	202133	MR1	1	0.315973365625	hypothetical protein (NCBI ptt file)	T3_Dusk	2	cofit:prophage LambdaSo, tail length; fit:2.8(stress); +neighbor_inf	hypothetical	False	stress
MR1	10942726	MR1	1	0.32		T3_Dusk	2	pred:PF00460; fit:4.5(motility); +cofit_operon,neighbor_inf	no_annotation	False	motility
MR1	10942736	MR1	1	0.32		T3_Dusk	2	pred:PF01380; fit:4.5(nitrogen source); +neighbor_inf	no_annotation	False	nitrogen source
MR1	203637	MR1	1	0.32	hypothetical protein (NCBI ptt file)	T3_Dusk	2	pred:PF00196; fit:6.2(stress); +neighbor_inf	hypothetical	False	stress
MR1	2200906	MR1	1	0.32		T3_Dusk	2	pred:PF00550; fit:5.1(nitrogen source); +neighbor_inf	no_annotation	False	nitrogen source
MR1	10942713	MR1	1	0.3460644625		T3_Dusk	2	cofit:hypothetical protein (NCBI ptt; fit:3.3(stress); +neighbor_inf	no_annotation	False	stress
MR1	202117	MR1	1	0.3509634593749999	hypothetical protein (NCBI ptt file)	T3_Dusk	2	cofit:prophage LambdaSo, host specif; fit:3.5(stress); +neighbor_inf	hypothetical	False	stress
MR1	201821	MR1	1	0.365	hypothetical protein (NCBI ptt file)	T3_Dusk	2	fit:4.4(temperature); pangenome; +neighbor_inf	hypothetical	False	temperature
MR1	10942740	MR1	1	0.369311125		T3_Dusk	2	pred:K03498; fit:3.1(carbon source); +cofit_operon,neighbor_inf	no_annotation	False	carbon source
MR1	203835	MR1	1	0.36991465625	hypothetical protein (NCBI ptt file)	T3_Dusk	2	fit:2.2(nitrogen source); pangenome; +neighbor_inf	hypothetical	False	nitrogen source
MR1	203834	MR1	1	0.374621559375	hypothetical protein (NCBI)	T3_Dusk	2	fit:2.4(nitrogen source); pangenome; +neighbor_inf	hypothetical	False	nitrogen source
MR1	201125	MR1	1	0.385	hypothetical protein (NCBI ptt file)	T3_Dusk	2	pred:PF01144; fit:4.4(nitrogen source); +cofit_operon,neighbor_inf	hypothetical	False	nitrogen source
MR1	10942692	MR1	1	0.385		T3_Dusk	2	pred:K03306; fit:6.6(nitrogen source); +neighbor_inf	no_annotation	False	nitrogen source
MR1	10942755	MR1	1	0.385		T3_Dusk	2	pred:PF00994; fit:6.1(stress); +neighbor_inf	no_annotation	False	stress
MR1	203832	MR1	1	0.425	hypothetical protein (NCBI ptt file)	T3_Dusk	2	fit:4.5(motility); pangenome; +cofit_operon,neighbor_inf	hypothetical	False	motility
MR1	200574	MR1	1	0.2324999999999999	conserved hypothetical protein (NCBI ptt file)	T4_Penumbra	3	1 domain(s); essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	201399	MR1	1	0.2708333333333333	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG06058; essential; pangenome; +synteny,neighbor_inf	hypothetical	True	
MR1	203845	MR1	1	0.2925	ISSod9, conserved hypothetical protein (NCBI ptt file)	T4_Penumbra	3	1 domain(s); essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	203906	MR1	1	0.2925	conserved hypothetical protein (NCBI ptt file)	T4_Penumbra	3	2 domain(s); essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	199202	MR1	1	0.2975	conserved hypothetical protein TIGR00278 (NCBI ptt file)	T4_Penumbra	3	2 domain(s); OG:OG01824; essential; +synteny,neighbor_inf	hypothetical	True	
MR1	201830	MR1	1	0.3074999999999999	conserved hypothetical protein (NCBI ptt file)	T4_Penumbra	3	1 domain(s); essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202084	MR1	1	0.3074999999999999	conserved hypothetical protein (NCBI ptt file)	T4_Penumbra	3	1 domain(s); essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202163	MR1	1	0.3074999999999999	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	1 domain(s); essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202275	MR1	1	0.3074999999999999	conserved hypothetical protein (NCBI ptt file)	T4_Penumbra	3	2 domain(s); essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202513	MR1	1	0.3074999999999999	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	1 domain(s); essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202551	MR1	1	0.3074999999999999	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	1 domain(s); essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	203099	MR1	1	0.3074999999999999	conserved hypothetical protein (NCBI ptt file)	T4_Penumbra	3	3 domain(s); essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	201069	MR1	1	0.310514059375	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	pred:PF01584; fit:2.1(nan); pangenome; +neighbor_inf	hypothetical	False	
MR1	203857	MR1	1	0.3245038375	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	cofit:GTP pyrophosphokinase (NCBI pt; fit:2.4(pH); pangenome; +neighbor_inf	hypothetical	False	pH
MR1	199658	MR1	1	0.337661203125	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	pred:Transcriptional regulator, MarR family; fit:3.0(nan); pangenome; +neighbor_inf	hypothetical	False	
MR1	199259	MR1	1	0.34233178125	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	cofit:acetolactate synthase III, lar; fit:2.5(carbon source); pangenome; +neighbor_inf	hypothetical	False	carbon source
MR1	199650	MR1	1	0.3458333333333333	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG06153; essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	200137	MR1	1	0.3458333333333333	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG05783; essential; pangenome; +synteny,neighbor_inf	hypothetical	True	
MR1	201170	MR1	1	0.3458333333333333	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG05497; essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	201656	MR1	1	0.3458333333333333	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG06184; essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	202042	MR1	1	0.3458333333333333	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG05854; essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	200850	MR1	1	0.35	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG05439; essential; pangenome; +synteny,neighbor_inf	hypothetical	True	
MR1	202109	MR1	1	0.350224696875	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	cofit:hypothetical protein (NCBI ptt; fit:2.7(carbon source); pangenome; +neighbor_inf	hypothetical	False	carbon source
MR1	200158	MR1	1	0.3541666666666667	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG05237; essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	200251	MR1	1	0.3541666666666667	conserved hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG05861; essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	201129	MR1	1	0.3541666666666667	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG05800; essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	370241	MR1	1	0.3541666666666667	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG05239; essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	201974	MR1	1	0.3541666666666667	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG05292; essential; pangenome; +synteny,neighbor_inf	hypothetical	True	
MR1	202246	MR1	1	0.3541666666666667	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	OG:OG05235; essential; pangenome; +neighbor_inf	hypothetical	True	
MR1	203291	MR1	1	0.35680278125	conserved hypothetical protein (NCBI ptt file)	T4_Penumbra	3	1 domain(s); fit:2.1(nan); pangenome; +neighbor_inf	hypothetical	False	
MR1	202077	MR1	1	0.357728696875	hypothetical protein (NCBI ptt file)	T4_Penumbra	3	cofit:hypothetical protein (NCBI ptt; fit:3.0(stress); pangenome; +neighbor_inf	hypothetical	False	stress
