orgId	locusId	min_rank	max_rank	mean_rank	rank_range	n_configs_top50	n_configs_top100	in_top50_all	in_top100_all	original	equal	fitness_dominant	conservation_dominant	drop_biogeographic	drop_tractability
pseudo6_N2E2	Pf6N2E2_2710	29	316	145.66666666666666	287	1	4	False	False	72	316	70	314	73	29
psRCH2	GFF207	43	276	124.33333333333333	233	2	4	False	False	73	276	43	230	75	49
Putida	PP_0177	31	413	167.0	382	1	4	False	False	74	341	66	413	77	31
Koxy	BWI76_RS11480	39	144	84.5	105	1	4	False	False	75	55	123	39	71	144
pseudo13_GW456_L13	PfGW456L13_803	29	348	110.33333333333333	319	2	5	False	False	76	38	99	29	72	348
pseudo5_N2C3_1	AO356_13585	47	257	109.0	210	1	4	False	False	77	63	136	47	74	257
Pedo557	CA265_RS23005	34	338	149.0	304	1	4	False	False	78	338	97	266	81	34
Koxy	BWI76_RS22685	58	565	185.5	507	0	4	False	False	79	81	58	565	76	254
acidovorax_3H11	Ac3H11_4707	35	349	154.0	314	1	3	False	False	80	349	101	276	83	35
Dino	3607392	35	349	154.0	314	1	3	False	False	80	349	101	276	83	35
pseudo5_N2C3_1	AO356_04525	53	273	116.83333333333333	220	0	4	False	False	82	69	146	53	78	273
pseudo5_N2C3_1	AO356_03360	40	282	116.83333333333333	242	1	3	False	False	83	58	126	40	282	112
pseudo5_N2C3_1	AO356_27215	40	282	116.83333333333333	242	1	3	False	False	83	58	126	40	282	112
pseudo5_N2C3_1	AO356_03355	40	282	116.83333333333333	242	1	3	False	False	83	58	126	40	282	112
pseudo5_N2C3_1	AO356_03345	40	282	116.83333333333333	242	1	3	False	False	83	58	126	40	282	112
Smeli	SMc03969	34	522	147.33333333333334	488	2	4	False	False	87	46	116	34	79	522
pseudo5_N2C3_1	AO356_16890	82	381	168.66666666666666	299	0	4	False	False	88	82	92	381	82	287
Smeli	SMa0247	49	526	164.83333333333334	477	1	4	False	False	89	49	90	155	80	526
Keio	15089	55	290	126.83333333333333	235	0	4	False	False	90	72	169	55	85	290
Marino	GFF239	56	294	128.83333333333334	238	0	4	False	False	91	73	173	56	86	294
psRCH2	GFF1494	41	368	166.0	327	1	3	False	False	92	368	117	284	94	41
psRCH2	GFF205	81	276	143.33333333333334	195	0	4	False	False	93	276	89	230	91	81
Koxy	BWI76_RS17885	57	295	139.5	238	0	4	False	False	94	74	230	57	87	295
Putida	PP_0903	42	569	212.66666666666666	527	1	4	False	False	95	395	79	569	96	42
MR1	203217	50	560	163.33333333333334	510	1	4	False	False	96	50	108	78	88	560
Koxy	BWI76_RS06505	85	349	172.83333333333334	264	0	3	False	False	97	85	111	349	89	306
pseudo13_GW456_L13	PfGW456L13_2307	85	349	172.83333333333334	264	0	3	False	False	97	85	111	349	89	306
Phaeo	GFF96	46	384	176.16666666666666	338	1	2	False	False	99	384	132	295	101	46
MR1	202561	88	317	168.5	229	0	3	False	False	100	88	125	288	93	317
Putida	PP_0908	51	396	193.5	345	0	1	False	False	101	396	138	339	136	51
ANA3	7026494	52	391	187.66666666666666	339	0	1	False	False	102	391	142	302	137	52
MR1	201404	78	796	251.0	718	0	2	False	False	103	109	78	796	97	323
Smeli	SMc02236	37	611	174.83333333333334	574	1	3	False	False	104	52	150	37	95	611
DvH	206326	55	404	194.0	349	0	1	False	False	105	404	144	311	145	55
psRCH2	GFF195	106	314	170.66666666666666	208	0	0	False	False	106	314	109	251	138	106
Keio	16290	91	714	242.0	623	0	2	False	False	107	110	91	714	100	330
pseudo5_N2C3_1	AO356_10360	61	337	165.66666666666666	276	0	3	False	False	108	84	306	61	98	337
pseudo3_N2E3	AO353_10995	57	409	198.16666666666666	352	0	1	False	False	109	409	151	316	147	57
Dino	3609861	58	418	201.66666666666666	360	0	1	False	False	110	418	153	323	148	58
PV4	5210576	58	418	201.66666666666666	360	0	1	False	False	110	418	153	323	148	58
MR1	202010	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
Marino	GFF4148	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
pseudo5_N2C3_1	AO356_02190	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
pseudo5_N2C3_1	AO356_04335	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
MR1	199620	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
pseudo6_N2E2	Pf6N2E2_4692	58	418	201.66666666666666	360	0	1	False	False	110	418	153	323	148	58
Koxy	BWI76_RS23830	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
PV4	5211093	58	418	201.66666666666666	360	0	1	False	False	110	418	153	323	148	58
MR1	201753	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
Keio	17276	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
Putida	PP_1165	58	418	201.66666666666666	360	0	1	False	False	110	418	153	323	148	58
pseudo5_N2C3_1	AO356_13655	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
Keio	14337	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
pseudo5_N2C3_1	AO356_15325	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
PV4	5210764	58	418	201.66666666666666	360	0	1	False	False	110	418	153	323	148	58
pseudo13_GW456_L13	PfGW456L13_5011	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
Koxy	BWI76_RS22185	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
pseudo1_N1B4	Pf1N1B4_3997	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
MR1	201936	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
Dino	3609860	58	418	201.66666666666666	360	0	1	False	False	110	418	153	323	148	58
MR1	201995	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
MR1	199961	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
MR1	203037	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
MR1	203035	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
MR1	201270	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
MR1	200980	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
Marino	GFF1402	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
pseudo5_N2C3_1	AO356_18060	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
pseudo13_GW456_L13	PfGW456L13_3301	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
pseudo1_N1B4	Pf1N1B4_4990	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
MR1	202477	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
MR1	201271	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
MR1	200723	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
pseudo13_GW456_L13	PfGW456L13_328	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
WCS417	GFF4486	58	418	201.66666666666666	360	0	1	False	False	110	418	153	323	148	58
pseudo6_N2E2	Pf6N2E2_512	58	418	201.66666666666666	360	0	1	False	False	110	418	153	323	148	58
MR1	200646	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
MR1	203295	105	249	161.33333333333334	144	0	0	False	False	110	197	249	161	105	146
pseudo5_N2C3_1	AO356_16920	38	658	194.83333333333334	620	1	3	False	False	150	54	170	38	99	658
Caulo	CCNA_02669	73	432	228.5	359	0	1	False	False	151	432	165	334	216	73
MR1	201840	96	350	189.5	254	0	1	False	False	152	96	174	262	103	350
MR1	201576	63	352	181.83333333333334	289	0	2	False	False	153	89	332	63	102	352
MR1	203727	64	356	184.16666666666666	292	0	2	False	False	154	90	337	64	104	356
pseudo5_N2C3_1	AO356_20850	142	283	215.5	141	0	0	False	False	155	242	283	212	142	259
Marino	GFF439	142	283	215.5	141	0	0	False	False	155	242	283	212	142	259
pseudo6_N2E2	Pf6N2E2_3243	115	387	184.66666666666666	272	0	0	False	False	157	181	115	147	387	121
pseudo5_N2C3_1	AO356_15200	146	298	218.83333333333334	152	0	0	False	False	158	245	298	203	146	263
psRCH2	GFF1015	74	436	233.83333333333334	362	0	1	False	False	159	436	172	337	225	74
MR1	201841	95	359	204.33333333333334	264	0	1	False	False	160	95	248	225	139	359
MR1	201759	80	357	162.0	277	0	1	False	False	161	113	121	80	140	357
Putida	PP_0309	75	458	249.66666666666666	383	0	1	False	False	162	458	139	433	231	75
psRCH2	GFF2289	76	442	248.83333333333334	366	0	1	False	False	163	442	236	341	235	76
pseudo5_N2C3_1	AO356_18010	164	319	237.5	155	0	0	False	False	164	248	319	206	217	271
MR1	199596	39	1156	363.8333333333333	1117	1	1	False	False	165	244	39	1156	215	364
Smeli	SM_b21108	76	695	258.1666666666667	619	0	1	False	False	165	76	105	366	142	695
Marino	GFF1327	167	321	239.5	154	0	0	False	False	167	250	321	208	219	272
pseudo1_N1B4	Pf1N1B4_1142	71	705	244.16666666666666	634	0	1	False	False	168	71	122	258	141	705
BFirm	BPHYT_RS12970	77	450	253.0	373	0	1	False	False	169	450	240	345	237	77
Putida	PP_3273	78	451	254.0	373	0	1	False	False	170	451	241	346	238	78
MR1	201890	69	514	228.83333333333334	445	0	2	False	False	171	97	364	69	158	514
pseudo5_N2C3_1	AO356_25955	70	516	230.16666666666666	446	0	2	False	False	172	98	366	70	159	516
Smeli	SMc02232	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
pseudo3_N2E3	AO353_17575	131	342	213.0	211	0	0	False	False	173	342	133	270	229	131
MR1	200467	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	200546	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
pseudo13_GW456_L13	PfGW456L13_1850	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	200689	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
pseudo13_GW456_L13	PfGW456L13_1011	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SMc02123	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	202916	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	200349	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	200691	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Marino	GFF1694	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Marino	GFF3145	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	200508	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	199587	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
pseudo3_N2E3	AO353_13110	131	342	213.0	211	0	0	False	False	173	342	133	270	229	131
Smeli	SMc03855	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	203048	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	203309	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	203310	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	203172	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	203171	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SM_b21182	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
pseudo13_GW456_L13	PfGW456L13_843	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Marino	GFF1085	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	199537	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	202543	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SMc01930	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SMc01342	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	202856	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SMc00619	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
pseudo13_GW456_L13	PfGW456L13_4254	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SMc02558	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	202460	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SMc02877	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	201501	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	202421	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	202185	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Keio	16977	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Keio	17270	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
pseudo1_N1B4	Pf1N1B4_2949	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	201733	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	201772	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	201766	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	202003	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	201884	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
pseudo5_N2C3_1	AO356_10000	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	202009	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
pseudo5_N2C3_1	AO356_01050	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SMc03974	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SMc02724	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SMc04085	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SMc02978	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
Smeli	SMc02503	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	200253	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
MR1	199572	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
pseudo5_N2C3_1	AO356_24645	80	380	180.16666666666666	300	0	1	False	False	173	113	175	80	160	380
pseudo5_N2C3_1	AO356_12450	2	1017	387.5	1015	1	2	False	False	230	2	98	254	1017	724
pseudo5_N2C3_1	AO356_24655	228	296	260.1666666666667	68	0	0	False	False	231	258	296	267	228	281
Smeli	SMc02407	137	519	252.16666666666666	382	0	0	False	False	232	170	233	137	222	519
pseudo5_N2C3_1	AO356_08800	106	523	271.1666666666667	417	0	0	False	False	233	106	343	202	220	523
Smeli	SMc03789	50	729	253.83333333333334	679	1	2	False	False	234	67	286	50	157	729
Keio	17027	138	520	253.5	382	0	0	False	False	235	171	234	138	223	520
pseudo13_GW456_L13	PfGW456L13_3524	73	527	256.6666666666667	454	0	1	False	False	236	102	381	73	221	527
DvH	206683	80	461	275.6666666666667	381	0	1	False	False	237	461	282	352	242	80
MR1	200488	74	530	259.5	456	0	1	False	False	238	104	387	74	224	530
pseudo13_GW456_L13	PfGW456L13_4121	148	528	257.5	380	0	0	False	False	239	173	231	148	226	528
Smeli	SMc00416	54	746	270.5	692	0	2	False	False	240	70	295	54	218	746
Koxy	BWI76_RS25205	75	545	264.3333333333333	470	0	1	False	False	241	105	393	75	227	545
pseudo3_N2E3	AO353_07340	82	464	279.8333333333333	382	0	1	False	False	242	464	287	354	250	82
MR1	201174	141	550	264.0	409	0	0	False	False	243	174	244	141	232	550
pseudo5_N2C3_1	AO356_20905	176	552	305.8333333333333	376	0	0	False	False	244	176	237	390	236	552
MR1	203287	76	578	320.3333333333333	502	0	1	False	False	245	240	76	578	239	544
pseudo13_GW456_L13	PfGW456L13_1534	77	557	271.6666666666667	480	0	1	False	False	246	108	408	77	234	557
psRCH2	GFF1113	84	469	286.6666666666667	385	0	1	False	False	247	469	303	360	257	84
Phaeo	GFF2443	85	470	287.8333333333333	385	0	1	False	False	248	470	304	361	259	85
pseudo5_N2C3_1	AO356_13210	79	782	294.6666666666667	703	0	1	False	False	249	79	145	280	233	782
Koxy	BWI76_RS16425	218	373	275.6666666666667	155	0	0	False	False	250	265	373	218	244	304
Ponti	CA264_00500	86	479	291.5	393	0	1	False	False	251	479	309	363	261	86
MR1	203444	79	568	279.8333333333333	489	0	1	False	False	252	112	428	79	240	568
MR1	202081	100	1142	421.8333333333333	1042	0	1	False	False	253	236	100	1142	241	559
Keio	14608	219	380	279.3333333333333	161	0	0	False	False	254	266	380	219	249	308
MR1	202269	252	342	291.5	90	0	0	False	False	255	276	314	342	252	310
Keio	18259	220	385	282.1666666666667	165	0	0	False	False	256	268	385	220	251	313
MR1	203449	182	569	319.6666666666667	387	0	0	False	False	257	182	235	432	243	569
Phaeo	GFF2999	89	844	352.1666666666667	755	0	1	False	False	258	519	137	844	266	89
pseudo6_N2E2	Pf6N2E2_3827	77	803	343.3333333333333	726	0	2	False	False	259	557	77	803	276	88
Smeli	SMc01929	184	583	290.0	399	0	0	False	False	260	184	239	227	247	583
Btheta	352259	61	1265	406.1666666666667	1204	0	1	False	False	260	443	61	1265	263	145
pseudo3_N2E3	AO353_00915	90	488	300.0	398	0	1	False	False	262	488	311	384	265	90
Putida	PP_1737	91	490	303.1666666666667	399	0	1	False	False	263	490	333	370	272	91
Keio	17187	139	596	312.1666666666667	457	0	0	False	False	264	172	454	139	248	596
Keio	15182	93	807	352.8333333333333	714	0	1	False	False	265	93	104	603	245	807
MR1	203796	130	903	398.1666666666667	773	0	0	False	False	266	238	130	903	255	597
Smeli	SMc02114	149	603	294.1666666666667	454	0	0	False	False	267	183	310	149	253	603
Smeli	SMc03002	78	834	313.5	756	0	1	False	False	268	78	313	142	246	834
Phaeo	GFF780	93	504	310.6666666666667	411	0	1	False	False	269	504	344	376	278	93
Cup4G11	RR42_RS26410	93	504	310.6666666666667	411	0	1	False	False	269	504	344	376	278	93
Smeli	SMc00709	151	607	298.1666666666667	456	0	0	False	False	271	186	318	151	256	607
Smeli	SM_b20994	152	610	300.1666666666667	458	0	0	False	False	272	187	322	152	258	610
Phaeo	GFF1485	98	509	316.0	411	0	1	False	False	273	509	350	379	287	98
MR1	201938	143	622	327.0	479	0	0	False	False	274	175	488	143	260	622
Smeli	SMc00482	154	617	304.8333333333333	463	0	0	False	False	275	190	331	154	262	617
Smeli	SMc00174	59	867	317.5	808	0	2	False	False	276	80	369	59	254	867
pseudo1_N1B4	Pf1N1B4_1189	237	437	307.5	200	0	0	False	False	277	288	437	237	271	335
DvH	209539	79	1682	501.5	1603	0	2	False	False	278	573	79	1682	298	99
DvH	209484	79	1682	501.5	1603	0	2	False	False	278	573	79	1682	298	99
Koxy	BWI76_RS11435	274	397	320.6666666666667	123	0	0	False	False	278	308	335	397	274	332
ANA3	7025963	107	606	342.5	499	0	0	False	False	278	528	242	606	294	107
DvH	209238	79	1682	501.5	1603	0	2	False	False	278	573	79	1682	298	99
DvH	209483	79	1682	501.5	1603	0	2	False	False	278	573	79	1682	298	99
Phaeo	GFF440	79	1682	501.5	1603	0	2	False	False	278	573	79	1682	298	99
pseudo5_N2C3_1	AO356_25185	49	779	335.6666666666667	730	1	2	False	False	285	66	486	49	779	349
Smeli	SMc00355	228	631	324.1666666666667	403	0	0	False	False	286	228	249	282	269	631
MR1	201219	228	631	324.1666666666667	403	0	0	False	False	286	228	249	282	269	631
HerbieS	HSERO_RS10520	152	415	304.6666666666667	263	0	0	False	False	286	410	152	415	291	274
Koxy	BWI76_RS19600	145	646	337.8333333333333	501	0	0	False	False	289	178	505	145	264	646
Putida	PP_1058	111	516	328.3333333333333	405	0	0	False	False	290	516	370	380	303	111
DvH	209282	95	1464	474.3333333333333	1369	0	1	False	False	291	578	95	1464	310	108
MR1	202187	118	1179	458.3333333333333	1061	0	0	False	False	292	256	118	1179	277	628
pseudo1_N1B4	Pf1N1B4_4934	146	659	342.1666666666667	513	0	0	False	False	293	180	507	146	268	659
pseudo5_N2C3_1	AO356_09185	157	649	318.8333333333333	492	0	0	False	False	294	193	347	157	273	649
psRCH2	GFF2272	116	518	333.1666666666667	402	0	0	False	False	295	518	379	382	309	116
Putida	PP_0642	77	946	343.0	869	0	1	False	False	296	77	247	204	946	288
pseudo13_GW456_L13	PfGW456L13_2601	242	467	324.0	225	0	0	False	False	297	299	467	242	288	351
Smeli	SMc03003	110	889	400.6666666666667	779	0	0	False	False	298	110	120	713	274	889
MR1	203537	67	1250	473.6666666666667	1183	0	1	False	False	299	289	67	1250	289	648
Cup4G11	RR42_RS36665	117	1248	445.8333333333333	1131	0	0	False	False	300	566	124	1248	320	117
pseudo1_N1B4	Pf1N1B4_2960	60	898	335.5	838	0	2	False	False	301	83	404	60	267	898
Smeli	SMc02787	160	674	328.6666666666667	514	0	0	False	False	302	196	359	160	281	674
Koxy	BWI76_RS26965	246	672	397.3333333333333	426	0	0	False	False	303	246	293	584	286	672
pseudo13_GW456_L13	PfGW456L13_2636	244	485	332.0	241	0	0	False	False	304	303	485	244	295	361
pseudo3_N2E3	AO353_17050	291	410	322.5	119	0	0	False	False	305	410	301	317	311	291
