orgId	locusId	gene_cluster_id	n_species	breadth_class	s_pangenome	s_pangenome_v2	breadth_subscore_orig	breadth_subscore_new	total_score	total_score_v2	rank_orig	rank_v2	rank_change
MR1	202608	NC_004347.2_3284	5.0	universal	1.0	0.625	0.5	0.125	0.6625	0.60625	26	81	-55
MR1	199636	NZ_CP053946.1_934	5.0	universal	1.0	0.625	0.5	0.125	0.6616666666666666	0.6054166666666666	27	83	-56
pseudo5_N2C3_1	AO356_01105	NZ_PPRZ01000096.1_22	14.0	universal	1.0	0.85	0.5	0.35	0.6616143958333334	0.6391143958333334	28	17	11
MR1	202208	NC_004347.2_2886	29.0	universal	1.0	1.0	0.5	0.5	0.66040644375	0.66040644375	29	7	22
MR1	200452	NC_004347.2_1197	9.0	universal	1.0	0.725	0.5	0.225	0.6599999999999999	0.6187499999999999	30	47	-17
Keio	17261	NZ_JALMSS010000008.1_77	2.0	universal	1.0	0.55	0.5	0.05	0.6599999999999999	0.5924999999999999	30	126	-96
pseudo5_N2C3_1	AO356_09635	NZ_JACNDT010000003.1_241	17.0	universal	1.0	0.925	0.5	0.425	0.6599999999999999	0.6487499999999999	30	10	20
Marino	GFF287	JANSXQ010000012.1_12	11.0	universal	1.0	0.775	0.5	0.275	0.659534725	0.6257847249999999	33	28	5
Marino	GFF3678	NC_017506.1_3600	4.0	universal	1.0	0.6	0.5	0.1	0.6583333333333333	0.5983333333333333	34	109	-75
Btheta	353429	GG774704.1_70	1.0	universal	1.0	0.525	0.5	0.025	0.6575000000000001	0.58625	35	151	-116
WCS417	GFF1426	NZ_CP010896.1_1475	11.0	universal	1.0	0.775	0.5	0.275	0.6575000000000001	0.62375	35	30	5
Putida	PP_4628	NZ_NNBI01000002.1_787	6.0	universal	1.0	0.65	0.5	0.15	0.6575000000000001	0.6050000000000001	35	85	-50
DvH	209482	NC_008751.1_2439	11.0	universal	1.0	0.775	0.5	0.275	0.6575000000000001	0.62375	35	30	5
pseudo3_N2E3	AO353_06515	NZ_PPSH01000006.1_82	2.0	universal	1.0	0.55	0.5	0.05	0.6575000000000001	0.5900000000000001	35	133	-98
DvH	209182	NC_008751.1_2759	3.0	universal	1.0	0.575	0.5	0.075	0.6575000000000001	0.5937500000000001	35	122	-87
pseudo5_N2C3_1	AO356_10905	NZ_FPJC01000024.1_82	15.0	universal	1.0	0.875	0.5	0.375	0.6541666666666667	0.6354166666666666	41	20	21
pseudo5_N2C3_1	AO356_12710	NZ_FMXV01000009.1_124	14.0	universal	1.0	0.85	0.5	0.35	0.6523340375	0.6298340375	42	25	17
Smeli	SMc01001	NZ_JZXD01000039.1_28	7.0	universal	1.0	0.675	0.5	0.175	0.65168090625	0.60293090625	43	96	-53
MR1	203454	NZ_CP053946.1_166	15.0	universal	1.0	0.875	0.5	0.375	0.65037750625	0.63162750625	44	24	20
DvH	206682	JAEWXM010000065.1_15	10.0	universal	1.0	0.75	0.5	0.25	0.64852275	0.61102275	45	68	-23
Phaeo	GFF1616	CP081221.1_2908	3.0	universal	1.0	0.575	0.5	0.075	0.6475000000000001	0.5837500000000001	46	165	-119
MR1	202985	NC_004347.2_3638	6.0	universal	1.0	0.65	0.5	0.15	0.6475	0.595	47	120	-73
pseudo1_N1B4	Pf1N1B4_2130	NZ_LUKJ01000003.1_2153	18.0	universal	1.0	0.95	0.5	0.45	0.6475	0.6399999999999999	47	16	31
pseudo5_N2C3_1	AO356_04430	NZ_FOVS01000024.1_42	9.0	universal	1.0	0.725	0.5	0.225	0.6475	0.60625	47	81	-34
Putida	PP_0766	NZ_KZ987399.1_4512	17.0	universal	1.0	0.925	0.5	0.425	0.6465264125000001	0.6352764125000001	50	21	29
Keio	14528	NZ_JAATUR010000034.1_28	4.0	universal	1.0	0.6	0.5	0.1	0.6458333333333333	0.5858333333333332	51	156	-105
MR1	199597	NC_004347.2_382	2.0	universal	1.0	0.55	0.5	0.05	0.6458333333333333	0.5783333333333333	51	196	-145
Keio	14308	NZ_JAATUR010000035.1_17	2.0	universal	1.0	0.55	0.5	0.05	0.645220140625	0.577720140625	53	202	-149
acidovorax_3H11	Ac3H11_3276	NZ_LUKZ01000037.1_9	8.0	universal	1.0	0.7	0.5	0.2	0.645	0.6	54	102	-48
Smeli	SMc04209	AKZY01000048.1_4	8.0	universal	1.0	0.7	0.5	0.2	0.645	0.6	54	102	-48
pseudo3_N2E3	AO353_04865	NZ_POHG01000045.1_18	24.0	universal	1.0	1.0	0.5	0.5	0.645	0.645	54	12	42
Smeli	SMc02875	NZ_RPKD01000015.1_50	5.0	universal	1.0	0.625	0.5	0.125	0.645	0.58875	54	141	-87
PV4	5210578	NZ_CP080418.1_3033	13.0	universal	1.0	0.825	0.5	0.325	0.645	0.61875	54	45	9
Ponti	CA264_06090	NZ_CP021235.1_1214	12.0	universal	1.0	0.8	0.5	0.3	0.645	0.615	54	51	3
MR1	202849	NC_004347.2_3504	4.0	universal	1.0	0.6	0.5	0.1	0.6445641510416666	0.5845641510416666	60	164	-104
Marino	GFF338	NZ_JAHWRS010000006.1_22	12.0	universal	1.0	0.8	0.5	0.3	0.643761290625	0.613761290625	61	61	0
BFirm	BPHYT_RS19100	NZ_SNVI01000001.1_2675	5.0	universal	1.0	0.625	0.5	0.125	0.6428302812500001	0.5865802812500001	62	150	-88
psRCH2	GFF1886	NC_019936.1_1878	2.0	universal	0.9	0.45	0.5	0.05	0.6425000000000001	0.5750000000000001	63	216	-153
Smeli	SMc03109	NZ_KI421524.1_426	4.0	universal	1.0	0.6	0.5	0.1	0.6425	0.5824999999999999	64	170	-106
MR1	201972	NC_004347.2_2648	20.0	universal	1.0	1.0	0.5	0.5	0.6425	0.6425	64	13	51
Marino	GFF1368	NZ_CP076686.1_2144	11.0	universal	1.0	0.775	0.5	0.275	0.6425	0.6087499999999999	64	75	-11
Marino	GFF4032	NZ_RJUQ01000013.1_215	3.0	universal	1.0	0.575	0.5	0.075	0.6416666666666666	0.5779166666666666	67	199	-132
MR1	203092	NC_004347.2_3735	2.0	universal	1.0	0.55	0.5	0.05	0.6416666666666666	0.5741666666666666	67	238	-171
psRCH2	GFF3859	NZ_BDJA01000004.1_290	10.0	universal	0.9	0.65	0.5	0.25	0.6408333333333334	0.6033333333333334	69	95	-26
pseudo5_N2C3_1	AO356_23240	NZ_JACVAH010000014.1_11	5.0	universal	1.0	0.625	0.5	0.125	0.6408333333333334	0.5845833333333333	69	163	-94
Putida	PP_0909	NZ_AOUR02000011.1_128	3.0	universal	1.0	0.575	0.5	0.075	0.6404616875000001	0.5767116875000001	71	212	-141
pseudo6_N2E2	Pf6N2E2_2710	NZ_FMYA01000022.1_45	9.0	universal	1.0	0.725	0.5	0.225	0.6391666666666667	0.5979166666666667	72	111	-39
psRCH2	GFF207	NZ_BDJA01000001.1_275	7.0	universal	0.9	0.575	0.5	0.175	0.6375	0.5887500000000001	73	139	-66
Putida	PP_0177	NZ_CP011525.1_5324	8.0	universal	1.0	0.7	0.5	0.2	0.6361421208333334	0.5911421208333334	74	130	-56
Koxy	BWI76_RS11480	NZ_CP026269.1_3452	18.0	universal	1.0	0.95	0.5	0.45	0.63554686875	0.6280468687499999	75	26	49
pseudo13_GW456_L13	PfGW456L13_803	NZ_CABVHL010000076.1_1	18.0	universal	1.0	0.95	0.5	0.45	0.6340326625	0.6265326625	76	27	49
pseudo5_N2C3_1	AO356_13585	NZ_PPRZ01000045.1_1	20.0	universal	1.0	1.0	0.5	0.5	0.633715678125	0.633715678125	77	23	54
Pedo557	CA265_RS23005	NZ_JAGGPV010000016.1_149	10.0	universal	1.0	0.75	0.5	0.25	0.6334793000000001	0.5959793000000001	78	117	-39
Koxy	BWI76_RS22685	DLPG01000018.1_167	3.0	universal	1.0	0.575	0.5	0.075	0.6333333333333333	0.5695833333333333	79	270	-191
acidovorax_3H11	Ac3H11_4707	NZ_LUKZ01000008.1_13	10.0	universal	1.0	0.75	0.5	0.25	0.6325000000000001	0.5950000000000001	80	119	-39
Dino	3607392	NZ_CP097547.1_818	11.0	universal	1.0	0.775	0.5	0.275	0.6325000000000001	0.59875	80	108	-28
pseudo5_N2C3_1	AO356_04525	NZ_FNOA01000023.1_20	6.0	universal	1.0	0.65	0.5	0.15	0.6307634437499999	0.5782634437499999	82	197	-115
pseudo5_N2C3_1	AO356_03360	NZ_PPRZ01000043.1_23	18.0	universal	0.9	0.8500000000000001	0.5	0.45	0.63	0.6225	83	32	51
pseudo5_N2C3_1	AO356_27215	NZ_CP012831.1_5414	2.0	universal	0.9	0.45	0.5	0.05	0.63	0.5625	83	340	-257
pseudo5_N2C3_1	AO356_03355	NZ_CP012831.1_676	17.0	universal	0.9	0.825	0.5	0.425	0.63	0.61875	83	45	38
pseudo5_N2C3_1	AO356_03345	NZ_CP012831.1_674	2.0	universal	0.9	0.45	0.5	0.05	0.63	0.5625	83	340	-257
Smeli	SMc03969	NZ_RPIH01000024.1_2	16.0	universal	1.0	0.9	0.5	0.4	0.62887540625	0.61387540625	87	60	27
pseudo5_N2C3_1	AO356_16890	NZ_FOVS01000041.1_32	4.0	universal	1.0	0.6	0.5	0.1	0.6285584364583333	0.5685584364583333	88	283	-195
Smeli	SMa0247	NZ_RPNY01000004.1_89	1.0	universal	1.0	0.525	0.5	0.025	0.6283333333333333	0.5570833333333333	89	388	-299
Keio	15089	NZ_JALMSS010000001.1_29	3.0	universal	1.0	0.575	0.5	0.075	0.6279619062499999	0.56421190625	90	323	-233
Marino	GFF239	NZ_CP076686.1_1055	4.0	universal	1.0	0.6	0.5	0.1	0.627715853125	0.567715853125	91	291	-200
psRCH2	GFF1494	MCNJ01000097.1_14	4.0	universal	1.0	0.6	0.5	0.1	0.627587440625	0.567587440625	92	294	-202
psRCH2	GFF205	NZ_BDJA01000001.1_273	10.0	universal	1.0	0.75	0.5	0.25	0.6275	0.5900000000000001	93	133	-40
Koxy	BWI76_RS17885	NZ_WMOW01000002.1_194	15.0	universal	1.0	0.875	0.5	0.375	0.6274576875	0.6087076874999999	94	76	18
Putida	PP_0903	NZ_CP046872.1_4552	9.0	universal	1.0	0.725	0.5	0.225	0.6266666666666667	0.5854166666666667	95	159	-64
MR1	203217	NC_004347.2_3840	11.0	universal	1.0	0.775	0.5	0.275	0.62557394375	0.5918239437499999	96	129	-33
Koxy	BWI76_RS06505	NZ_CP080008.1_4015	8.0	universal	1.0	0.7	0.5	0.2	0.625	0.58	97	187	-90
pseudo13_GW456_L13	PfGW456L13_2307	NZ_JACNDX010000039.1_41	8.0	universal	1.0	0.7	0.5	0.2	0.625	0.58	97	187	-90
Phaeo	GFF96	CP081216.1_3101	18.0	universal	1.0	0.95	0.5	0.45	0.6244406343750001	0.616940634375	99	50	49
MR1	202561	NC_004347.2_3238	5.0	universal	1.0	0.625	0.5	0.125	0.6236292072916666	0.5673792072916666	100	300	-200
Putida	PP_0908	NZ_QHJD01000032.1_729	10.0	universal	1.0	0.75	0.5	0.25	0.6224694020833333	0.5849694020833333	101	162	-61
ANA3	7026494	NZ_CP080411.1_3603	6.0	universal	1.0	0.65	0.5	0.15	0.62228059375	0.56978059375	102	268	-166
MR1	201404	NC_004347.2_2090	3.0	universal	1.0	0.575	0.5	0.075	0.6219111979166666	0.5581611979166666	103	381	-278
Smeli	SMc02236	CP021812.1_2622	4.0	universal	1.0	0.6	0.5	0.1	0.6216086843749999	0.5616086843749999	104	348	-244
DvH	206326	JAEWXM010000305.1_7	17.0	universal	1.0	0.925	0.5	0.425	0.6210680406250001	0.6098180406250001	105	70	35
psRCH2	GFF195	NC_019936.1_194	6.0	universal	1.0	0.65	0.5	0.15	0.6209163843750001	0.5684163843750001	106	284	-178
Keio	16290	NZ_JAATUR010000027.1_35	4.0	universal	1.0	0.6	0.5	0.1	0.6208333333333333	0.5608333333333333	107	357	-250
pseudo5_N2C3_1	AO356_10360	NZ_FMXJ01000007.1_162	20.0	universal	1.0	1.0	0.5	0.5	0.620707159375	0.620707159375	108	34	74
pseudo3_N2E3	AO353_10995	NZ_POGY01000004.1_23	6.0	universal	1.0	0.65	0.5	0.15	0.620008446875	0.567508446875	109	295	-186
Dino	3609861	NZ_CP097547.1_3297	21.0	universal	1.0	1.0	0.5	0.5	0.62	0.62	110	35	75
PV4	5210576	NZ_CP080420.1_3013	8.0	universal	1.0	0.7	0.5	0.2	0.62	0.575	110	229	-119
MR1	202010	NC_004347.2_2683	3.0	universal	1.0	0.575	0.5	0.075	0.62	0.55625	110	398	-288
Marino	GFF4148	NZ_CP076686.1_733	8.0	universal	1.0	0.7	0.5	0.2	0.62	0.575	110	229	-119
pseudo5_N2C3_1	AO356_02190	NZ_FPJC01000009.1_13	3.0	universal	1.0	0.575	0.5	0.075	0.62	0.55625	110	398	-288
pseudo5_N2C3_1	AO356_04335	NZ_FPJC01000017.1_34	8.0	universal	1.0	0.7	0.5	0.2	0.62	0.575	110	229	-119
MR1	199620	NC_004347.2_404	8.0	universal	1.0	0.7	0.5	0.2	0.62	0.575	110	229	-119
pseudo6_N2E2	Pf6N2E2_4692	NZ_FPIX01000007.1_27	11.0	universal	1.0	0.775	0.5	0.275	0.62	0.5862499999999999	110	152	-42
Koxy	BWI76_RS23830	JAGZIR010000029.1_124	21.0	universal	1.0	1.0	0.5	0.5	0.62	0.62	110	35	75
PV4	5211093	NZ_CP080420.1_3505	11.0	universal	1.0	0.775	0.5	0.275	0.62	0.5862499999999999	110	152	-42
MR1	201753	NC_004347.2_2426	8.0	universal	1.0	0.7	0.5	0.2	0.62	0.575	110	229	-119
Keio	17276	NZ_JAATUR010000001.1_220	7.0	universal	1.0	0.675	0.5	0.175	0.62	0.5712499999999999	110	258	-148
Putida	PP_1165	NZ_APBQ01000126.1_9	11.0	universal	1.0	0.775	0.5	0.275	0.62	0.5862499999999999	110	152	-42
pseudo5_N2C3_1	AO356_13655	NZ_JACNDD010000120.1_8	11.0	universal	1.0	0.775	0.5	0.275	0.62	0.5862499999999999	110	152	-42
Keio	14337	NZ_JAATUR010000035.1_46	4.0	universal	1.0	0.6	0.5	0.1	0.62	0.5599999999999999	110	369	-259
pseudo5_N2C3_1	AO356_15325	NZ_FPJC01000032.1_6	7.0	universal	1.0	0.675	0.5	0.175	0.62	0.5712499999999999	110	258	-148
PV4	5210764	NZ_CP080417.1_3223	23.0	universal	1.0	1.0	0.5	0.5	0.62	0.62	110	35	75
pseudo13_GW456_L13	PfGW456L13_5011	NZ_JAHUWM010000003.1_138	17.0	universal	1.0	0.925	0.5	0.425	0.62	0.60875	110	72	38
Koxy	BWI76_RS22185	NZ_CP048108.1_5476	2.0	universal	1.0	0.55	0.5	0.05	0.62	0.5525	110	434	-324
pseudo1_N1B4	Pf1N1B4_3997	NZ_LUKJ01000003.1_3992	10.0	universal	1.0	0.75	0.5	0.25	0.62	0.5824999999999999	110	170	-60
MR1	201936	NC_004347.2_2609	17.0	universal	1.0	0.925	0.5	0.425	0.62	0.60875	110	72	38
Dino	3609860	NZ_CP097547.1_3296	25.0	universal	1.0	1.0	0.5	0.5	0.62	0.62	110	35	75
MR1	201995	NC_004347.2_2669	8.0	universal	1.0	0.7	0.5	0.2	0.62	0.575	110	229	-119
MR1	199961	NC_004347.2_730	13.0	universal	1.0	0.825	0.5	0.325	0.62	0.59375	110	123	-13
MR1	203037	NC_004347.2_3689	12.0	universal	1.0	0.8	0.5	0.3	0.62	0.59	110	135	-25
MR1	203035	NC_004347.2_3687	10.0	universal	1.0	0.75	0.5	0.25	0.62	0.5824999999999999	110	170	-60
MR1	201270	NC_004347.2_1965	21.0	universal	1.0	1.0	0.5	0.5	0.62	0.62	110	35	75
MR1	200980	NC_004347.2_1694	20.0	universal	1.0	1.0	0.5	0.5	0.62	0.62	110	35	75
Marino	GFF1402	NZ_RJUQ01000017.1_73	5.0	universal	1.0	0.625	0.5	0.125	0.62	0.56375	110	330	-220
pseudo5_N2C3_1	AO356_18060	NZ_JACVAH010000005.1_100	10.0	universal	1.0	0.75	0.5	0.25	0.62	0.5824999999999999	110	170	-60
pseudo13_GW456_L13	PfGW456L13_3301	NZ_JAHBCO010000030.1_90	29.0	universal	1.0	1.0	0.5	0.5	0.62	0.62	110	35	75
pseudo1_N1B4	Pf1N1B4_4990	NZ_JAHUWR010000001.1_1354	14.0	universal	1.0	0.85	0.5	0.35	0.62	0.5975	110	113	-3
MR1	202477	NC_004347.2_3154	4.0	universal	1.0	0.6	0.5	0.1	0.62	0.5599999999999999	110	369	-259
MR1	201271	NC_004347.2_1966	10.0	universal	1.0	0.75	0.5	0.25	0.62	0.5824999999999999	110	170	-60
MR1	200723	NC_004347.2_1459	2.0	universal	1.0	0.55	0.5	0.05	0.62	0.5525	110	434	-324
pseudo13_GW456_L13	PfGW456L13_328	NZ_CABVIT010000005.1_320	17.0	universal	1.0	0.925	0.5	0.425	0.62	0.60875	110	72	38
WCS417	GFF4486	NZ_CP093333.1_4469	5.0	universal	1.0	0.625	0.5	0.125	0.62	0.56375	110	330	-220
pseudo6_N2E2	Pf6N2E2_512	NZ_JACNDS010000001.1_632	2.0	universal	1.0	0.55	0.5	0.05	0.62	0.5525	110	434	-324
MR1	200646	NC_004347.2_1388	10.0	universal	1.0	0.75	0.5	0.25	0.62	0.5824999999999999	110	170	-60
MR1	203295	NZ_CP053946.1_3	18.0	universal	1.0	0.95	0.5	0.45	0.62	0.6124999999999999	110	65	45
pseudo5_N2C3_1	AO356_16920	NZ_SMCJ01000021.1_16	24.0	universal	1.0	1.0	0.5	0.5	0.61918606875	0.61918606875	150	44	106
Caulo	CCNA_02669	NC_011916.1_2570	12.0	universal	1.0	0.8	0.5	0.3	0.6187203750000001	0.5887203750000001	151	144	7
MR1	201840	NC_004347.2_2511	4.0	universal	1.0	0.6	0.5	0.1	0.6187034239583333	0.5587034239583333	152	378	-226
MR1	201576	NC_004347.2_2253	16.0	universal	1.0	0.9	0.5	0.4	0.618642121875	0.603642121875	153	93	60
MR1	203727	NZ_CP053946.1_423	9.0	universal	1.0	0.725	0.5	0.225	0.61839309375	0.57714309375	154	210	-56
pseudo5_N2C3_1	AO356_20850	NZ_FMXJ01000030.1_61	17.0	universal	1.0	0.925	0.5	0.425	0.6183333333333333	0.6070833333333333	155	79	76
Marino	GFF439	NZ_JAHWRS010000005.1_71	1.0	universal	1.0	0.525	0.5	0.025	0.6183333333333333	0.5470833333333333	155	499	-344
pseudo6_N2E2	Pf6N2E2_3243	NZ_FNZL01000029.1_34	21.0	universal	0.9	0.9	0.5	0.5	0.6182922093750001	0.6182922093750001	157	48	109
pseudo5_N2C3_1	AO356_15200	NZ_FNOA01000028.1_51	8.0	universal	1.0	0.7	0.5	0.2	0.6177166656249999	0.5727166656249999	158	245	-87
psRCH2	GFF1015	NC_019936.1_1022	4.0	universal	1.0	0.6	0.5	0.1	0.6177161937500001	0.55771619375	159	384	-225
MR1	201841	NC_004347.2_2512	3.0	universal	1.0	0.575	0.5	0.075	0.617711075	0.553961075	160	420	-260
MR1	201759	NC_004347.2_2432	6.0	universal	1.0	0.65	0.5	0.15	0.6174999999999999	0.565	161	319	-158
Putida	PP_0309	NZ_PDEH01000001.1_2150	5.0	universal	1.0	0.625	0.5	0.125	0.616380475	0.560130475	162	360	-198
psRCH2	GFF2289	NC_019936.1_2269	19.0	universal	1.0	0.975	0.5	0.475	0.61593521875	0.61218521875	163	66	97
pseudo5_N2C3_1	AO356_18010	NZ_FOKH01000005.1_159	16.0	universal	1.0	0.9	0.5	0.4	0.6158859906249999	0.6008859906249999	164	100	64
MR1	199596	NC_004347.2_381	2.0	universal	1.0	0.55	0.5	0.05	0.6158333333333333	0.5483333333333333	165	480	-315
Smeli	SM_b21108	NZ_RPIH01000071.1_21	5.0	universal	1.0	0.625	0.5	0.125	0.6158333333333333	0.5595833333333333	165	374	-209
Marino	GFF1327	JAGLCV010000131.1_5	2.0	universal	1.0	0.55	0.5	0.05	0.6157662656249999	0.5482662656249999	167	481	-314
pseudo1_N1B4	Pf1N1B4_1142	NZ_JACNDV010000001.1_146	16.0	universal	1.0	0.9	0.5	0.4	0.6157144635416667	0.6007144635416667	168	101	67
BFirm	BPHYT_RS12970	NC_010681.1_2590	19.0	universal	1.0	0.975	0.5	0.475	0.61518304375	0.61143304375	169	67	102
Putida	PP_3273	NZ_JAJSQB010000002.1_183	6.0	universal	1.0	0.65	0.5	0.15	0.6151534375000001	0.5626534375000001	170	338	-168
MR1	201890	NC_004347.2_2559	13.0	universal	1.0	0.825	0.5	0.325	0.615132309375	0.588882309375	171	138	33
pseudo5_N2C3_1	AO356_25955	NZ_CP012831.1_5158	12.0	universal	1.0	0.8	0.5	0.3	0.61500624375	0.58500624375	172	161	11
Smeli	SMc02232	NZ_RPHO01000010.1_57	20.0	universal	1.0	1.0	0.5	0.5	0.615	0.615	173	51	122
pseudo3_N2E3	AO353_17575	NZ_POHJ01000008.1_153	2.0	universal	1.0	0.55	0.5	0.05	0.615	0.5475000000000001	173	486	-313
MR1	200467	NC_004347.2_1213	2.0	universal	1.0	0.55	0.5	0.05	0.615	0.5475	173	487	-314
MR1	200546	NC_004347.2_1290	10.0	universal	1.0	0.75	0.5	0.25	0.615	0.5775	173	203	-30
pseudo13_GW456_L13	PfGW456L13_1850	NZ_LKBJ01000002.1_1825	16.0	universal	1.0	0.9	0.5	0.4	0.615	0.6	173	102	71
MR1	200689	NC_004347.2_1426	13.0	universal	1.0	0.825	0.5	0.325	0.615	0.58875	173	141	32
pseudo13_GW456_L13	PfGW456L13_1011	NZ_POHT01000009.1_108	17.0	universal	1.0	0.925	0.5	0.425	0.615	0.60375	173	89	84
Smeli	SMc02123	NZ_RPHV01000065.1_30	16.0	universal	1.0	0.9	0.5	0.4	0.615	0.6	173	102	71
MR1	202916	NC_004347.2_3571	10.0	universal	1.0	0.75	0.5	0.25	0.615	0.5775	173	203	-30
MR1	200349	NC_004347.2_1102	8.0	universal	1.0	0.7	0.5	0.2	0.615	0.57	173	261	-88
MR1	200691	NC_004347.2_1428	8.0	universal	1.0	0.7	0.5	0.2	0.615	0.57	173	261	-88
Marino	GFF1694	NZ_RJUQ01000014.1_31	9.0	universal	1.0	0.725	0.5	0.225	0.615	0.57375	173	239	-66
Marino	GFF3145	NZ_JAHWRS010000001.1_1793	10.0	universal	1.0	0.75	0.5	0.25	0.615	0.5775	173	203	-30
MR1	200508	NZ_CP053946.1_1772	20.0	universal	1.0	1.0	0.5	0.5	0.615	0.615	173	51	122
MR1	199587	NC_004347.2_371	2.0	universal	1.0	0.55	0.5	0.05	0.615	0.5475	173	487	-314
pseudo3_N2E3	AO353_13110	NZ_POHD01000011.1_73	13.0	universal	1.0	0.825	0.5	0.325	0.615	0.5887500000000001	173	139	34
Smeli	SMc03855	NZ_CP021822.1_458	3.0	universal	1.0	0.575	0.5	0.075	0.615	0.55125	173	450	-277
MR1	203048	NC_004347.2_3699	7.0	universal	1.0	0.675	0.5	0.175	0.615	0.56625	173	307	-134
MR1	203309	NC_004347.2_3924	1.0	universal	1.0	0.525	0.5	0.025	0.615	0.54375	173	538	-365
MR1	203310	NC_004347.2_3925	7.0	universal	1.0	0.675	0.5	0.175	0.615	0.56625	173	307	-134
MR1	203172	NC_004347.2_3799	8.0	universal	1.0	0.7	0.5	0.2	0.615	0.57	173	261	-88
MR1	203171	NC_004347.2_3798	6.0	universal	1.0	0.65	0.5	0.15	0.615	0.5625	173	340	-167
Smeli	SM_b21182	NZ_CP021823.1_559	3.0	universal	1.0	0.575	0.5	0.075	0.615	0.55125	173	450	-277
pseudo13_GW456_L13	PfGW456L13_843	NZ_FNTC01000002.1_385	28.0	universal	1.0	1.0	0.5	0.5	0.615	0.615	173	51	122
Marino	GFF1085	NZ_JAHXRN010000006.1_113	15.0	universal	1.0	0.875	0.5	0.375	0.615	0.59625	173	114	59
MR1	199537	NC_004347.2_317	8.0	universal	1.0	0.7	0.5	0.2	0.615	0.57	173	261	-88
MR1	202543	NC_004347.2_3214	2.0	universal	1.0	0.55	0.5	0.05	0.615	0.5475	173	487	-314
Smeli	SMc01930	NC_015590.1_1075	26.0	universal	1.0	1.0	0.5	0.5	0.615	0.615	173	51	122
