orgId	locusId	desc	annotation_class	max_abs_fit	top_condition_class	top_condition_fit	n_specific_phenotypes	n_condition_classes	gene_cluster_id	is_core	is_auxiliary	module	module_prediction	OG_id	og_n_organisms	essentiality_class	is_essential_dark	essential_prediction	n_domains	domain_names	top_cofit_partners	top_cofit_score	s_fitness	s_conservation	s_inference	s_pangenome	s_biogeographic	s_tractability	total_score
MR1	203720	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.537897	nitrogen source	4.537897	4	2.0	NC_004347.2_4320	True	False			OG01382	29.0	variably_essential	False		1.0	Ser_hydrolase	chaperone protein HscA (NCBI ptt file) | esterase, putative (NCBI ptt file) | trigger factor (NCBI ptt file)	0.577841658522143	0.7999999999999999	0.6	0.55	1.0	0.0	1.0	0.6799999999999999
Marino	GFF2506	conserved hypothetical protein	hypothetical	3.379443	stress	3.379443	6	1.0	NC_017506.1_2449	True	False	M000	Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase; Melittin resistance protein PqaB	OG01031	31.0	variably_essential	False		2.0	AsmA_2 | DUF3971			0.772430375	0.6	0.6499999999999999	1.0	0.0	0.85	0.67810759375
MR1	203026	conserved hypothetical protein (NCBI ptt file)	hypothetical	3.4892945	carbon source	3.4892945	6	2.0	NC_004347.2_3677	True	False			OG01284	39.0	variably_essential	False		1.0	AFG1_ATPase	methylcitrate synthase (NCBI ptt file) | DNA-binding response regulator, LuxR family (NCBI ptt file) | transcriptional regulator. GntR family (NCBI ptt file)	0.797484309109786	0.7861618125	0.6	0.55	1.0	0.0	1.0	0.676540453125
Marino	GFF1827	protein belonging to uncharacterized protein family UPF0005	uncharacterized	3.706578	stress	3.706578	4	1.0	JAGLCV010000243.1_9	True	False	M017	PF01145	OG00267	40.0	variably_essential	False		1.0	Bax1-I			0.76332225	0.6	0.6499999999999999	1.0	0.0	0.85	0.6758305625
MR1	201809	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.448241	stress	4.448241	6	1.0	NC_004347.2_2481	True	False			OG04264	10.0	never_essential	False		2.0	PG_binding_3 | Glyco_hydro_108	prophage MuSo2, positive regulator of late transcription, putative (NCBI ptt file) | conserved hypothetical protein (NCBI ptt file) | conserved hypothetical protein (NCBI ptt file)	0.915522214927834	0.85	0.5083333333333333	0.55	1.0	0.0	1.0	0.6741666666666667
MR1	201731	conserved hypothetical protein (NCBI ptt file)	hypothetical	3.9589162	motility	3.9589162	7	2.0	NC_004347.2_2404	True	False	M038	TIGR00254	OG02915	9.0	never_essential	False		2.0	ZapC_C | ZapC_N			0.844864525	0.4875	0.6499999999999999	1.0	0.0	0.85	0.67371613125
Marino	GFF1367	conserved hypothetical protein	hypothetical	5.712205	stress	5.712205	3	1.0	NZ_CP076686.1_2143	True	False	M013	PF00270	OG04658	29.0	variably_essential	False		1.0	IMS			0.75	0.6	0.6499999999999999	1.0	0.0	0.85	0.6725
MR1	202474	conserved hypothetical protein (NCBI ptt file)	hypothetical	7.1395607	carbon source	7.1395607	3	2.0	NC_004347.2_3151	True	False	M004	PF00460	OG02985	19.0	variably_essential	False		1.0	YggL_50S_bp			0.75	0.6	0.6499999999999999	1.0	0.0	0.85	0.6725
pseudo5_N2C3_1	AO356_17245	hypothetical protein	hypothetical	3.5553362	stress	3.5553362	4	2.0	NZ_JACNDD010000153.1_1	True	False	M015	K00763	OG00098	44.0	variably_essential	False		4.0	Biotin_lipoyl_2 | HlyD_D23 | HlyD_3			0.7444170250000001	0.6	0.6499999999999999	1.0	0.0	0.85	0.67110425625
pseudo5_N2C3_1	AO356_08210	hypothetical protein	hypothetical	3.978839	stress	3.978839	4	2.0	NZ_JACNDQ010000003.1_513	True	False	M014	K03808	OG06754	11.0	never_essential	False		4.0	DUF3426 | zinc_ribbon_5 | zinc_ribbon_4			0.797354875	0.5291666666666667	0.6499999999999999	1.0	0.0	0.85	0.6701720520833333
Putida	PP_0765	conserved exported protein of unknown function	uncharacterized	4.0637174	carbon source	4.0637174	5	1.0	NZ_NBWA01000007.1_52	False	True	M034	PF00196	OG00534	19.0	never_essential	False		1.0	DUF1302			0.85	0.6	0.6499999999999999	0.9	0.25	0.44999999999999996	0.6675000000000001
MR1	203631	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.512843	stress	4.512843	5	1.0	NZ_CP053946.1_328	True	False	M013	PF01145	OG05347	14.0	never_essential	False						0.85	0.5916666666666667	0.5	1.0	0.0	0.85	0.6658333333333333
Keio	18268	orf, hypothetical protein (VIMSS)	hypothetical	2.9570856	carbon source	2.9570856	6	3.0	NZ_JAATUR010000006.1_103	True	False	M013	PF02653	OG01172	46.0	variably_essential	False		2.0	Ribonuc_L-PSP | TIGR00004			0.7196357	0.6	0.6499999999999999	1.0	0.0	0.85	0.664908925
Keio	16530	orf, hypothetical protein (VIMSS)	hypothetical	2.930667	stress	2.930667	6	1.0	NZ_JALMSS010000003.1_148	True	False	M034	PF00270	OG03345	22.0	variably_essential	False		3.0	Dyp_perox_C | Dyp_perox_N | TIGR01413			0.7163333749999999	0.6	0.6499999999999999	1.0	0.0	0.85	0.66408334375
MR1	199559	conserved hypothetical protein (NCBI ptt file)	hypothetical	3.8838415	nitrogen source	3.8838415	6	2.0	NC_004347.2_339	True	False	M028	PF01380	OG06025	7.0	never_essential	False		1.0	APH			0.8354801875	0.4458333333333333	0.6499999999999999	1.0	0.0	0.85	0.6630367135416666
MR1	202608	conserved hypothetical protein (NCBI ptt file)	hypothetical	7.3104925	carbon source	7.3104925	3	2.0	NC_004347.2_3284	True	False	M028	PF01380	OG01399	12.0	never_essential	False		1.0	BcrAD_BadFG			0.75	0.55	0.6499999999999999	1.0	0.0	0.85	0.6625
MR1	199636	hypothetical protein (NCBI ptt file)	hypothetical	6.0619483	stress	6.0619483	6	2.0	NZ_CP053946.1_934	True	False			OG05608	7.0	never_essential	False		1.0	ArsP_1	transcriptional regulator, MerR family (NCBI ptt file) | heavy metal efflux pump, CzcA family (NCBI ptt file) | outer membrane efflux family protein, putative (NCBI ptt file)	0.812429088205936	0.85	0.4458333333333333	0.55	1.0	0.0	1.0	0.6616666666666666
pseudo5_N2C3_1	AO356_01105	hypothetical protein	hypothetical	3.704994	carbon source	3.704994	4	1.0	NZ_PPRZ01000096.1_22	True	False	M012	TIGR01726	OG03063	11.0	never_essential	False		2.0	DUF1338 | DUF1338_N			0.7631242500000001	0.5291666666666667	0.6499999999999999	1.0	0.0	0.85	0.6616143958333334
MR1	202208	conserved hypothetical protein (NCBI ptt file)	hypothetical	2.8130062	carbon source	2.8130062	7	3.0	NC_004347.2_2886	True	False	M007	K07114	OG02587	28.0	variably_essential	False		1.0	DUF58			0.701625775	0.6	0.6499999999999999	1.0	0.0	0.85	0.66040644375
MR1	200452	conserved hypothetical protein (NCBI ptt file)	hypothetical	6.8583145	nitrogen source	6.8583145	2	2.0	NC_004347.2_1197	True	False	M002	PF00528	OG00189	44.0	variably_essential	False		2.0	DAO | NAD_binding_8			0.7	0.6	0.6499999999999999	1.0	0.0	0.85	0.6599999999999999
Keio	17261	orf, hypothetical protein (VIMSS)	hypothetical	9.72719	stress	9.72719	2	1.0	NZ_JALMSS010000008.1_77	True	False	M004	PF00005	OG01029	40.0	variably_essential	False		1.0	BolA			0.7	0.6	0.6499999999999999	1.0	0.0	0.85	0.6599999999999999
pseudo5_N2C3_1	AO356_09635	hypothetical protein	hypothetical	4.6973	carbon source	4.6973	2	1.0	NZ_JACNDT010000003.1_241	True	False	M003	PF01979	OG02227	27.0	variably_essential	False		1.0	HutD			0.7	0.6	0.6499999999999999	1.0	0.0	0.85	0.6599999999999999
Marino	GFF287	protein of unknown function YGGT	uncharacterized	2.7851112	stress	2.7851112	7	1.0	JANSXQ010000012.1_12	True	False	M017	PF01145	OG01937	32.0	variably_essential	False		1.0	YGGT			0.6981388999999999	0.6	0.6499999999999999	1.0	0.0	0.85	0.659534725
Marino	GFF3678	conserved hypothetical protein	hypothetical	4.020039	stress	4.020039	5	1.0	NC_017506.1_3600	True	False	M036	K00655	OG05846	5.0	never_essential	False		1.0	DUF3581			0.85	0.4041666666666667	0.6499999999999999	1.0	0.0	0.85	0.6583333333333333
Btheta	353429	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.007792	stress	4.007792	11	3.0	GG774704.1_70	True	False	M027	K01847	OG00519	35.0	never_essential	False		2.0	ABC2_membrane_3 | ABC2_membrane			0.85	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6575000000000001
WCS417	GFF1426	hypothetical protein	hypothetical	6.8617253	carbon source	6.8617253	7	1.0	NZ_CP010896.1_1475	True	False	M021	PF00994	OG00569	22.0	variably_essential	False		1.0	BKACE			0.85	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6575000000000001
Putida	PP_4628	conserved protein of unknown function	uncharacterized	4.668051	carbon source	4.668051	5	1.0	NZ_NNBI01000002.1_787	True	False	M013	PF01144	OG03099	22.0	variably_essential	False		1.0	Flavodoxin_1			0.85	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6575000000000001
DvH	209482	conserved hypothetical protein (TIGR)	hypothetical	6.884857	stress	6.884857	12	1.0	NC_008751.1_2439	True	False	M041	PF13533	OG02527	32.0	variably_essential	False		1.0	Cons_hypoth698			0.85	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6575000000000001
pseudo3_N2E3	AO353_06515	hypothetical protein	hypothetical	4.2140822	carbon source	4.2140822	9	1.0	NZ_PPSH01000006.1_82	True	False	M015	PF13098	OG00336	33.0	variably_essential	False		1.0	LrgB			0.85	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6575000000000001
DvH	209182	conserved hypothetical protein (TIGR)	hypothetical	7.8834624	stress	7.8834624	26	2.0	NC_008751.1_2759	True	False	M023	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)	OG01464	30.0	never_essential	False		1.0	Phosphonate-bd			0.85	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6575000000000001
pseudo5_N2C3_1	AO356_10905	hypothetical protein	hypothetical	5.1875434	stress	5.1875434	3	1.0	NZ_FPJC01000024.1_82	True	False	M014	K03808	OG11678	10.0	never_essential	False		1.0	DUF4105			0.75	0.5083333333333333	0.6499999999999999	1.0	0.0	0.85	0.6541666666666667
pseudo5_N2C3_1	AO356_12710	hypothetical protein	hypothetical	2.5546892	stress	2.5546892	5	3.0	NZ_FMXV01000009.1_124	True	False	M001	TIGR01720	OG02140	32.0	never_essential	False		2.0	UPF0047 | TIGR00149			0.66933615	0.6	0.6499999999999999	1.0	0.0	0.85	0.6523340375
Smeli	SMc01001	hypothetical protein	hypothetical	3.893789	stress	3.893789	2	2.0	NZ_JZXD01000039.1_28	True	False			OG08807	18.0	variably_essential	False		1.0	Rhomboid	hypothetical protein | cardiolipin synthetase transmembrane protein | preprotein translocase subunit SecG	0.730942604049798	0.686723625	0.6	0.55	1.0	0.0	1.0	0.65168090625
MR1	203454	hypothetical protein (NCBI ptt file)	hypothetical	2.4920802	stress	2.4920802	5	2.0	NZ_CP053946.1_166	True	False	M010	PF00550	OG01607	26.0	variably_essential	False		1.0	LolA_3			0.661510025	0.6	0.6499999999999999	1.0	0.0	0.85	0.65037750625
DvH	206682	conserved hypothetical protein (TIGR)	hypothetical	3.712728	stress	3.712728	5	4.0	JAEWXM010000065.1_15	True	False	M016	PF14532	OG02233	39.0	variably_essential	False		1.0	MlaC			0.814091	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.64852275
Phaeo	GFF1616	Uncharacterized protein conserved in bacteria containing a pentein-type domain	uncharacterized	4.8008823	carbon source	4.8008823	10	2.0	CP081221.1_2908	True	False	M026	PF13412	OG02638	12.0	variably_essential	False		1.0	DDAH_eukar			0.85	0.55	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6475000000000001
MR1	202985	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.0395346	stress	4.0395346	1	2.0	NC_004347.2_3638	True	False	M014	PF00873	OG01841	30.0	never_essential	False		1.0	UPF0227			0.65	0.6	0.6499999999999999	1.0	0.0	0.85	0.6475
pseudo1_N1B4	Pf1N1B4_2130	FIG00953403: hypothetical protein	hypothetical	5.275516	stress	5.275516	1	1.0	NZ_LUKJ01000003.1_2153	True	False	M007	High-affinity choline uptake protein BetT	OG01160	24.0	variably_essential	False		1.0	Cupin_3			0.65	0.6	0.6499999999999999	1.0	0.0	0.85	0.6475
pseudo5_N2C3_1	AO356_04430	hypothetical protein	hypothetical	5.9547877	stress	5.9547877	1	1.0	NZ_FOVS01000024.1_42	True	False	M036	PF00884	OG00660	26.0	never_essential	False		2.0	Sulfatase | EptA_B_N			0.65	0.6	0.6499999999999999	1.0	0.0	0.85	0.6475
Putida	PP_0766	conserved exported protein of unknown function	uncharacterized	3.6488452	carbon source	3.6488452	5	1.0	NZ_KZ987399.1_4512	True	False	M034	PF00196	OG00459	20.0	never_essential	False		1.0	DUF1329			0.80610565	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6465264125000001
Keio	14528	hypothetical protein (NCBI)	hypothetical	4.3731146	carbon source	4.3731146	14	2.0	NZ_JAATUR010000034.1_28	True	False	M020	PF00361	OG03016	2.0	never_essential	False		1.0	AroM			0.85	0.3416666666666667	0.6499999999999999	1.0	0.0	0.85	0.6458333333333333
MR1	199597	hypothetical protein (NCBI ptt file)	hypothetical	4.570114	stress	4.570114	5	2.0	NC_004347.2_382	True	False	M010	PF00550	OG05537	2.0	never_essential	False		1.0	DUF4953			0.85	0.3416666666666667	0.6499999999999999	1.0	0.0	0.85	0.6458333333333333
Keio	14308	orf, hypothetical protein (VIMSS)	hypothetical	3.5270445	carbon source	3.5270445	2	1.0	NZ_JAATUR010000035.1_17	True	False	M009	PF01565	OG03473	16.0	never_essential	False		3.0	Diacid_rec | HTH_30 | GGDEF_2			0.6408805625	0.6	0.6499999999999999	1.0	0.0	0.85	0.645220140625
acidovorax_3H11	Ac3H11_3276	hypothetical protein	hypothetical	4.55651	stress	4.55651	4	2.0	NZ_LUKZ01000037.1_9	True	False	M019	PF00903	OG04882	26.0	never_essential	False		1.0	BTP			0.7999999999999999	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.645
Smeli	SMc04209	hypothetical protein	hypothetical	5.1395965	stress	5.1395965	5	2.0	AKZY01000048.1_4	True	False			OG10533	3.0	never_essential	False		1.0	Glyco_tranf_2_4	lipopolysaccharide core biosynthesis glycosyl transferase | NDP-hexose 3-C-methyltransferase | CDP-glucose 4,6-dehydratase	0.898384622272993	0.85	0.3625	0.55	1.0	0.0	1.0	0.645
pseudo3_N2E3	AO353_04865	hypothetical protein	hypothetical	7.846789	carbon source	7.846789	4	1.0	NZ_POHG01000045.1_18	True	False	M015	PF13098	OG00711	48.0	variably_essential	False		1.0	EamA			0.7999999999999999	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.645
Smeli	SMc02875	hypothetical protein	hypothetical	5.2234273	carbon source	5.2234273	2	2.0	NZ_RPKD01000015.1_50	True	False			OG01399	12.0	never_essential	False		1.0	BcrAD_BadFG	periplasmic binding (signal peptide) ABC transporter protein | ABC transporter permease | ABC transporter ATP-binding protein	0.906146611351742	0.7	0.55	0.55	1.0	0.0	1.0	0.645
PV4	5210578	hypothetical protein (RefSeq)	hypothetical	7.1671185	carbon source	7.1671185	4	2.0	NZ_CP080418.1_3033	True	False	M023	PF00171	OG03827	31.0	variably_essential	False		1.0	LUD_dom			0.7999999999999999	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.645
Ponti	CA264_06090	hypothetical protein	hypothetical	4.524848	stress	4.524848	4	1.0	NZ_CP021235.1_1214	True	False	M032	PF13439	OG00380	38.0	variably_essential	False		2.0	DoxX | MauE			0.7999999999999999	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.645
MR1	202849	conserved hypothetical protein (NCBI ptt file)	hypothetical	2.8927195	pH	2.8927195	7	3.0	NC_004347.2_3504	True	False	M003	PF00361	OG05875	10.0	never_essential	False		1.0	Sbt_1			0.7115899375	0.5083333333333333	0.6499999999999999	1.0	0.0	0.85	0.6445641510416666
Marino	GFF338	conserved hypothetical protein	hypothetical	2.6803613	stress	2.6803613	4	4.0	NZ_JAHWRS010000006.1_22	True	False	M034	PF00072	OG06266	15.0	never_essential	False		4.0	AAA_33 | APH | KTI12			0.6350451625	0.6	0.6499999999999999	1.0	0.0	0.85	0.643761290625
BFirm	BPHYT_RS19100	hypothetical protein	hypothetical	3.850569	motility	3.850569	6	1.0	NZ_SNVI01000001.1_2675	True	False	M007	PF00460	OG06296	12.0	never_essential	False		6.0	Glyco_transf_41 | TPR_19 | TPR_16			0.831321125	0.55	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6428302812500001
psRCH2	GFF1886	Uncharacterized anaerobic dehydrogenase	uncharacterized	4.1885376	nitrogen source	4.1885376	7	1.0	NC_019936.1_1878	False	True	M008	PF04324	OG00691	26.0	variably_essential	False		4.0	Molybdopterin | Molydop_binding | Molybdop_Fe4S4			0.85	0.6	0.6499999999999999	0.9	0.0	0.44999999999999996	0.6425000000000001
Smeli	SMc03109	hypothetical protein	hypothetical	5.391876	carbon source	5.391876	1	1.0	NZ_KI421524.1_426	True	False			OG03127	20.0	variably_essential	False		1.0	ROK	mannose-6-phosphate isomerase | hypothetical protein | high-affinity zinc uptake system ABC transporter protein	0.670286826925347	0.65	0.6	0.55	1.0	0.0	1.0	0.6425
MR1	201972	conserved hypothetical protein (NCBI ptt file)	hypothetical	5.0703683	nitrogen source	5.0703683	3	1.0	NC_004347.2_2648	True	False	M024		OG01080	35.0	variably_essential	False		1.0	TauE			0.75	0.6	0.5	1.0	0.0	0.85	0.6425
Marino	GFF1368	uncharacterized conserved protein UCP037290	uncharacterized	6.6694455	stress	6.6694455	3	1.0	NZ_CP076686.1_2144	True	False	M013	PF00270	OG00333	25.0	variably_essential	False						0.75	0.6	0.5	1.0	0.0	0.85	0.6425
Marino	GFF4032	conserved hypothetical protein	hypothetical	4.3782525	stress	4.3782525	2	1.0	NZ_RJUQ01000013.1_215	True	False	M023	Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase; Melittin resistance protein PqaB	OG06944	10.0	never_essential	False		1.0	T_hemolysin			0.7	0.5083333333333333	0.6499999999999999	1.0	0.0	0.85	0.6416666666666666
MR1	203092	hypothetical protein (NCBI ptt file)	hypothetical	5.0046964	motility	5.0046964	4	2.0	NC_004347.2_3735	True	False	M033	TIGR00254	OG05510	4.0	never_essential	False		1.0	DUF3584			0.7999999999999999	0.3833333333333333	0.6499999999999999	1.0	0.0	0.85	0.6416666666666666
psRCH2	GFF3859	hypothetical protein	hypothetical	5.9746532	stress	5.9746532	6	1.0	NZ_BDJA01000004.1_290	False	True	M038	TIGR01730	OG02495	14.0	never_essential	False		1.0	DUF4124			0.85	0.5916666666666667	0.6499999999999999	0.9	0.0	0.44999999999999996	0.6408333333333334
pseudo5_N2C3_1	AO356_23240	hypothetical protein	hypothetical	4.0732017	carbon source	4.0732017	6	4.0	NZ_JACVAH010000014.1_11	True	False	M003	PF01979	OG14586	8.0	variably_essential	False						0.85	0.4666666666666667	0.5	1.0	0.0	0.85	0.6408333333333334
Putida	PP_0909	conserved exported protein of unknown function	uncharacterized	3.454774	stress	3.454774	6	4.0	NZ_AOUR02000011.1_128	True	False	M011	Nucleoside ABC transporter, periplasmic nucleoside-binding protein	OG06767	18.0	variably_essential	False		1.0	Peptidase_M75			0.78184675	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6404616875000001
pseudo6_N2E2	Pf6N2E2_2710	FIG00953701: hypothetical protein	hypothetical	5.08892	motility	5.08892	4	1.0	NZ_FMYA01000022.1_45	True	False	M012	PF00460	OG05354	13.0	variably_essential	False		1.0	DUF2937			0.7999999999999999	0.5708333333333333	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6391666666666667
psRCH2	GFF207	Uncharacterized protein conserved in bacteria	uncharacterized	5.1782384	carbon source	5.1782384	7	4.0	NZ_BDJA01000001.1_275	False	True			OG04912	27.0	never_essential	False		1.0	TctA	Uncharacterized protein conserved in bacteria | Signal transduction histidine kinase | outer membrane porin, OprD family.	0.61081293748038	0.85	0.6	0.55	0.9	0.0	0.6	0.6375
Putida	PP_0177	conserved protein of unknown function	uncharacterized	3.7698812	carbon source	3.7698812	5	1.0	NZ_CP011525.1_5324	True	False	M024	PF00440	OG11473	11.0	never_essential	False		1.0	DUF1656			0.82123515	0.5291666666666667	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6361421208333334
Koxy	BWI76_RS11480	hypothetical protein	hypothetical	2.4174998	nitrogen source	2.4174998	4	1.0	NZ_CP026269.1_3452	True	False	M004	PF00005	OG02907	30.0	never_essential	False		1.0	DUF444			0.6021874749999999	0.6	0.6499999999999999	1.0	0.0	0.85	0.63554686875
pseudo13_GW456_L13	PfGW456L13_803	FIG00953403: hypothetical protein	hypothetical	3.7290452	stress	3.7290452	1	1.0	NZ_CABVHL010000076.1_1	True	False			OG01160	24.0	variably_essential	False		1.0	Cupin_3	High-affinity choline uptake protein BetT | Aldehyde dehydrogenase (EC 1.2.1.3) | hypothetical protein	0.839139265287258	0.61613065	0.6	0.55	1.0	0.0	1.0	0.6340326625
pseudo5_N2C3_1	AO356_13585	hypothetical protein	hypothetical	3.1589017	stress	3.1589017	2	2.0	NZ_PPRZ01000045.1_1	True	False	M007	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)	OG01057	40.0	variably_essential	False		1.0	YceI			0.5948627125	0.6	0.6499999999999999	1.0	0.0	0.85	0.633715678125
Pedo557	CA265_RS23005	hypothetical protein	hypothetical	3.6313376	stress	3.6313376	4	1.0	NZ_JAGGPV010000016.1_149	True	False	M023	PF16576	OG00128	45.0	variably_essential	False		2.0	OEP | TIGR01845			0.7539172	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6334793000000001
Koxy	BWI76_RS22685	hypothetical protein	hypothetical	4.303679	carbon source	4.303679	3	2.0	DLPG01000018.1_167	True	False	M029	PF01627	OG03768	5.0	never_essential	False		1.0	DUF3561			0.75	0.4041666666666667	0.6499999999999999	1.0	0.0	0.85	0.6333333333333333
acidovorax_3H11	Ac3H11_4707	FIG00537720: hypothetical protein	hypothetical	7.3033276	stress	7.3033276	3	1.0	NZ_LUKZ01000008.1_13	True	False	M003	transcriptional regulator, TetR family	OG05284	15.0	never_essential	False		1.0	DUF1415			0.75	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6325000000000001
Dino	3607392	hypothetical protein (RefSeq)	hypothetical	7.0257235	stress	7.0257235	3	1.0	NZ_CP097547.1_818	True	False	M004	PF05175	OG02527	32.0	variably_essential	False		1.0	Cons_hypoth698			0.75	0.6	0.6499999999999999	1.0	0.0	0.44999999999999996	0.6325000000000001
pseudo5_N2C3_1	AO356_04525	hypothetical protein	hypothetical	3.0644302	pH	3.0644302	2	4.0	NZ_FNOA01000023.1_20	True	False	M019	Acriflavin resistance plasma membrane protein	OG02440	31.0	variably_essential	False		1.0	Lipoprotein_18			0.583053775	0.6	0.6499999999999999	1.0	0.0	0.85	0.6307634437499999
pseudo5_N2C3_1	AO356_03360	hypothetical protein	hypothetical	5.3740406	nitrogen source	5.3740406	0	6.0	NZ_PPRZ01000043.1_23	False	True	M033	PF00391	OG00102	46.0	variably_essential	False		4.0	Glyco_trans_4_4 | Glyco_transf_4 | Glyco_trans_1_4			0.6	0.6	0.6499999999999999	0.9	0.25	0.7	0.63
pseudo5_N2C3_1	AO356_27215	hypothetical protein	hypothetical	6.317903	pH	6.317903	0	4.0	NZ_CP012831.1_5414	False	True	M029	PF00977	OG00151	48.0	variably_essential	False		1.0	ABC_tran			0.6	0.6	0.6499999999999999	0.9	0.25	0.7	0.63
pseudo5_N2C3_1	AO356_03355	hypothetical protein	hypothetical	5.2406926	carbon source	5.2406926	0	6.0	NZ_CP012831.1_676	False	True	M033	PF00391	OG00402	43.0	variably_essential	False		7.0	Epimerase | 3Beta_HSD | GDP_Man_Dehyd			0.6	0.6	0.6499999999999999	0.9	0.25	0.7	0.63
