gene_cluster_id	root_og	narrowest_og	n_tax_levels	breadth_class	COG_category	EC	KEGG_ko	PFAMs	Description	n_species	n_clusters
NZ_JAGEUG010000007.1_70	32Z7V	34FY0	5	universal	-	-	-	-	-	1	1
NZ_CP010745.1_2359	32QZ8	34FXG	5	universal	-	-	ko:K09893	RraB	-	1	1
NC_018290.1_2211	3131G	34GKU	5	universal	-	-	-	-	-	1	1
CP081230.1_1685	3131H	34GKY	5	universal	-	-	-	-	-	1	1
CP081225.1_1289	32TVK	34FZ2	5	universal	-	-	-	-	-	1	1
NZ_JACHED010000006.1_23	COG1430	23R5G	4	universal	S	-	ko:K09005	DUF192	Uncharacterized ACR, COG1430	17	18
NZ_CP031948.1_835	300V6	34GI3	5	universal	-	-	-	-	-	1	1
NZ_JACDUI010000001.1_91	arCOG04884	23R0Q	4	universal	S	-	-	DUF5400	Family of unknown function (DUF5400)	1	1
CP081262.1_872	32YDV	34FUQ	5	universal	-	-	-	-	-	2	2
CP081262.1_842	32SYA	34G05	5	universal	-	-	-	-	-	1	1
CP081235.1_3121	COG5447	34FN1	5	universal	S	-	-	DUF1491	Protein of unknown function (DUF1491)	6	6
CP081166.1_2593	3339E	34FUW	5	universal	-	-	-	-	-	2	2
NZ_JACDUJ010000001.1_108	COG1645	23R8R	4	universal	S	-	ko:K07143	Auto_anti-p27	PFAM Sjogrens syndrome scleroderma autoantigen 1	3	3
NZ_JACDUH010000001.1_1302	arCOG06595	23R7N	4	universal	-	-	-	-	-	1	3
NZ_AP011526.1_196	arCOG06595	23R7N	4	universal	-	-	-	-	-	1	3
NZ_CP010725.1_2985	COG3232	34FVY	5	universal	E	-	-	-	5-carboxymethyl-2-hydroxymuconate isomerase	1	1
CP081240.1_2862	337X6	34FVK	5	universal	-	-	-	-	-	1	1
CP081216.1_1471	32RD0	34FWZ	5	universal	-	-	-	-	-	1	1
CP081212.1_2160	30856	2U7WA	4	universal	S	-	-	-	COG1902 NADH flavin oxidoreductases, Old Yellow Enzyme family	2	2
NZ_JACDUI010000002.1_474	arCOG06595	23R7N	4	universal	-	-	-	-	-	1	3
NZ_CP010745.1_2870	3130S	34GJM	5	universal	-	-	-	-	-	1	1
NC_018286.1_3176	32ZE4	34FQ2	5	universal	S	-	-	DUF3775	Protein of unknown function (DUF3775)	2	2
NZ_CP010595.1_2392	2ZQWX	2P33D	5	universal	S	-	-	-	Elongation factor P	2	2
NZ_CP010595.1_1336	COG5467	34FWA	5	universal	S	-	-	DUF1476	Domain of unknown function (DUF1476)	5	5
NZ_CP010595.1_696	COG3492	34FNU	5	universal	S	-	ko:K09948	DUF1244	Protein of unknown function (DUF1244)	10	10
NZ_LOHU01000038.1_15	33KBU	34GHQ	5	universal	-	-	-	-	-	1	1
CP081257.1_1891	331PS	34GI2	5	universal	-	-	-	-	-	1	1
NZ_JAFBBC010000001.1_350	COG4033	23R60	4	universal	S	-	-	DUF1894	PFAM Uncharacterised conserved protein UCP006577	1	1
NZ_JACHED010000009.1_6	arCOG07167	23R77	4	universal	-	-	-	-	-	1	1
NZ_JACHIQ010000001.1_355	arCOG05031	23R4E	4	universal	-	-	-	-	-	1	1
NZ_JACDUP010000003.1_55	arCOG06633	23RQJ	4	universal	-	-	-	-	-	1	1
NZ_JACDUI010000001.1_184	COG4818	23R98	4	universal	S	-	-	DUF4870	Domain of unknown function (DUF4870)	2	2
NZ_AP011528.1_157	arCOG05741	23RCG	4	universal	S	-	-	-	PFAM nucleic acid binding, OB-fold, tRNA helicase-type	1	1
NZ_JAGEUF010000004.1_67	COG3795	34FPP	5	universal	S	-	-	YCII	YCII-related domain	9	12
NZ_JAGEUG010000009.1_6	312ZX	34GHA	5	universal	-	-	-	-	-	2	2
NZ_CP010623.1_1542	COG0393	34FIQ	5	universal	S	-	-	YbjQ_1	Putative heavy-metal-binding	12	14
CP081280.1_330	32S97	4NCR4	5	universal	S	-	-	EthD	EthD domain	2	2
CP081280.1_266	318GY	34FMY	5	universal	-	-	-	-	-	2	2
CP081221.1_1884	319R0	440HI	5	universal	S	-	-	DUF2834	Protein of unknown function (DUF2834)	1	1
CP081212.1_3501	32UU2	34FWH	5	universal	S	-	-	-	K COG5665 CCR4-NOT transcriptional regulation complex, NOT5 subunit	1	1
NZ_CP026606.1_860	arCOG06597	arCOG06597	2	universal	-	-	-	-	-	1	3
NZ_CP026606.1_539	arCOG06597	arCOG06597	2	universal	-	-	-	-	-	1	3
NC_005791.1_197	arCOG06597	arCOG06597	2	universal	-	-	-	-	-	1	3
JACCQJ010000002.1_254	arCOG06571	arCOG06571	2	universal	-	-	-	-	-	1	1
NZ_CP010705.1_922	32Y82	34FU1	5	universal	-	-	-	-	-	2	2
NC_018291.1_187	COG2329	2UG48	4	universal	S	-	-	ydhR	Antibiotic biosynthesis monooxygenase	17	24
NC_018290.1_3069	COG1396	2UGUT	4	universal	K	-	-	HTH_3	sequence-specific DNA binding	15	37
NC_018290.1_2361	32Z8H	34GHT	5	universal	S	-	-	Dabb	Stress responsive A/B Barrel Domain	1	1
JACCQJ010000001.1_449	arCOG06664	23RQ4	4	universal	-	-	-	-	-	1	1
NZ_CP031948.1_2338	COG1734	34FZJ	5	universal	T	-	ko:K06204	zf-dskA_traR	Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters	6	6
NZ_CP010610.1_1038	32R72	34FUV	5	universal	-	-	-	-	-	1	1
CP081240.1_2063	32RRF	34FNP	5	universal	S	-	-	DUF2849	Protein of unknown function (DUF2849)	2	2
CP081221.1_3324	32TKJ	34FSQ	5	universal	S	-	-	DUF1992	Domain of unknown function (DUF1992)	1	1
NZ_CP020120.1_1152	COG2811	23RAC	4	universal	C	-	ko:K02107	-	TIGRFAM ATP synthase H subunit	1	1
NC_015847.1_1773	arCOG05076	23R4W	4	universal	-	-	ko:K14116	-	-	1	1
NZ_CP010668.1_2392	32YYV	34FUI	5	universal	-	-	-	-	-	2	2
CP081221.1_1309	33003	34FU4	5	universal	-	-	-	-	-	2	2
CP081166.1_673	COG5572	34FQ5	5	universal	S	-	-	DUF2282	Predicted integral membrane protein (DUF2282)	10	10
NZ_JACHIQ010000001.1_742	COG1849	23R2G	4	universal	S	-	ko:K09728	DUF357	Protein of unknown function (DUF357)	1	1
NZ_JACDUN010000001.1_1286	arCOG06615	arCOG06615	2	universal	-	-	-	-	-	1	2
JACCQJ010000001.1_385	COG1872	23RA3	4	universal	S	-	ko:K09131	DUF167	Belongs to the UPF0235 family	10	10
NZ_CP031948.1_2144	346AP	34GIM	5	universal	-	-	-	-	-	1	1
NZ_CP031948.1_464	COG2885	34FY4	5	universal	M	-	-	-	chlorophyll binding	15	52
NC_018290.1_2208	342CJ	34GJ8	5	universal	-	-	-	-	-	1	1
CP081166.1_34	31CDG	34FNC	5	universal	S	-	-	DUF1153	Protein of unknown function (DUF1153)	4	4
NZ_AP011526.1_1473	COG2383	23R6P	4	universal	S	-	-	FUN14	PFAM FUN14 family protein	1	1
NZ_KI421498.1_95	333IV	34FVT	5	universal	-	-	-	-	-	2	2
CP081271.1_878	32XN4	34FZI	5	universal	-	-	-	-	-	1	1
CP081174.1_45	COG3553	2UFEV	4	universal	K	-	ko:K09956	DUF2218	Protein conserved in bacteria	5	5
NZ_JACDUH010000001.1_265	COG4035	23R4P	4	universal	S	-	ko:K14103	DUF2104	Predicted membrane protein (DUF2104)	1	1
NZ_CP010617.1_146	2ZU2W	2UYMG	4	universal	-	-	-	-	-	1	1
NZ_CP010610.1_1742	33N0H	34FYM	5	universal	-	-	-	-	-	1	1
NC_018286.1_1640	32RYT	34FNY	5	universal	S	-	-	Virulence_fact	Virulence factor	3	3
CP081230.1_2419	COG1872	34FX8	5	universal	S	-	ko:K09131	DUF167	DUF167	10	10
CP081166.1_70	32YYG	34FV7	5	universal	-	-	-	-	-	2	2
NZ_JACDUK010000003.1_170	arCOG06622	arCOG06622	2	universal	-	-	-	-	-	1	1
NZ_JACDUM010000002.1_221	COG1433	23RBD	4	universal	S	-	-	Nitro_FeMo-Co	PFAM Dinitrogenase iron-molybdenum cofactor	6	8
NZ_JACDUI010000001.1_151	arCOG06679	arCOG06679	2	universal	-	-	-	-	-	1	1
NZ_CP031948.1_1154	COG5470	34FSY	5	universal	S	-	-	DUF1330	Domain of unknown function (DUF1330)	19	33
CP081235.1_2099	COG5470	34FZ6	5	universal	S	-	-	DUF1330	Domain of unknown function (DUF1330)	19	33
CP081235.1_1779	3011V	2UJIK	4	universal	S	-	-	Phage_TAC_7	Phage tail assembly chaperone proteins, E, or 41 or 14	1	1
NZ_JACDUP010000001.1_903	arCOG03453	23RRD	4	universal	-	-	-	-	-	1	1
NZ_JACDUP010000001.1_104	arCOG06682	23RQH	4	universal	-	-	-	-	-	1	1
NZ_JACDUN010000001.1_1448	COG1888	23R3F	4	universal	S	-	ko:K09732	DUF211	Uncharacterized ArCR, COG1888	1	1
NC_005791.1_490	arCOG06614	arCOG06614	2	universal	-	-	-	-	-	1	1
NZ_JAGEUG010000002.1_250	332Z2	34FXT	5	universal	-	-	-	-	-	2	2
NC_018290.1_3072	32ZQK	1N4A6	3	universal	-	-	-	-	-	1	1
CP081275.1_1478	COG5470	4NCCM	5	universal	S	-	-	DUF1330	Domain of unknown function (DUF1330)	19	33
NC_004347.2_2640	COG1752	2Q9II	5	universal	S	-	ko:K07001	Patatin	PFAM Patatin	16	24
NZ_JACNDV010000001.1_2297	COG1721	1YPGK	5	universal	S	-	-	DUF58	Protein of unknown function DUF58	29	50
NZ_JACNDV010000001.1_1674	COG0667	COG0667	2	universal	C	-	-	Aldo_ket_red	Aldo Keto reductase	3	3
NZ_LUKJ01000003.1_1774	COG1917	1YM78	5	universal	S	-	-	-	Cupin 2, conserved barrel domain protein	29	63
NZ_LUKJ01000003.1_81	COG3547	COG3547	2	universal	L	-	-	DEDD_Tnp_IS110,Transposase_20	Transposase (IS116 IS110 IS902 family)	6	7
NZ_CP053946.1_293	COG3693	2QBI0	5	universal	G	-	-	DUF4424	Domain of unknown function (DUF4424)	2	2
NC_004347.2_3924	COG0275	2QA83	5	universal	J	2.1.1.199	ko:K03438	Methyltransf_5	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA	1	1
NC_004347.2_3072	2ZT65	2QA36	5	universal	-	-	-	-	-	3	3
NC_004347.2_2069	COG2866	2QA18	5	universal	E	-	-	AstE_AspA,DUF2817,Peptidase_M14	Protein of unknown function (DUF2817)	14	22
NZ_JACVBI010000013.1_8	2Z9VP	1YMCZ	5	universal	S	-	-	AurF	P-aminobenzoate N-oxygenase AurF	4	4
NZ_MOBL01000007.1_130	COG2984	1YN9Q	5	universal	S	-	-	ABC_sub_bind	ABC transporter substrate binding protein	12	13
NC_004347.2_2633	336W4	2QEWQ	5	universal	-	-	-	-	-	2	2
NC_004347.2_300	2ZUIX	2QAEJ	5	universal	-	-	-	-	-	3	3
NC_004347.2_1431	COG0061	2Q8SE	5	universal	F	2.7.1.23	ko:K00858	NAD_kinase	Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP	1	1
NC_004347.2_1246	COG1242	2Q9QN	5	universal	S	-	ko:K07139	Radical_SAM,Radical_SAM_C	SMART Elongator protein 3 MiaB NifB	2	2
NC_004347.2_540	32ZR3	2QARJ	5	universal	S	-	-	DUF3530	Protein of unknown function (DUF3530)	6	6
NZ_JACVBI010000008.1_65	COG1801	1YNSW	5	universal	S	-	-	DUF72	Protein of unknown function DUF72	26	39
NC_004347.2_4218	COG2819	1T1D3	4	universal	S	-	-	Esterase	hydrolase of the alpha beta superfamily	5	6
NC_004347.2_2335	2ZGX9	2QBW2	5	universal	-	-	-	-	-	2	2
NC_004347.2_1301	2ZPFC	2Q9UG	5	universal	-	-	-	-	-	2	2
NC_004347.2_1085	COG2354	2Q8GF	5	universal	S	-	ko:K09781	DUF808	Protein of unknown function (DUF808)	11	11
NZ_CP079926.1_2309	COG2850	2KGCD	5	universal	S	-	-	-	peptidyl-arginine hydroxylation	11	11
NC_004347.2_466	COG0189	1SAUJ	4	universal	HJ	-	-	RimK	Ribosomal protein S6 modification	7	10
NC_004347.2_303	33NWC	2QB8J	5	universal	-	-	-	-	-	3	3
NZ_CP023313.2_2077	32WZ5	2KGZY	5	universal	-	-	-	-	-	1	1
NZ_JACNDV010000001.1_5518	2Z9V5	1YPYK	5	universal	-	-	-	-	-	2	2
NZ_CP053946.1_2699	COG0391	2Q9CW	5	universal	S	-	-	UPF0052	Required for morphogenesis under gluconeogenic growth conditions	6	6
NC_004347.2_4315	32RCX	2QC0X	5	universal	-	-	-	-	-	3	3
NZ_CP034122.1_2636	2ZCJE	2KGFF	5	universal	-	-	-	-	-	1	1
NZ_CP023314.2_873	2Z7R8	2KIEE	5	universal	-	-	-	-	-	1	1
NZ_CP053946.1_3884	COG3713	2Q9E9	5	universal	M	-	ko:K07274	MipA	PFAM MltA-interacting MipA family protein	2	2
NZ_CP053946.1_1835	COG2035	2Q917	5	universal	S	-	ko:K08974	DUF368	Domain of unknown function (DUF368)	5	5
NC_004347.2_1459	COG2974	2QAXW	5	universal	J	-	ko:K03554	RdgC	May be involved in recombination	2	3
NC_004347.2_1015	2Z8ZQ	1S1AE	4	universal	S	-	-	DUF4868	Domain of unknown function (DUF4868)	2	2
NC_004347.2_754	COG0657	2QATS	5	universal	I	-	ko:K01066	Abhydrolase_3	PFAM Alpha beta hydrolase fold-3 domain protein	3	3
NC_004347.2_2717	COG1092	2Q9VN	5	universal	H	2.1.1.191	ko:K06969	Methyltrans_SAM	Belongs to the methyltransferase superfamily	10	14
NZ_JACNDV010000001.1_493	31THK	1YNSJ	5	universal	-	-	-	-	-	1	1
NZ_CP053946.1_132	2ZCM4	1S3JH	4	universal	-	-	-	-	-	1	1
NZ_LUKJ01000003.1_4931	COG4185	1SNKG	4	universal	D	-	-	Zeta_toxin	zeta toxin	10	12
NC_004347.2_3284	COG2971	2Q9ZH	5	universal	G	2.7.1.8	ko:K18676	BcrAD_BadFG	PFAM ATPase, BadF BadG BcrA BcrD type	5	5
NC_002696.2_2533	COG3662	2KISR	5	universal	S	-	-	DUF2236	Uncharacterized protein conserved in bacteria (DUF2236)	12	12
NZ_JACNDV010000001.1_1306	30WXZ	1KE4V	5	universal	-	-	-	-	-	1	1
NC_004347.2_3508	COG3766	2Q94J	5	universal	S	-	-	DUF350	Domain of Unknown Function (DUF350)	11	11
NZ_CP023314.2_72	COG4223	2KH47	5	universal	DZ	-	-	Mitofilin	transferase activity, transferring acyl groups other than amino-acyl groups	8	8
NC_011916.1_2577	32X2M	2KH4X	5	universal	-	-	-	-	-	1	1
NZ_MOBL01000004.1_575	COG2017	1YQ45	5	universal	G	5.1.3.3	ko:K01785	Aldose_epim	Aldose 1-epimerase	11	13
NC_004347.2_1720	2Z91X	2Q977	5	universal	-	-	-	-	-	2	2
NC_004347.2_523	COG3735	2Q925	5	universal	S	-	ko:K09973	TraB	PFAM GumN family protein	8	10
NC_011916.1_3628	COG0697	COG0697	2	universal	EG	-	-	EamA	spore germination	24	134
NZ_JACVBI010000011.1_27	COG1718	1RND1	4	universal	DT	2.7.11.1	ko:K07178	RIO1	Serine threonine protein kinase involved in cell cycle control	8	8
NZ_AKJE01000026.1_31	329TX	1YP3Z	5	universal	S	-	-	-	Membrane	7	7
NC_004347.2_4062	COG1711	2QAJ5	5	universal	S	-	-	DUF3014	Protein of unknown function (DUF3014)	3	4
NC_004347.2_629	33BR5	1SH71	4	universal	-	-	-	-	-	3	3
NZ_CP023314.2_516	COG1714	2UKBC	4	universal	S	-	-	RDD	RDD family	10	14
NC_004347.2_2720	COG1090	2Q9CK	5	universal	S	-	ko:K07071	DUF1731,Epimerase	PFAM NAD-dependent epimerase dehydratase	6	6
NZ_PJRR01000016.1_3	COG3528	2KKAY	5	universal	S	-	-	DUF2219	Uncharacterized protein conserved in bacteria (DUF2219)	5	7
NC_004347.2_495	COG1032	2QA61	5	universal	C	-	-	Radical_SAM	SMART Elongator protein 3 MiaB NifB	10	11
NZ_PJRR01000014.1_260	COG3739	2KF0S	5	universal	S	-	-	DUF817	Protein of unknown function (DUF817)	3	3
NZ_CP034122.1_2229	2ZCCP	2KGKS	5	universal	-	-	-	-	-	2	3
NZ_LUKJ01000003.1_1781	2Z7Q6	1YSVU	5	universal	H	-	ko:K13472	Sulfotransfer_3	Sulfotransferase domain	3	3
NC_004347.2_3966	33DBI	2QD67	5	universal	-	-	-	-	-	1	1
NC_004347.2_338	COG1208	2QB0Q	5	universal	JM	-	-	NTP_transf_3,NTP_transferase	MobA-like NTP transferase domain	5	7
NC_004349.1_67	348AM	348AM	2	universal	-	-	-	-	-	1	1
NC_004347.2_2175	2Z7JD	2Q98X	5	universal	S	-	-	DUF2989	Protein of unknown function (DUF2989)	3	3
