#Annotated with Bakta (v1.12.0): https://github.com/oschwengers/bakta
#Database (v6.0): https://doi.org/10.5281/zenodo.4247252
ID	Length	Gene	Product	EC	GO	COG	RefSeq	UniParc	UniRef
NZ_CP009048.1_3402	63		DUF3077 domain-containing protein				WP_038612733.1	UPI0004F5ADC7	UniRef100_A0A077FB95,UniRef50_A0A4P6GJ05,UniRef90_A0A077FB95
VAUH01000092.1_3	722	cphA	cyanophycin synthetase	6.3.2.29,6.3.2.30	GO:0005524,GO:0009059,GO:0016874,GO:0051235	COG1181,MR			UniRef50_A0A6I3XX56,UniRef90_A0A5H2Y3F0
NZ_JACAOP010000011.1_228	127		DUF2946 domain-containing protein				WP_003207359.1	UPI000272C54C	UniRef100_UPI000272C54C,UniRef50_A0A9W6KAZ1,UniRef90_A0A246G5E9
NZ_JACOMR010000013.1_113	200	paaY	phenylacetic acid degradation protein PaaY	3.1.2.-	GO:0010124		WP_216312391.1	UPI001C0D1837	UniRef100_UPI001C0D1837,UniRef50_P39206,UniRef90_UPI00345D910C
NZ_JACART010000054.1_2	456		histidine kinase				WP_177077803.1	UPI0015A08B27	UniRef100_A0A7Y7Z5K9,UniRef50_A0AAE9VQS2,UniRef90_A0A5M9ISA3
JAJOOY010000295.1_1	154	otnK	3-oxo-tetronate kinase	2.7.1.217	GO:0005524,GO:0005975,GO:0016301	COG3395,G	WP_231719386.1	UPI001E647676	UniRef100_A0A2L1KUN6,UniRef50_Q8ZMG5,UniRef90_Q5K5X7
NZ_JFYX01000023.1_33	392		hypothetical protein					UPI0004473417	UniRef100_A0A031IW34,UniRef50_A0A031IW34,UniRef90_A0A031IW34
NZ_LJRD01000044.1_17	62		hypothetical protein						
NZ_JACAQP010000036.1_72	532		Resolvase/invertase-type recombinase catalytic domain-containing protein						UniRef50_A0AA35IAR9,UniRef90_A0A109LAE4
NZ_CVOZ01000086.1_3	34		hypothetical protein						
NZ_JACYWP010000003.1_324	487	selO	protein adenylyltransferase SelO	2.7.7.-,2.7.7.108	GO:0000287,GO:0070733		WP_191946952.1	UPI001780C6C4	UniRef100_UPI001780C6C4,UniRef50_Q87VB1,UniRef90_UPI001780C6C4
NZ_CP072517.1_97	273	marR	MarR family transcriptional regulator				WP_001178650.1	UPI00000D12E4	UniRef100_V9SIK8,UniRef50_A0A379Y3T1,UniRef90_V9SIK8
NZ_JABEXZ010000005.1_428	298		ABC transmembrane type-1 domain-containing protein				WP_222071225.1	UPI001C908102	UniRef100_UPI001C908102,UniRef50_A0A060DSU7,UniRef90_A0A060DSU7
NZ_SITE01000044.1_208	1736		hypothetical protein						UniRef50_A0AB37PE86
JAKWAF010000059.1_147	30		hypothetical protein						
NZ_FYDZ01000008.1_193	137		Cobalt-precorrin-5A hydrolase				WP_095120978.1	UPI000BA3D7C0	UniRef100_UPI000BA3D7C0,UniRef50_A0A5E7CQV9,UniRef90_A0A5E7TR84
NZ_CP014546.1_5986	117		DNA polymerase III subunit gamma/tau C-terminal domain-containing protein						UniRef50_A0A3M2Z1E5,UniRef90_UPI0017C4DCE9
NZ_JAENSS010000018.1_105	243		SDR family oxidoreductase				WP_057441470.1	UPI00070FE199	UniRef100_A0A7Y0VYA7,UniRef50_A0A6G0WI10,UniRef90_A0A7Y0VYA7
NZ_FPKB01000009.1_121	114		Pyocin R2, holin				WP_103894417.1	UPI00091B170F	UniRef100_UPI00091B170F,UniRef50_A0A024HBJ0,UniRef90_J3D4B3
NZ_KK736218.1_141	296		Putative permease						UniRef50_A0A377YVX8,UniRef90_A0A2X1NEN9
NZ_RBSC01000274.1_2	98		hypothetical protein						
NZ_ADFZ01000022.1_25	203		Phosphoadenosine phosphosulphate reductase domain-containing protein						UniRef50_A0A3M4MBZ7
NZ_RPLS01000025.1_72	81		hypothetical protein						
PNNT01000221.1_1	97		thiamine pyrophosphate-binding protein						UniRef50_A0A8S0GXL4,UniRef90_UPI000AC8EC73
NZ_CAKKLL010000001.1_819	377	susE	SusE domain-containing protein				WP_230141620.1	UPI001D9EE411	UniRef100_UPI001D9EE411,UniRef50_A0A4R0N6Y9,UniRef90_UPI001D9EE411
NZ_RPJV01000001.1_258	204		AAA domain-containing protein				WP_088197941.1	UPI000B4A1943	UniRef100_UPI000B4A1943,UniRef50_A0A1I4SA60,UniRef90_UPI000B4A1943
NZ_CP009274.2_4300	130	mutT	8-oxo-dGTP diphosphatase MutT	3.6.1.55	GO:0006281,GO:0008413	COG1051,F	WP_012968936.1	UPI0001BDCC33	UniRef100_A0A087FUW8,UniRef50_A0A3R8ZAY6,UniRef90_A0A087FUW8
NZ_VDAO01000001.1_4243	121		DUF3168 domain-containing protein				WP_220425915.1	UPI001C70743F	UniRef100_UPI001C70743F,UniRef50_Q9MCA6,UniRef90_A0A090VTE3
NZ_PVNC01000001.1_889	155		Excisionase family DNA binding protein				WP_106300970.1	UPI000D079700	UniRef100_A0A2T0L8V1,UniRef50_A0A0F5JU40,UniRef90_A0A329CL64
NZ_CP032322.1_1607	170		hypothetical protein				WP_137117085.1	UPI0010C0ACF3	UniRef100_A0A4D8PKU8,UniRef50_A0A2S1XQ57,UniRef90_A0A2S1XQ57
NZ_SUQM01000004.1_130	107		hypothetical protein				WP_174423188.1	UPI00157BA1B2	UniRef100_UPI00157BA1B2,UniRef50_A0A1D9GRZ5,UniRef90_UPI00157BA1B2
NZ_JAKMVW010000019.1_26	55		CTP synthase domain protein				WP_160328473.1	UPI000AC0BC73	UniRef100_UPI000AC0BC73,UniRef50_A0A3M2U4S7,UniRef90_UPI0013C36FB0
JAEYKL010000079.1_188	322	lysR	HTH-type transcriptional regulator gltC			COG0583,K	WP_003064272.1	UPI0001BB0D22	UniRef100_A0A1Y1J6Z0,UniRef50_A0A0K8P1T1,UniRef90_A0A8B4S0K1
NZ_JAKWGK010000020.1_49	314	dsbA	DsbA family protein				WP_017900919.1	UPI000370890D	UniRef100_A0A1B1LQV0,UniRef50_A0A7G3NPX1,UniRef90_A0A7H0EVI2
NZ_RBTF01000265.1_3	170		Transcriptional regulator				WP_057416890.1	UPI0006E728D4	UniRef100_A0A0Q0CQ45,UniRef50_A0A1V4LJS3,UniRef90_A0A0Q0CQ45
NZ_JACNDV010000001.1_4402	520	spoVR	SpoVR family protein			COG2719,D	WP_008067414.1	UPI00026F611E	UniRef100_J2XUD6,UniRef50_C5B2J0,UniRef90_C3K333
NZ_AVEF02000233.1_41	544		Benzaldehyde dehydrogenase						UniRef50_A0A193SRX6,UniRef90_A0A0Q0CIN3
NZ_JACART010000051.1_32	34		hypothetical protein						
NZ_FOPO01000015.1_83	218	dedA	DedA family protein				WP_092459465.1	UPI0008F452B5	UniRef100_UPI0008F452B5,UniRef50_B7LLF3,UniRef90_A0A1H2P3N8
NZ_SEUB01000006.1_340	107		Sel1 repeat family protein				WP_024012181.1	UPI0003D3EAF6	UniRef100_V8RAI0,UniRef50_F2KKI1,UniRef90_V8RAI0
NZ_JAHSTT010000002.1_456	456	ftsY	signal recognition particle-docking protein FtsY		GO:0003924,GO:0005047,GO:0006614,GO:0009306		WP_217880851.1	UPI001C3E4175	UniRef100_UPI001C3E4175,UniRef50_C3K3M4,UniRef90_A0A031J7J1
DBUN01000206.1_4	93		2-oxoglutarate dehydrogenase (Decarboxylase component)						UniRef50_A0A379S5K9
NZ_QLIN01000013.1_23	235		ATPase				WP_111287193.1	UPI000DAE5BE6	UniRef100_A0A327MR44,UniRef50_V8R5X6,UniRef90_J3GPX9
NZ_LIHW01000087.1_14	363		TauD/TfdA-like domain-containing protein					UPI0006E545A1	UniRef100_A0A0P9YFW3,UniRef50_A0A5E7DKK5,UniRef90_Q87W26
NZ_JABCNF010000001.1_1241	558		Peptidase family M1				WP_167293850.1	UPI0014218814	UniRef100_A0A7Y0NPQ3,UniRef50_W0EYE4,UniRef90_A0A1I0U2V5
NZ_CP032339.1_747	691	ybjH	Exopolysaccharide biosynthesis protein YbjH				WP_059398840.1	UPI000706954E	UniRef100_A0A0P0EZC3,UniRef50_D3NU19,UniRef90_A0A5B0L3A5
NZ_BQHZ01000008.1_124	97		DUF4035 domain-containing protein				WP_236217464.1	UPI001F23FCE2	UniRef100_UPI001F23FCE2,UniRef50_A0A0J6I657,UniRef90_UPI001F23FCE2
NZ_FMXV01000016.1_58	145		Lipoprotein				WP_092256062.1	UPI000882A8B5	UniRef100_UPI000882A8B5,UniRef50_A0A0N9W664,UniRef90_A0A0N9W664
NZ_RPMX01000069.1_17	431		hypothetical protein						
JAEORF010000025.1_32	226		Competence protein				WP_070994350.1	UPI0008983DE0	UniRef100_A0AAP7CSA9,UniRef50_A0AAP7CSA9,UniRef90_A0AAP7CSA9
RZVX01001141.1_1	118		hypothetical protein						
NZ_SUQM01000013.1_52	104		hypothetical protein						
NZ_CP086405.1_432	138		DUF1311 domain-containing protein				WP_084833157.1	UPI0009C29A66	UniRef100_UPI0009C29A66,UniRef50_A0A2T7BA45,UniRef90_A0A7T0H109
NZ_NEJI01000002.1_681	1032	dnaE2	Error-prone DNA polymerase	2.7.7.7	GO:0003676,GO:0003887,GO:0005737,GO:0006260,GO:0006281,GO:0008408		WP_218190793.1	UPI001C48911D	UniRef100_UPI001C48911D,UniRef50_C5BNE0,UniRef90_Q3KBG7
NZ_CABVJA010000001.1_32	197		Nitroreductase domain-containing protein				WP_150797980.1	UPI0012430E71	UniRef100_A0A5E7QUP4,UniRef50_N2JJG4,UniRef90_A0A1Q9QWL7
NZ_JAHNEO010000022.1_73	126		Lipoprotein				WP_072196432.1	UPI0003EB95B1	UniRef100_A0A7X1HUI0,UniRef50_A0A143IL89,UniRef90_A0A1F2MFP6
NZ_SNVI01000005.1_207	249		Glucose 1-dehydrogenase				WP_134465969.1	UPI00106A06C3	UniRef100_A0A4Y8MIX9,UniRef50_A0AAN1LVT1,UniRef90_A0A4Y8MIX9
JALKFR010000001.1_2975	131		Transposase						UniRef50_A0A085VMX0,UniRef90_A0A085VMX0
NZ_CP093432.1_63	112	tnp	IS21 family ISPsy4 transposase		GO:0004803		WP_301832762.1	UPI002657CD9B	UniRef100_A0AAX3UJS7,UniRef50_A0A0P9QE60,UniRef90_A0A0P9QE60
NZ_CP032353.1_3900	191		hypothetical protein						
NZ_VLLZ01000334.1_1	78	rimI	Ribosomal protein S18 acetylase RimI			COG0456,J	WP_163278743.1	UPI0013D4E10A	UniRef100_UPI001B8A4CBF,UniRef50_H5WMX3,UniRef90_A0A1H8HRP1
NZ_JACARK010001063.1_2	257		alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase	3.6.1.63	GO:0016810,GO:0019700		WP_178967047.1	UPI0015B7F42F	UniRef100_UPI000B3FF9D9,UniRef50_A0A367MHB7,UniRef90_A0A5E6WEG2
NZ_BLXQ01000470.1_1	125		glutamate synthase-related protein						UniRef50_UPI0030FC576B
MHZP01000110.1_17	488		Allantoin permease				WP_014719551.1	UPI00025E8A5B	UniRef100_A0A3M5UI22,UniRef50_A0A5E7EHM8,UniRef90_A0A5E7EHM8
NZ_AJLG01000053.1_9	224		3'-5' exonuclease				WP_010600883.1	UPI00029AE2F8	UniRef100_A0A9X3I9S3,UniRef50_A0A0Q4LHI4,UniRef90_A0A3G8X0Q2
NZ_JABWNR020000088.1_2	33		Transposase						UniRef50_A0A1Q6BE47,UniRef90_A0A0L1AK35
NZ_LCZB01000065.1_140	403		Cytochrome b				WP_016966673.1	UPI0002D7CA70	UniRef100_A0A2T6GI52,UniRef50_A0A850UKW8,UniRef90_A0A2T6GI52
NZ_JABMCV010000331.1_1	274		HEPN AbiJ-N-terminal domain-containing protein				WP_171933087.1	UPI0015C52A28	UniRef100_UPI0015C52A28,UniRef50_A0A084ZUB2,UniRef90_A0A0C2AFV0
NZ_JAAMPY010000003.1_740	50		autotransporter outer membrane beta-barrel domain-containing protein						UniRef50_UPI001903A20A
NZ_JRTV01000011.1_4	151	skp	molecular chaperone Skp			COG2825,MO			UniRef50_A0A0G3SE72,UniRef90_A0A0G3SE72
NZ_CADCYI010000056.1_1	46		hypothetical protein						
NZ_QEHQ01000098.1_2	270		Efflux pump membrane transporter				WP_133244112.1	UPI000D563591	UniRef100_A0AAU0SS13,UniRef50_A0A4V6IMV8,UniRef90_I4KED3
NZ_JACAQV010000026.1_61	47		hypothetical protein						
BQGD01000027.1_87	166		hypothetical protein				WP_022648327.1	UPI0003B3CECD	UniRef100_A0A3S0IY93,UniRef50_A0A0H3CQ38,UniRef90_A0A3S0IY93
NZ_CP051296.1_2217	317		urease						UniRef50_A0A377RT43
SPUY01000020.1_49	474		Peptidase M20 dimerisation domain-containing protein				WP_150054116.1	UPI0012327485	UniRef100_A0A5M8EK83,UniRef50_A0A0D7PHW4,UniRef90_A0A1C7YVT7
NZ_CP031948.1_3301	546		ABC transporter substrate-binding protein				WP_014881437.1	UPI0001632A48	UniRef100_UPI0001632A48,UniRef50_Q5LP03,UniRef90_UPI0001632A48
NZ_AP021845.1_160	300		hypothetical protein				WP_152091094.1	UPI001260A03E	UniRef100_A0A5H2YEK1,UniRef50_A0A5H2YEK1,UniRef90_A0A5H2YEK1
NZ_KV880769.1_2332	271	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	2.7.7.38	GO:0008690,GO:0009244	COG1212,M	WP_075257290.1	UPI000949D142	UniRef100_UPI000949D142,UniRef50_Q9K0D6,UniRef90_D8J1R6
NZ_BIFZ01000107.1_42	35		hypothetical protein						
NZ_BLXQ01000413.1_1	79		hypothetical protein						
NZ_PDIF01000052.1_9	71	rpsU	30S ribosomal protein S21		GO:0003735,GO:0005840,GO:0006412,GO:1990904	COG0828,J	WP_001144069.1	UPI000005A4AC	UniRef100_A8APV6,UniRef50_A8APV6,UniRef90_A8APV6
NZ_CP034783.1_440	253	hutC	histidine utilization repressor		GO:0003677,GO:0003700,GO:0006355,GO:0006547,GO:0045892			UPI0009CA51C5	UniRef100_A0A5B7VT42,UniRef50_P22773,UniRef90_A0A423MH92
NZ_WKAC01000212.1_1	49		hypothetical protein						
NZ_WKAY01000023.1_32	201		FMN dependent NADH:quinone oxidoreductase	1.7.1.17			WP_236423573.1	UPI001F24AB8A	UniRef100_A0A9Q4A4X3,UniRef50_Q9I2E2,UniRef90_W0MQW7
NZ_BMZY01000022.1_52	226		Scaffold protein					UPI000B1418C7	UniRef100_A0A3M3A485,UniRef50_A0A1H6L922,UniRef90_A0A3M3A485
NZ_JACAPG010000024.1_1	1586		Non-ribosomal peptide synthetase				WP_177005081.1	UPI0015A464B8	UniRef100_UPI0015A464B8,UniRef50_A0A7Z6MQV4,UniRef90_A0A7Z6MQV4
NZ_JAMYCZ010000006.1_1	81		hypothetical protein						UniRef50_UPI00223EE6D4,UniRef90_UPI00223EE6D4
NZ_POFT01000104.1_8	208		Methyltransferase				WP_102625442.1	UPI000C8848F3	UniRef100_A0AB36XVI6,UniRef50_A0A853SZJ2,UniRef90_A0A172YU26
NZ_JALJRO010000003.1_442	144		DUF3225 domain-containing protein				WP_027619896.1	UPI0004824C35	UniRef100_A0A2S8YNQ6,UniRef50_F2KCY5,UniRef90_A0A2S8YNQ6
NZ_VCCF02000001.1_4710	270		Oxidoreductase, aldo/keto reductase family				WP_138817136.1	UPI00110D7098	UniRef100_UPI00110D7098,UniRef50_W6M3Y8,UniRef90_A0A379I6I4
NZ_LIIH01000106.1_26	144		hypothetical protein				WP_060414622.1	UPI000760AC5E	UniRef100_UPI000760AC5E,UniRef50_Q0EDX9,UniRef90_Q0EDX9
NZ_PDII01000037.1_36	188		Morphogenetic protein				WP_130261320.1	UPI001029AEFF	UniRef100_UPI001029AEFF,UniRef50_A0A2Y1F037,UniRef90_A0A2Y1F037
NZ_PVWV01000118.1_1	92		hypothetical protein						
NZ_RXQE01000020.1_35	144		hypothetical protein				WP_063161758.1	UPI0007975537	UniRef100_UPI0007975537,UniRef50_A0A376F7E2,UniRef90_A0A376F7E2
NZ_JYLO01000029.1_9	230		Helix-turn-helix domain-containing protein						UniRef50_A0A2A2KKK5,UniRef90_A0A7Y1QK81
NZ_NRIQ01000024.1_30	71		hypothetical protein				WP_225455125.1	UPI001CDCA0CD	UniRef100_UPI001CDCA0CD,UniRef50_UPI0023DB39A0,UniRef90_UPI001CDCA0CD
NZ_CP017451.1_359	91	merP	mercury resistance system periplasmic binding protein MerP		GO:0015097,GO:0042597,GO:0045340,GO:0046689	COG2608,P	WP_003131987.1	UPI00000B7D2E	UniRef100_G9CA09,UniRef50_P04129,UniRef90_P04131
NZ_CP080625.1_3581	114		GPW/gp25 family protein				WP_220632715.1	UPI001C730B9E	UniRef100_UPI001C730B9E,UniRef50_A0A105VI10,UniRef90_UPI001C730B9E
MLEI01000199.1_1	170		hypothetical protein						
NZ_JAMDPJ010000037.1_1	99		hypothetical protein						
DILI01000020.1_1	370		hypothetical protein						
NZ_CAKKMS010000003.1_818	429		Adhesin domain-containing protein				WP_230143257.1	UPI001DDD0444	UniRef100_UPI001DDD0444,UniRef50_A0A520C956,UniRef90_A0A497XVJ7
LJPN01000293.1_1	45		hypothetical protein						
NZ_VLLS01000246.1_1	91		hypothetical protein				WP_204274804.1	UPI0019534852	UniRef100_UPI0019534852,UniRef50_UPI0019534852,UniRef90_UPI0019534852
